time,open,high,low,close,Volume,Volume MA
1297029600,6.5595,6.563,6.55452,6.5555,42,NaN
1297116000,6.5555,6.56552,6.5505,6.5575,75,NaN
1297202400,6.5575,6.665,6.5565,6.565,39,NaN
1297634400,6.565,6.6295,6.565,6.5725,62,NaN
1297720800,6.5725,6.57752,6.5635,6.565,72,NaN
1297807200,6.565,6.5755,6.5545,6.5645,105,NaN
1297893600,6.5645,6.56652,6.5605,6.5635,76,NaN
1297980000,6.5635,6.5705,6.55,6.55,32,NaN
1298239200,6.55,6.57572,6.55,6.5715,111,NaN
1298325600,6.5715,6.5755,6.5685,6.57028,97,NaN
1298412000,6.57028,6.57302,6.5645,6.5705,60,NaN
1298498400,6.5705,6.57952,6.5705,6.5705,85,NaN
1298584800,6.5705,6.57552,6.57,6.57552,34,NaN
1298844000,6.57552,6.57552,6.56252,6.56352,79,NaN
1298930400,6.56352,6.5685,6.5585,6.5675,74,NaN
1299016800,6.5675,6.5675,6.5575,6.564,68,NaN
1299103200,6.564,6.5675,6.559,6.5605,49,NaN
1299189600,6.5605,6.5625,6.5545,6.5615,26,NaN
1299448800,6.5615,6.5615,6.556,6.5565,64,NaN
1299535200,6.5565,6.5615,6.5545,6.5565,42,64.6
1299621600,6.5565,6.5665,6.5565,6.5655,66,65.8
1299708000,6.5655,6.571,6.5645,6.5685,34,63.75
1299794400,6.5685,6.5735,6.562,6.573,16,62.6
1300050000,6.573,6.573,6.5645,6.5715,41,61.55
1300136400,6.5715,6.5765,6.5695,6.5725,24,59.15
1300222800,6.5725,6.5755,6.5695,6.5725,30,55.4
1300309200,6.5725,6.5735,6.567,6.568,35,53.35
1300395600,6.568,6.571,6.5675,6.5685,14,52.45
1300654800,6.5685,6.5685,6.559,6.56,49,49.35
1300741200,6.56,6.59,6.5515,6.5525,175,53.25
1300827600,6.5525,6.59,6.5525,6.5615,1111,105.8
1300914000,6.5615,6.5625,6.5525,6.56,148,108.95
1301000400,6.56,6.5605,6.5575,6.56,16,108.05
1301259600,6.56,6.59,6.5525,6.56425,40,106.1
1301346000,6.56425,6.59,6.5585,6.59,66,105.7
1301432400,6.59,6.59,6.5535,6.5545,135,109.05
1301518800,6.5545,6.55625,6.5455,6.54725,179,115.55
1301605200,6.54725,6.54945,6.54595,6.547,53,116.9
1301864400,6.547,6.547,6.5375,6.5405,34,115.4
1301950800,6.5405,6.54675,6.5395,6.5415,69,116.75
1302037200,6.5415,6.563,6.5355,6.5355,105,118.7
1302123600,6.5355,6.5375,6.5175,6.51925,182,126.1
1302210000,6.51925,6.5305,6.5185,6.522,105,130.55
1302469200,6.522,6.5355,6.52,6.5345,209,138.95
1302555600,6.5345,6.535,6.5275,6.52825,109,143.2
1302642000,6.52825,6.5285,6.5205,6.52075,134,148.4
1302728400,6.52075,6.5255,6.5175,6.52325,108,152.05
1302814800,6.52325,6.5235,6.5195,6.5225,32,152.95
1303074000,6.5225,6.528,6.52,6.5245,89,154.95
1303160400,6.5245,6.52625,6.5035,6.508,217,157.05
1303246800,6.508,6.511,6.4965,6.4985,217,112.35
1303333200,6.4985,6.4985,6.493,6.4935,110,110.45
1303678800,6.4935,6.5045,6.489,6.5035,143,116.8
1303765200,6.5035,6.5085,6.4875,6.4915,276,128.6
1303851600,6.4915,6.495,6.4785,6.4815,182,134.4
1303938000,6.4815,6.4885,6.4705,6.472,178,136.55
1304024400,6.472,6.4725,6.4595,6.46125,114,133.3
1304283600,6.46125,6.4695,6.459,6.4665,58,133.55
1304370000,6.4665,6.476,6.464,6.475,118,137.75
1304456400,6.475,6.477,6.4705,6.475,113,139.95
1304542800,6.475,6.4855,6.473,6.4795,65,137.95
1304629200,6.4795,6.48325,6.4795,6.4825,31,130.4
1304888400,6.4825,6.4835,6.479,6.48,55,127.9
1304974800,6.48,6.4815,6.4745,6.476,84,121.65
1305061200,6.476,6.488,6.475,6.487,174,124.9
1305147600,6.487,6.4965,6.487,6.4955,235,129.95
1305234000,6.4955,6.4955,6.4875,6.4905,73,128.2
1305493200,6.4905,6.5065,6.4905,6.503,229,138.05
1305579600,6.503,6.50325,6.492,6.4935,239,145.55
1305666000,6.4935,6.499,6.4895,6.493,225,145.95
1305752400,6.493,6.4995,6.4915,6.4935,215,145.85
1305838800,6.4935,6.4955,6.4905,6.494,87,144.7
1306098000,6.494,6.507,6.494,6.501,250,150.05
1306184400,6.501,6.5025,6.495,6.496,192,145.85
1306270800,6.496,6.5025,6.49,6.4905,227,148.1
1306357200,6.4905,6.493,6.486,6.4885,199,149.15
1306443600,6.4885,6.4945,6.487,6.4915,120,149.45
1306702800,6.4915,6.4915,6.4775,6.4795,207,156.9
1306789200,6.4795,6.4815,6.478,6.4785,158,158.9
1306875600,6.4785,6.483,6.475,6.481,232,164.85
1306962000,6.481,6.4815,6.474,6.4765,195,171.35
1307048400,6.4765,6.478,6.4745,6.4755,62,172.9
1307307600,6.4755,6.4765,6.466,6.4745,127,176.5
1307394000,6.4745,6.475,6.47,6.4745,162,180.4
1307480400,6.4745,6.481,6.473,6.481,141,178.75
1307566800,6.481,6.482,6.4785,6.48,140,174
1307653200,6.48,6.4825,6.479,6.4805,56,173.15
1307912400,6.4805,6.48475,6.4745,6.4765,132,168.3
1307998800,6.4765,6.478,6.4735,6.4775,162,164.45
1308085200,6.4775,6.4885,6.4765,6.4865,230,164.7
1308171600,6.4865,6.4875,6.468,6.471,223,165.1
1308258000,6.471,6.4715,6.4645,6.4655,81,164.8
1308517200,6.4655,6.478,6.4655,6.472,187,161.65
1308603600,6.472,6.472,6.465,6.466,134,158.75
1308690000,6.466,6.4715,6.4615,6.4685,183,156.55
1308776400,6.4685,6.471,6.466,6.4685,174,155.3
1308862800,6.4685,6.472,6.4685,6.472,78,153.2
1309122000,6.472,6.485,6.472,6.476,222,153.95
1309208400,6.476,6.4785,6.46975,6.472,161,154.1
1309294800,6.472,6.472,6.464,6.4645,203,152.65
1309381200,6.4645,6.468,6.461,6.462,165,151.15
1309467600,6.462,6.462,6.4585,6.4605,59,151
1309726800,6.4605,6.4625,6.4555,6.4615,213,155.3
1309813200,6.4615,6.46715,6.4595,6.462,253,159.85
1309899600,6.462,6.467,6.4605,6.464,262,165.9
1309986000,6.464,6.465,6.458,6.46025,214,169.6
1310072400,6.46025,6.462,6.4565,6.462,152,174.4
1310331600,6.462,6.475,6.462,6.4735,327,184.15
1310418000,6.4735,6.4815,6.4695,6.4715,432,197.65
1310504400,6.4715,6.472,6.459,6.4625,339,203.1
1310590800,6.4625,6.4635,6.45785,6.46125,216,202.75
1310677200,6.46125,6.464,6.461,6.461,158,206.6
1310936400,6.461,6.47,6.461,6.466,322,213.35
1311022800,6.466,6.468,6.455,6.456,382,225.75
1311109200,6.456,6.45925,6.4485,6.4515,292,231.2
1311195600,6.4515,6.4555,6.4425,6.4455,218,233.4
1311282000,6.4455,6.45,6.445,6.4455,81,233.55
1311541200,6.4455,6.449,6.441,6.4415,188,231.85
1311627600,6.4415,6.443,6.4335,6.4345,274,237.5
1311714000,6.4345,6.4415,6.4335,6.43875,208,237.75
1311800400,6.43875,6.441,6.433,6.43375,250,242
1311886800,6.43375,6.4355,6.429,6.429,112,244.65
1312146000,6.429,6.429,6.417,6.422,215,244.75
1312232400,6.422,6.429,6.421,6.426,242,244.2
1312318800,6.426,6.43,6.4185,6.4245,238,243
1312405200,6.4245,6.4375,6.42225,6.432,218,243.2
1312491600,6.432,6.437,6.432,6.436,114,241.3
1312750800,6.436,6.4485,6.424,6.443,278,238.85
1312837200,6.443,6.443,6.4125,6.4175,285,231.5
1312923600,6.4175,6.42,6.3895,6.3935,309,230
1313010000,6.3935,6.3935,6.379,6.3845,379,238.15
1313096400,6.3845,6.3865,6.38,6.3805,119,236.2
1313355600,6.3805,6.382,6.368,6.3725,321,236.15
1313442000,6.3725,6.3785,6.368,6.3725,278,230.95
1313528400,6.3725,6.3735,6.366,6.372,260,229.35
1313614800,6.372,6.386,6.36875,6.37925,334,235.15
1313701200,6.37925,6.3815,6.3745,6.376,132,237.7
1313960400,6.376,6.3765,6.3725,6.374,197,238.15
1314046800,6.374,6.374,6.3665,6.369,193,234.1
1314133200,6.369,6.375,6.3675,6.3725,220,234.7
1314219600,6.3725,6.377,6.3725,6.375,173,230.85
1314306000,6.375,6.377,6.3735,6.3735,60,228.25
1314565200,6.3735,6.3735,6.36,6.3615,175,226.25
1314651600,6.3615,6.3635,6.3595,6.361,174,222.85
1314738000,6.361,6.361,6.349,6.3505,272,224.55
1314824400,6.3505,6.356,6.3505,6.3555,276,227.45
1314910800,6.3555,6.357,6.3525,6.354,156,229.55
1315170000,6.354,6.364,6.354,6.362,218,226.55
1315256400,6.362,6.36375,6.3565,6.361,264,225.5
1315342800,6.361,6.366,6.359,6.3625,322,226.15
1315429200,6.3625,6.3635,6.353,6.354,332,223.8
1315515600,6.354,6.3615,6.354,6.3615,153,225.5
1315774800,6.3615,6.38625,6.3615,6.3785,239,221.4
1315861200,6.3785,6.3935,6.3785,6.3915,367,225.85
1315947600,6.3915,6.3985,6.386,6.3885,443,235
1316034000,6.3885,6.391,6.3725,6.3735,302,233.4
1316120400,6.3735,6.37975,6.3715,6.376,110,232.3
1316379600,6.376,6.395,6.376,6.3925,354,240.15
1316466000,6.3925,6.3925,6.3775,6.3795,281,244.55
1316552400,6.3795,6.418,6.37875,6.4165,455,256.3
1316638800,6.4165,6.545,6.4165,6.4925,399,267.6
1316725200,6.4925,6.525,6.465,6.514,22,265.7
1316984400,6.514,6.52,6.4575,6.475,129,263.4
1317070800,6.475,6.478,6.42,6.4385,253,267.35
1317157200,6.4385,6.4725,6.433,6.467,202,263.85
1317243600,6.467,6.535,6.466,6.511,110,255.55
1317330000,6.511,6.511,6.4815,6.495,96,252.55
1317589200,6.495,6.5,6.475,6.487,102,246.75
1317675600,6.487,6.488,6.4445,6.447,42,235.65
1317762000,6.447,6.4475,6.432,6.439,70,223.05
1317848400,6.439,6.4405,6.4195,6.422,184,215.65
1317934800,6.422,6.425,6.4205,6.4215,50,210.5
1318194000,6.4215,6.4215,6.3795,6.4015,519,224.5
1318280400,6.4015,6.515,6.4005,6.455,337,223
1318366800,6.455,6.461,6.415,6.438,103,206
1318453200,6.438,6.48,6.432,6.4395,733,227.55
1318539600,6.4395,6.448,6.4345,6.4435,188,231.45
1318798800,6.4435,6.445,6.42,6.43,611,244.3
1318885200,6.43,6.4385,6.4145,6.4165,521,256.3
1318971600,6.4165,6.44,6.414,6.427,572,262.15
1319058000,6.427,6.4425,6.4195,6.4265,714,277.9
1319144400,6.4265,6.4345,6.42,6.42,409,297.25
1319403600,6.42,6.42,6.3925,6.4015,787,330.15
1319490000,6.4015,6.4175,6.3985,6.4095,616,348.3
1319576400,6.4095,6.4115,6.39,6.4015,592,367.8
1319662800,6.4015,6.4045,6.375,6.3835,545,389.55
1319749200,6.3835,6.393,6.3785,6.3855,195,394.5
1320008400,6.3855,6.4065,6.38275,6.399,277,403.25
1320094800,6.399,6.412,6.3875,6.39,366,419.45
1320181200,6.39,6.401,6.3855,6.398,298,430.85
1320267600,6.398,6.4025,6.385,6.3925,245,433.9
1320354000,6.3925,6.394,6.379,6.3835,127,437.75
1320616800,6.3835,6.3865,6.365,6.373,434,433.5
1320703200,6.373,6.3735,6.35,6.3525,429,438.1
1320789600,6.3525,6.3825,6.348,6.367,507,458.3
1320876000,6.367,6.375,6.3515,6.3545,352,439.25
1320962400,6.3545,6.3595,6.3535,6.3555,100,434.85
1321221600,6.3555,6.3665,6.343,6.355,513,429.95
1321308000,6.355,6.363,6.346,6.3605,515,429.65
1321394400,6.3605,6.365,6.345,6.349,456,423.85
1321480800,6.349,6.3605,6.3485,6.358,346,405.45
1321567200,6.358,6.3635,6.3525,6.358,252,397.6
1321826400,6.358,6.39,6.3545,6.3815,587,387.6
1321912800,6.3815,6.3825,6.372,6.3795,343,373.95
1321999200,6.3795,6.4015,6.3745,6.39275,408,364.75
1322085600,6.39275,6.3955,6.387,6.392,252,350.1
1322172000,6.392,6.4005,6.388,6.399,152,347.95
1322431200,6.399,6.4025,6.385,6.3935,277,347.95
1322517600,6.3935,6.3995,6.378,6.38875,336,346.45
1322604000,6.38875,6.394,6.3725,6.379,458,354.45
1322690400,6.379,6.3945,6.3785,6.385,359,360.15
1322776800,6.385,6.3875,6.382,6.385,128,360.2
1323036000,6.385,6.38925,6.38,6.381,308,353.9
1323122400,6.381,6.3835,6.369,6.372,319,348.4
1323208800,6.372,6.3835,6.3615,6.3675,399,343
1323295200,6.3675,6.375,6.3625,6.3705,424,346.6
1323381600,6.3705,6.3725,6.3625,6.37,148,349
1323640800,6.37,6.3765,6.3565,6.3725,579,352.3
1323727200,6.3725,6.3975,6.372,6.391,856,369.35
1323813600,6.391,6.428,6.38,6.413,732,383.15
1323900000,6.413,6.413,6.37,6.382,741,402.9
1323986400,6.382,6.385,6.3675,6.368,361,408.35
1324245600,6.368,6.385,6.357,6.3595,832,420.6
1324332000,6.3595,6.3635,6.3435,6.348,600,433.45
1324418400,6.348,6.353,6.3415,6.348,541,440.1
1324504800,6.348,6.349,6.3385,6.3405,477,451.35
1324591200,6.3405,6.34565,6.3335,6.343,228,455.15
1324850400,6.343,6.344,6.332,6.337,212,451.9
1324936800,6.337,6.3433,6.3225,6.3325,333,451.75
1325023200,6.3325,6.342,6.3235,6.34,521,454.9
1325109600,6.34,6.3625,6.3305,6.3585,852,479.55
1325196000,6.3585,6.3595,6.3405,6.3435,301,488.2
