time,open,high,low,close,Volume,Volume MA
1020718800,127.92,127.92,127.92,127.92,1,NaN
1020805200,127.92,128.92,127.92,128.92,1,NaN
1020891600,128.92,128.92,128.38,128.38,1,NaN
1020978000,128.38,128.38,127.63,127.63,1,NaN
1021237200,127.63,127.86,127.63,127.86,1,NaN
1021323600,127.86,128.54,127.86,128.54,1,NaN
1021410000,128.54,128.54,127.61,127.61,1,NaN
1021496400,127.61,128.06,127.61,128.06,1,NaN
1021582800,128.06,128.06,125.93,125.93,1,NaN
1021842000,125.93,125.93,125.4,125.4,1,NaN
1021928400,125.4,125.4,124.17,124.17,1,NaN
1022014800,124.17,124.22,124.17,124.22,1,NaN
1022101200,124.22,124.95,124.22,124.95,1,NaN
1022187600,124.95,124.95,124.72,124.72,1,NaN
1022446800,124.72,124.755,124.72,124.755,1,NaN
1022533200,124.755,124.755,124.58,124.58,1,NaN
1022619600,124.58,124.58,124.45,124.45,1,NaN
1022706000,124.45,124.45,123.4,123.4,1,NaN
1022792400,123.4,124.2,123.4,124.2,1,NaN
1023051600,124.2,124.2,123.61,123.61,1,1
1023138000,123.61,124.14,123.61,124.14,1,1
1023224400,124.14,124.4,124.14,124.4,1,1
1023310800,124.4,124.4,124.09,124.09,1,1
1023397200,124.09,124.38,124.09,124.38,1,1
1023656400,124.38,124.74,124.38,124.74,1,1
1023742800,124.74,125.28,124.74,125.28,1,1
1023829200,125.28,125.7,125.28,125.7,1,1
1023915600,125.7,125.7,124.89,124.89,1,1
1024002000,124.89,124.89,124.15,124.15,1,1
1024261200,124.15,124.35,124.15,124.35,1,1
1024347600,124.35,124.37,124.35,124.37,1,1
1024434000,124.37,124.37,123.92,123.92,1,1
1024520400,123.92,123.92,123.48,123.48,1,1
1024606800,123.48,123.48,121.39,121.39,1,1
1024866000,121.39,121.875,121.39,121.875,1,1
1024952400,121.875,121.875,121.35,121.35,1,1
1025038800,121.35,121.35,120.05,120.05,1,1
1025125200,120.05,120.05,119.56,119.56,1,1
1025211600,119.56,119.56,119.48,119.48,1,1
1025470800,119.48,119.66,119.48,119.66,1,1
1025557200,119.66,119.91,119.66,119.91,1,1
1025643600,119.91,119.91,119.8,119.8,1,1
1025730000,119.8,119.97,119.8,119.97,1,1
1025816400,119.97,120.39,119.97,120.39,1,1
1026075600,120.39,120.39,118.39,118.39,1,1
1026162000,118.39,118.39,118.035,118.035,1,1
1026248400,118.035,118.035,117.655,117.655,1,1
1026334800,117.655,117.655,116.955,116.955,1,1
1026421200,116.955,116.955,116.85,116.85,1,1
1026680400,116.85,116.85,116.385,116.385,1,1
1026766800,116.385,116.385,115.945,115.945,1,1
1026853200,115.945,116.325,115.945,116.325,1,1
1026939600,116.325,116.58,116.325,116.58,1,1
1027026000,116.58,116.58,115.88,115.88,1,1
1027285200,115.88,116.21,115.88,116.21,1,1
1027371600,116.21,117.56,116.21,117.56,1,1
1027458000,117.56,117.56,116.74,116.74,1,1
1027544400,116.74,116.74,116.4,116.4,1,1
1027630800,116.4,118.81,116.4,118.81,1,1
1027890000,118.81,119.7,118.81,119.7,1,1
1027976400,119.7,120.19,119.7,120.19,1,1
1028062800,120.19,120.19,119.915,119.915,1,1
1028149200,119.915,119.915,119.3,119.3,1,1
1028235600,119.3,119.3,118.9,118.9,1,1
1028494800,118.9,119.68,118.9,119.68,1,1
1028581200,119.68,120.75,119.68,120.75,1,1
1028667600,120.75,120.75,120.24,120.24,1,1
1028754000,120.24,121,120.24,121,1,1
1028840400,121,121,120.1,120.1,1,1
1029099600,120.1,120.1,119.02,119.02,1,1
1029186000,119.02,119.02,118.44,118.44,1,1
1029272400,118.44,118.44,117.32,117.32,1,1
1029358800,117.32,117.35,117.32,117.35,1,1
1029445200,117.35,117.72,117.35,117.72,1,1
1029704400,117.72,118.63,117.72,118.63,1,1
1029790800,118.63,118.86,118.63,118.86,1,1
1029877200,118.86,118.86,118.54,118.54,1,1
1029963600,118.54,119.94,118.54,119.94,1,1
1030050000,119.94,119.94,119.61,119.61,1,1
1030309200,119.61,119.74,119.61,119.74,1,1
1030395600,119.74,119.74,118.2,118.2,1,1
1030482000,118.2,118.73,118.2,118.73,1,1
1030568400,118.73,118.73,118.16,118.16,1,1
1030654800,118.16,118.33,118.16,118.33,1,1
1030914000,118.33,118.33,118.14,118.14,1,1
1031000400,118.14,118.14,117.095,117.095,1,1
1031086800,117.095,118.02,117.095,118.02,1,1
1031173200,118.02,118.36,118.02,118.36,1,1
1031518800,118.36,118.88,118.36,118.88,1,1
1031605200,118.88,119.91,118.88,119.91,1,1
1031778000,119.91,120.03,119.91,120.03,1,1
1031864400,120.03,121.74,120.03,121.74,1,1
1032123600,121.74,122.26,121.74,122.26,1,1
1032210000,122.26,122.26,121.97,121.97,1,1
1032296400,121.97,121.97,121.44,121.44,1,1
1032382800,121.44,121.47,121.44,121.47,1,1
1032469200,121.47,123.29,121.47,123.29,1,1
1032728400,123.29,123.95,123.29,123.95,1,1
1032814800,123.95,123.95,123.36,123.36,1,1
1032901200,123.36,123.36,122.915,122.915,1,1
1032987600,122.915,122.915,122.255,122.255,1,1
1033074000,122.255,122.54,122.255,122.54,1,1
1033333200,122.54,122.54,121.66,121.66,1,1
1033419600,121.66,122.55,121.66,122.55,1,1
1033506000,122.55,122.87,122.55,122.87,1,1
1033592400,122.87,122.87,122.68,122.68,1,1
1033678800,122.68,123.18,122.68,123.18,1,1
1033938000,123.18,124.28,123.18,124.28,1,1
1034024400,124.28,124.355,124.28,124.355,1,1
1034110800,124.355,124.355,123.27,123.27,1,1
1034197200,123.27,123.6,123.27,123.6,1,1
1034283600,123.6,124.03,123.6,124.03,1,1
1034542800,124.03,124.295,124.03,124.295,1,1
1034629200,124.295,124.665,124.295,124.665,1,1
1034715600,124.665,124.665,124.47,124.47,1,1
1034802000,124.47,125.015,124.47,125.015,1,1
1034888400,125.015,125.53,125.015,125.53,1,1
1035147600,125.53,125.53,124.955,124.955,1,1
1035234000,124.955,125.135,124.955,125.135,1,1
1035320400,125.135,125.135,124.585,124.585,1,1
1035406800,124.585,124.585,124.425,124.425,1,1
1035493200,124.425,124.425,124.31,124.31,1,1
1035756000,124.31,124.31,123.595,123.595,1,1
1035842400,123.595,123.595,122.99,122.99,1,1
1035928800,122.99,122.99,122.915,122.915,1,1
1036015200,122.915,122.915,122.535,122.535,1,1
1036101600,122.535,122.535,122.21,122.21,1,1
1036360800,122.21,122.22,122.21,122.22,1,1
1036447200,122.22,122.22,121.79,121.79,1,1
1036533600,121.79,121.815,121.79,121.815,1,1
1036620000,121.815,121.815,121.145,121.145,1,1
1036706400,121.145,121.145,119.82,119.82,1,1
1036965600,119.82,119.82,119.535,119.535,1,1
1037052000,119.535,119.625,119.535,119.625,1,1
1037138400,119.625,120.205,119.625,120.205,1,1
1037224800,120.205,120.485,120.205,120.485,1,1
1037311200,120.485,120.485,120.46,120.46,1,1
1037570400,120.46,121.045,120.46,121.045,1,1
1037656800,121.045,122.105,121.045,122.105,1,1
1037743200,122.105,122.635,122.105,122.635,1,1
1037829600,122.635,122.685,122.635,122.685,1,1
1037916000,122.685,122.8,122.685,122.8,1,1
1038175200,122.8,122.8,122.095,122.095,1,1
1038261600,122.095,122.095,121.625,121.625,1,1
1038348000,121.625,122.345,121.625,122.345,1,1
1038434400,122.345,122.345,122.205,122.205,1,1
1038520800,122.205,122.54,122.205,122.54,1,1
1038780000,122.54,124.535,122.54,124.535,1,1
1038866400,124.535,124.545,124.535,124.545,1,1
1038952800,124.545,124.555,124.545,124.555,1,1
1039039200,124.555,124.845,124.555,124.845,1,1
1039125600,124.845,124.845,123.56,123.56,1,1
1039384800,123.56,123.56,123.345,123.345,1,1
1039471200,123.345,123.795,123.345,123.795,1,1
1039557600,123.795,123.795,123.605,123.605,1,1
1039644000,123.605,123.605,122.715,122.715,1,1
