time,open,high,low,close,Volume,Volume MA
1577916000,0.70164,0.70169,0.70056,0.70064,187,NaN
1577919600,0.70064,0.70195,0.70064,0.70188,202,NaN
1577923200,0.70188,0.70195,0.70132,0.70144,254,NaN
1577926800,0.70144,0.702,0.70135,0.70156,270,NaN
1577930400,0.70156,0.70184,0.70134,0.70156,149,NaN
1577934000,0.70156,0.70168,0.70062,0.70062,125,NaN
1577937600,0.70062,0.70081,0.7002,0.70023,87,NaN
1577941200,0.70023,0.70042,0.69951,0.70018,202,NaN
1577944800,0.70018,0.70029,0.69956,0.69999,168,NaN
1577948400,0.69999,0.7003,0.69972,0.7001,163,NaN
1577952000,0.7001,0.70067,0.69996,0.70056,192,NaN
1577955600,0.70056,0.70057,0.69962,0.69977,185,NaN
1577959200,0.69977,0.69995,0.69914,0.69968,136,NaN
1577962800,0.69968,0.69971,0.6983,0.69846,227,NaN
1577966400,0.69846,0.69928,0.69832,0.6992,194,NaN
1577970000,0.6992,0.69994,0.69901,0.69968,279,NaN
1577973600,0.69968,0.6998,0.69883,0.69918,335,NaN
1577977200,0.69918,0.70032,0.69857,0.70026,393,NaN
1577980800,0.70026,0.70026,0.69808,0.69816,254,NaN
1577984400,0.69816,0.69843,0.69788,0.69838,187,209.45
1577988000,0.69838,0.69843,0.69806,0.69826,140,207.1
1577991600,0.69826,0.69836,0.69796,0.69819,140,204
1577995200,0.69819,0.69877,0.69808,0.69866,119,197.25
1577998800,0.69866,0.69907,0.69862,0.69907,60,186.75
1578002400,0.69907,0.69941,0.69816,0.69834,81,183.35
1578006000,0.69834,0.69864,0.69804,0.69834,130,183.6
1578009600,0.69834,0.69852,0.69788,0.69838,191,188.8
1578013200,0.69838,0.69863,0.69732,0.69735,340,195.7
1578016800,0.69735,0.69774,0.69658,0.6968,536,214.1
1578020400,0.6968,0.69702,0.69628,0.69683,327,222.3
1578024000,0.69683,0.69714,0.6965,0.6965,122,218.8
1578027600,0.6965,0.69667,0.6958,0.69604,304,224.75
1578031200,0.69604,0.69626,0.6958,0.69621,241,230
1578034800,0.69621,0.6964,0.69524,0.69541,298,233.55
1578038400,0.69541,0.69591,0.69502,0.69508,361,241.9
1578042000,0.69508,0.6951,0.69362,0.69369,294,242.65
1578045600,0.69369,0.69402,0.69352,0.69369,231,237.45
1578049200,0.69369,0.69369,0.69304,0.69325,180,226.8
1578052800,0.69325,0.69487,0.69314,0.69469,227,225.45
1578056400,0.69469,0.69555,0.69453,0.69453,247,228.45
1578060000,0.69453,0.69541,0.69441,0.69476,278,235.35
1578063600,0.69476,0.69625,0.69476,0.69554,662,261.45
1578067200,0.69554,0.69654,0.69536,0.69617,222,266.6
1578070800,0.69617,0.69642,0.69614,0.69631,112,269.2
1578074400,0.69631,0.69631,0.69548,0.69578,148,272.55
1578078000,0.69578,0.69584,0.6953,0.69584,95,270.8
1578081600,0.69584,0.69584,0.69525,0.69535,84,265.45
1578085200,0.69535,0.69543,0.69454,0.6948,94,253.15
1578261600,0.6948,0.6948,0.69364,0.69367,162,234.45
1578265200,0.69367,0.69447,0.6933,0.69434,439,240.05
1578268800,0.69434,0.69559,0.6943,0.6953,397,253.8
1578272400,0.6953,0.69541,0.69362,0.694,411,259.15
1578276000,0.694,0.69483,0.69396,0.69462,223,258.25
1578279600,0.69462,0.69486,0.69407,0.69422,129,249.8
1578283200,0.69422,0.69454,0.69406,0.69446,138,238.65
1578286800,0.69446,0.69453,0.6937,0.6937,131,230.5
1578290400,0.6937,0.69398,0.69332,0.69395,149,226.4
1578294000,0.69395,0.69483,0.69392,0.69455,270,230.9
1578297600,0.69455,0.69512,0.69386,0.69457,361,237.6
1578301200,0.69457,0.69558,0.69457,0.69554,261,238.3
1578304800,0.69554,0.69578,0.69521,0.6953,174,233.1
1578308400,0.6953,0.69532,0.69464,0.69476,203,210.15
1578312000,0.69476,0.69542,0.69468,0.69494,141,206.1
1578315600,0.69494,0.69501,0.69426,0.69444,223,211.65
1578319200,0.69444,0.6945,0.69254,0.69276,369,222.7
1578322800,0.69276,0.69367,0.6926,0.69332,338,234.85
1578326400,0.69332,0.6936,0.6929,0.69311,175,239.4
1578330000,0.69311,0.69352,0.69304,0.69352,97,239.55
1578333600,0.69352,0.69385,0.69338,0.69355,65,234.7
1578337200,0.69355,0.69358,0.69318,0.69338,63,215.9
1578340800,0.69338,0.69403,0.69338,0.69403,65,199.3
1578344400,0.69403,0.69416,0.69384,0.69398,45,181
1578348000,0.69398,0.69428,0.69363,0.69386,125,176.1
1578351600,0.69386,0.6939,0.69332,0.6937,201,179.7
1578355200,0.6937,0.69392,0.6927,0.69286,242,184.9
1578358800,0.69286,0.69364,0.69286,0.69324,199,188.3
1578362400,0.69324,0.69348,0.69278,0.69308,137,187.7
1578366000,0.69308,0.69385,0.69298,0.69365,150,181.7
1578369600,0.69365,0.69365,0.69268,0.69274,137,170.5
1578373200,0.69274,0.69312,0.69124,0.69127,283,171.6
1578376800,0.69127,0.69196,0.69054,0.69134,593,192.55
1578380400,0.69134,0.69178,0.68986,0.69004,370,200.9
1578384000,0.69004,0.69127,0.68996,0.69061,420,214.85
1578387600,0.69061,0.69084,0.68898,0.68931,326,220
1578391200,0.68931,0.68936,0.68772,0.68792,307,216.9
1578394800,0.68792,0.68802,0.68705,0.68764,232,211.6
1578398400,0.68764,0.68836,0.68756,0.68762,257,215.7
1578402000,0.68762,0.68795,0.68654,0.68668,378,229.75
1578405600,0.68668,0.68694,0.68638,0.68661,283,240.65
1578409200,0.68661,0.68724,0.68616,0.68688,491,262.05
1578412800,0.68688,0.68711,0.68602,0.68602,233,270.45
1578416400,0.68602,0.68688,0.68592,0.68684,142,275.3
1578420000,0.68684,0.68714,0.68671,0.68671,100,274.05
1578423600,0.68671,0.6869,0.6865,0.6869,87,268.35
1578427200,0.6869,0.68704,0.68674,0.6868,51,258.8
1578430800,0.6868,0.68695,0.6862,0.68694,118,254.75
1578434400,0.68694,0.68705,0.6867,0.68678,70,251.4
1578438000,0.68678,0.68684,0.68505,0.68596,704,279.1
1578441600,0.68596,0.68644,0.68502,0.68593,1428,343.65
1578445200,0.68593,0.6873,0.68572,0.68656,989,378.95
