time,open,high,low,close,Volume,Volume MA
1577916000,6.96179,6.96633,6.96179,6.96541,746,NaN
1577919600,6.96541,6.96564,6.96198,6.96329,15522,NaN
1577923200,6.96329,6.96602,6.96088,6.96272,26649,NaN
1577926800,6.96272,6.97184,6.96154,6.96927,22152,NaN
1577930400,6.96927,6.97022,6.96426,6.96485,14979,NaN
1577934000,6.96485,6.96624,6.96146,6.96514,10819,NaN
1577937600,6.96514,6.96568,6.96282,6.96476,3793,NaN
1577941200,6.96476,6.96636,6.95904,6.95983,10191,NaN
1577944800,6.95983,6.96376,6.95904,6.96016,14366,NaN
1577948400,6.96016,6.9644,6.95884,6.96366,11905,NaN
1577952000,6.96366,6.96414,6.95668,6.95788,11157,NaN
1577955600,6.95788,6.96017,6.95688,6.9584,9191,NaN
1577959200,6.9584,6.96307,6.95664,6.9613,7110,NaN
1577962800,6.9613,6.96388,6.9592,6.96292,5397,NaN
1577966400,6.96292,6.96364,6.96102,6.96248,6625,NaN
1577970000,6.96248,6.96344,6.96113,6.96222,7863,NaN
1577973600,6.96222,6.96464,6.96028,6.96322,9285,NaN
1577977200,6.96322,6.96482,6.95932,6.95988,9804,NaN
1577980800,6.95988,6.96398,6.95986,6.96386,8815,NaN
1577984400,6.96386,6.965,6.96207,6.96336,5186,10577.75
1577988000,6.96336,6.964,6.96244,6.96267,2701,10675.5
1577991600,6.96267,6.96315,6.96224,6.96231,1970,9997.9
1577995200,6.96231,6.9635,6.96206,6.96206,2949,8812.9
1577998800,6.96206,6.96215,6.95899,6.95926,3011,7855.85
1578002400,6.95926,6.96015,6.95712,6.95863,339,7123.85
1578006000,6.95863,6.96046,6.95801,6.95936,38825,8524.15
1578009600,6.95936,6.96026,6.95698,6.9582,15437,9106.35
1578013200,6.9582,6.96382,6.95716,6.96302,21416,9667.6
1578016800,6.96302,6.96459,6.9614,6.9642,21500,10024.3
1578020400,6.9642,6.96887,6.96308,6.96702,14680,10163.05
1578024000,6.96702,6.97062,6.96602,6.96988,8359,10023.15
1578027600,6.96988,6.97454,6.96864,6.96895,16235,10375.35
1578031200,6.96895,6.97194,6.9667,6.97071,14889,10764.3
1578034800,6.97071,6.97258,6.96856,6.97158,13778,11183.35
1578038400,6.97158,6.97278,6.96982,6.9712,9976,11350.9
1578042000,6.9712,6.97207,6.96976,6.97074,7992,11357.35
1578045600,6.97074,6.97129,6.96888,6.97024,6512,11218.7
1578049200,6.97024,6.97194,6.96998,6.97068,4642,10960.6
1578052800,6.97068,6.97148,6.96788,6.96937,5878,10813.75
1578056400,6.96937,6.97126,6.96552,6.9656,11466,11127.75
1578060000,6.9656,6.96647,6.96118,6.96345,7872,11386.3
1578063600,6.96345,6.9657,6.9613,6.96294,14268,12001.2
1578067200,6.96294,6.96546,6.96126,6.962,8326,12270.05
1578070800,6.962,6.96308,6.96188,6.96229,5263,12382.65
1578074400,6.96229,6.96631,6.96104,6.96304,6193,12675.35
1578078000,6.96304,6.96536,6.96258,6.96338,4969,10982.55
1578081600,6.96338,6.96552,6.96328,6.9654,5272,10474.3
1578085200,6.9654,6.96858,6.96536,6.96671,1935,9500.25
