time,open,high,low,close,Volume,Volume MA
1577916000,7.79093,7.79206,7.78764,7.7915,54,NaN
1577919600,7.7915,7.7957,7.79139,7.7926,3955,NaN
1577923200,7.7926,7.79354,7.78852,7.7932,3219,NaN
1577926800,7.7932,7.79324,7.79166,7.79168,978,NaN
1577930400,7.79168,7.7918,7.79028,7.79114,928,NaN
1577934000,7.79114,7.79116,7.78949,7.78952,952,NaN
1577937600,7.78952,7.79003,7.78952,7.79,344,NaN
1577941200,7.79,7.79011,7.78911,7.78983,594,NaN
1577944800,7.78983,7.79058,7.78958,7.79053,860,NaN
1577948400,7.79053,7.79069,7.7899,7.79042,832,NaN
1577952000,7.79042,7.791,7.78974,7.79052,1409,NaN
1577955600,7.79052,7.79084,7.78972,7.7898,901,NaN
1577959200,7.7898,7.79032,7.78864,7.79013,807,NaN
1577962800,7.79013,7.79197,7.78997,7.79145,1072,NaN
1577966400,7.79145,7.79159,7.79072,7.79078,260,NaN
1577970000,7.79078,7.79092,7.79062,7.79078,205,NaN
1577973600,7.79078,7.79094,7.79048,7.79056,365,NaN
1577977200,7.79056,7.79066,7.78862,7.7891,814,NaN
1577980800,7.7891,7.78967,7.78813,7.78921,1306,NaN
1577984400,7.78921,7.79068,7.7892,7.78994,412,1013.35
1577988000,7.78994,7.79072,7.78874,7.79072,738,1047.55
1577991600,7.79072,7.79072,7.78918,7.78944,454,872.5
1577995200,7.78944,7.78952,7.78798,7.7885,548,738.95
1577998800,7.7885,7.78858,7.78796,7.78845,452,712.65
1578002400,7.78845,7.78989,7.78845,7.78971,26,667.55
1578006000,7.78971,7.78987,7.7883,7.78862,706,655.25
1578009600,7.78862,7.7902,7.78803,7.78936,1257,700.9
1578013200,7.78936,7.78947,7.78678,7.78741,1354,738.9
1578016800,7.78741,7.78772,7.7829,7.78371,2797,835.75
1578020400,7.78371,7.78484,7.78338,7.78386,957,842
1578024000,7.78386,7.78413,7.78324,7.7835,619,802.5
1578027600,7.7835,7.78361,7.77765,7.7795,2009,857.9
1578031200,7.7795,7.78175,7.77908,7.78018,2817,958.4
1578034800,7.78018,7.7805,7.7769,7.78,2781,1043.85
1578038400,7.78,7.78226,7.77899,7.78168,3351,1198.4
1578042000,7.78168,7.78248,7.78142,7.7824,1318,1254.05
1578045600,7.7824,7.78266,7.78005,7.78008,1326,1302.1
1578049200,7.78008,7.7801,7.77776,7.77786,878,1305.3
1578052800,7.77786,7.77826,7.77769,7.77825,296,1254.8
1578056400,7.77825,7.77906,7.77768,7.77778,915,1279.95
1578060000,7.77778,7.77838,7.77756,7.77802,568,1271.45
1578063600,7.77802,7.77892,7.77604,7.77644,1707,1334.1
