time,open,high,low,close,Volume,Volume MA
1644184980,0.70766,0.70798,0.70766,0.70798,1,NaN
1644185040,0.70798,0.70812,0.70798,0.70812,1,NaN
1644185100,0.70812,0.70812,0.70806,0.70806,1,NaN
1644185160,0.70806,0.70816,0.70806,0.70816,3,NaN
1644185280,0.70816,0.70816,0.70796,0.70796,4,NaN
1644185460,0.70796,0.70804,0.70787,0.70794,4,NaN
1644185580,0.70794,0.70825,0.70776,0.70806,20,NaN
1644185640,0.70806,0.70813,0.70798,0.70806,3,NaN
1644185820,0.70806,0.70816,0.70806,0.70816,1,NaN
1644186780,0.70816,0.70822,0.70788,0.70822,10,NaN
1644187020,0.70822,0.70828,0.70822,0.70822,2,NaN
1644187200,0.70822,0.70822,0.70816,0.70816,1,NaN
1644187380,0.70816,0.70822,0.70816,0.70822,1,NaN
1644187440,0.70822,0.70832,0.70821,0.70821,4,NaN
1644187500,0.70821,0.70821,0.70791,0.70791,3,NaN
1644187560,0.70791,0.70809,0.70791,0.70803,7,NaN
1644187620,0.70803,0.70803,0.70784,0.70784,2,NaN
1644187680,0.70784,0.70815,0.70784,0.70815,6,NaN
1644187740,0.70815,0.70822,0.70815,0.70822,1,NaN
1644187800,0.70822,0.70822,0.70797,0.70797,3,3.9
1644187860,0.70797,0.70804,0.70797,0.70804,1,3.9
1644187920,0.70804,0.70818,0.70804,0.70818,2,3.95
1644187980,0.70818,0.70825,0.70818,0.70825,1,3.95
1644188100,0.70825,0.70825,0.70819,0.70819,1,3.85
1644188160,0.70819,0.70833,0.70819,0.70833,2,3.75
1644188220,0.70833,0.70833,0.70821,0.70821,2,3.65
1644188280,0.70821,0.70826,0.70821,0.70826,1,2.7
1644188340,0.70826,0.70864,0.70812,0.70822,33,4.2
1644188400,0.70822,0.70855,0.70815,0.70829,42,6.25
1644188460,0.70829,0.70853,0.70824,0.7085,11,6.3
1644188520,0.7085,0.70855,0.70845,0.70855,8,6.6
1644188580,0.70855,0.70855,0.70844,0.70848,4,6.75
1644188640,0.70848,0.70848,0.70844,0.70848,2,6.8
1644188700,0.70848,0.70848,0.7083,0.7083,7,6.95
1644188760,0.7083,0.7083,0.70823,0.70823,2,6.9
1644188820,0.70823,0.70836,0.7082,0.70822,10,7.05
1644188880,0.70822,0.70836,0.70822,0.70833,5,7.2
1644188940,0.70833,0.70834,0.70826,0.70834,6,7.2
1644189000,0.70834,0.70838,0.70826,0.70833,6,7.45
1644189060,0.70833,0.70833,0.70799,0.70799,12,7.9
1644189120,0.70799,0.70806,0.70798,0.70798,4,8.05
1644189180,0.70798,0.70798,0.70791,0.70798,4,8.15
1644189240,0.70798,0.70812,0.70794,0.70806,11,8.65
1644189300,0.70806,0.70816,0.70806,0.70813,6,8.9
1644189360,0.70813,0.70816,0.7081,0.7081,3,8.95
1644189420,0.7081,0.70812,0.70798,0.70798,7,9.2
1644189480,0.70798,0.70802,0.70794,0.70798,4,9.35
1644189540,0.70798,0.70798,0.70787,0.70787,5,7.95
1644189600,0.70787,0.70798,0.70787,0.70798,3,6
1644189660,0.70798,0.70801,0.70798,0.70798,2,5.55
1644189720,0.70798,0.70798,0.7079,0.7079,2,5.25
1644189780,0.7079,0.70798,0.7079,0.70791,4,5.25
1644189840,0.70791,0.70795,0.70788,0.70788,3,5.3
1644189900,0.70788,0.70792,0.70788,0.70792,1,5
1644189960,0.70792,0.70792,0.70785,0.70785,2,5
1644190020,0.70785,0.70788,0.70781,0.70781,3,4.65
1644190080,0.70781,0.70792,0.70778,0.70786,7,4.75
1644190140,0.70786,0.70792,0.70786,0.70788,3,4.6
1644190200,0.70788,0.70795,0.70785,0.70792,5,4.55
1644190320,0.70792,0.708,0.70792,0.708,4,4.15
1644190380,0.708,0.708,0.70792,0.70796,3,4.1
1644190440,0.70796,0.70796,0.70792,0.70792,1,3.95
1644190500,0.70792,0.70792,0.70781,0.70781,3,3.55
1644190560,0.70781,0.70784,0.70781,0.70781,2,3.35
1644190620,0.70781,0.70781,0.70778,0.70778,1,3.25
1644190680,0.70778,0.70778,0.70774,0.70778,2,3
1644190740,0.70778,0.70785,0.70778,0.70781,5,3.05
1644190800,0.70781,0.70792,0.70781,0.70788,4,3
1644190860,0.70788,0.70792,0.70786,0.70788,4,3.05
1644190920,0.70788,0.70792,0.70786,0.70786,5,3.2
1644190980,0.70786,0.70793,0.70786,0.7079,3,3.25
1644191040,0.7079,0.70806,0.70788,0.70806,7,3.4
1644191100,0.70806,0.70811,0.70803,0.70811,3,3.4
1644191160,0.70811,0.70818,0.70808,0.70814,7,3.7
1644191220,0.70814,0.70818,0.70814,0.70818,1,3.65
1644191280,0.70818,0.70818,0.70814,0.70814,1,3.55
1644191340,0.70814,0.70814,0.7081,0.7081,1,3.25
1644191400,0.7081,0.7081,0.70802,0.70802,2,3.2
1644191460,0.70802,0.70802,0.7079,0.7079,4,3.15
1644191580,0.7079,0.7079,0.70782,0.70782,4,3.15
1644191640,0.70782,0.70782,0.70779,0.70782,2,3.1
1644191700,0.70782,0.70782,0.70776,0.70776,2,3.15
1644191760,0.70776,0.70782,0.70776,0.70782,2,3.1
1644191820,0.70782,0.70789,0.70782,0.70789,2,3.1
1644191880,0.70789,0.70798,0.70789,0.70796,4,3.25
1644191940,0.70796,0.70798,0.70788,0.70798,4,3.35
1644192000,0.70798,0.70804,0.70794,0.70794,5,3.35
1644192060,0.70794,0.70794,0.70758,0.70768,17,4
1644192120,0.70768,0.70771,0.70754,0.70771,15,4.55
1644192180,0.70771,0.70771,0.70763,0.70763,2,4.4
1644192240,0.70763,0.70763,0.70755,0.70758,7,4.6
1644192300,0.70758,0.70758,0.70754,0.70754,1,4.3
1644192360,0.70754,0.70755,0.70737,0.70744,11,4.7
1644192420,0.70744,0.70754,0.70741,0.7075,8,4.75
1644192480,0.7075,0.7075,0.70732,0.70738,12,5.3
1644192540,0.70738,0.70744,0.70737,0.70744,4,5.45
1644192600,0.70744,0.70758,0.70744,0.70758,8,5.8
1644192660,0.70758,0.70758,0.70734,0.70738,8,6.1
1644192720,0.70738,0.70752,0.70738,0.70748,7,6.25
1644192780,0.70748,0.7075,0.70741,0.7075,5,6.3
1644192840,0.7075,0.70758,0.7075,0.70754,5,6.45
1644192900,0.70754,0.70754,0.70737,0.70737,7,6.7
1644192960,0.70737,0.70737,0.70714,0.70714,8,7
1644193020,0.70714,0.7073,0.70714,0.70724,11,7.45
1644193080,0.70724,0.70733,0.70718,0.70722,13,7.9
1644193140,0.70722,0.70726,0.70704,0.70704,7,8.05
1644193200,0.70704,0.70706,0.70698,0.707,6,8.1
1644193260,0.707,0.70708,0.707,0.707,4,7.45
1644193320,0.707,0.70718,0.707,0.70718,7,7.05
1644193380,0.70718,0.70718,0.70715,0.70715,1,7
1644193440,0.70715,0.70715,0.707,0.70704,7,7
1644193500,0.70704,0.70714,0.70704,0.70714,5,7.2
1644193560,0.70714,0.70722,0.70714,0.70718,3,6.8
1644193620,0.70718,0.70721,0.70712,0.70716,6,6.7
1644193680,0.70716,0.70716,0.70708,0.70708,2,6.2
1644193740,0.70708,0.70712,0.70704,0.70712,7,6.35
1644193800,0.70712,0.70718,0.70704,0.70704,12,6.55
1644193860,0.70704,0.70715,0.70704,0.70711,4,6.35
1644193920,0.70711,0.70711,0.707,0.707,9,6.45
1644193980,0.707,0.707,0.70697,0.707,4,6.4
1644194040,0.707,0.70714,0.707,0.70714,4,6.35
1644194100,0.70714,0.7072,0.70714,0.7072,2,6.1
1644194160,0.7072,0.70724,0.70702,0.70702,9,6.15
1644194220,0.70702,0.7071,0.70699,0.7071,8,6
1644194280,0.7071,0.70718,0.7071,0.70718,2,5.45
1644194340,0.70718,0.70736,0.70718,0.70736,5,5.35
1644194460,0.70736,0.70736,0.70724,0.70725,5,5.3
1644194520,0.70725,0.7073,0.70724,0.7073,6,5.4
1644194580,0.7073,0.7073,0.70724,0.70724,2,5.15
1644194640,0.70724,0.70727,0.7072,0.70727,3,5.25
1644194700,0.70727,0.70727,0.70714,0.70718,7,5.25
1644194760,0.70718,0.70725,0.70718,0.70722,5,5.25
1644194820,0.70722,0.70725,0.70715,0.70715,4,5.3
1644194880,0.70715,0.70715,0.70707,0.7071,3,5.15
1644194940,0.7071,0.70714,0.70703,0.70714,5,5.3
1644195000,0.70714,0.70727,0.70714,0.70724,9,5.4
1644195060,0.70724,0.70731,0.7072,0.70724,8,5.2
1644195120,0.70724,0.70732,0.70716,0.70728,9,5.45
1644195180,0.70728,0.70734,0.70728,0.70731,3,5.15
1644195240,0.70731,0.70735,0.70722,0.70722,12,5.55
1644195300,0.70722,0.70744,0.7071,0.70744,16,6.15
1644195360,0.70744,0.70748,0.70738,0.70738,6,6.35
1644195420,0.70738,0.70748,0.70738,0.70748,3,6.05
1644195480,0.70748,0.70752,0.70748,0.70748,2,5.75
1644195540,0.70748,0.70756,0.70745,0.70745,9,6.1
1644195600,0.70745,0.70757,0.70742,0.70746,10,6.35
1644195660,0.70746,0.70754,0.70743,0.70746,8,6.5
1644195720,0.70746,0.70761,0.70746,0.70754,6,6.5
1644195780,0.70754,0.70758,0.7075,0.70754,4,6.6
1644195840,0.70754,0.70778,0.7075,0.70764,17,7.3
1644195900,0.70764,0.70765,0.70744,0.70744,8,7.35
1644195960,0.70744,0.70748,0.70734,0.70734,13,7.75
1644196020,0.70734,0.70742,0.70723,0.70742,18,8.45
1644196080,0.70742,0.70742,0.70696,0.707,21,9.35
1644196140,0.707,0.707,0.70692,0.70696,13,9.75
1644196200,0.70696,0.7073,0.70692,0.70724,16,10.1
1644196260,0.70724,0.70728,0.70714,0.70728,11,10.25
1644196320,0.70728,0.70762,0.70728,0.70758,15,10.55
1644196380,0.70758,0.70772,0.70758,0.70769,15,11.15
1644196440,0.70769,0.70788,0.70769,0.70784,12,11.15
1644196500,0.70784,0.7079,0.70772,0.70787,17,11.2
1644196560,0.70787,0.70798,0.70779,0.70779,10,11.4
1644196620,0.70779,0.70786,0.70757,0.70757,16,12.05
1644196680,0.70757,0.70761,0.70746,0.70756,12,12.55
1644196740,0.70756,0.70763,0.70752,0.70756,12,12.7
1644196800,0.70756,0.70756,0.70741,0.70745,9,12.65
1644196860,0.70745,0.70749,0.70742,0.70744,8,12.65
1644196920,0.70744,0.70751,0.70742,0.70742,11,12.9
1644196980,0.70742,0.70781,0.70742,0.70781,11,13.25
1644197040,0.70781,0.70792,0.70778,0.70792,13,13.05
1644197100,0.70792,0.70802,0.70791,0.70802,7,13
1644197160,0.70802,0.7081,0.70796,0.7081,6,12.65
1644197220,0.7081,0.70813,0.70806,0.70806,7,12.1
1644197280,0.70806,0.7081,0.70806,0.70806,2,11.15
1644197340,0.70806,0.70806,0.70768,0.70768,13,11.15
1644197400,0.70768,0.70782,0.70768,0.70775,12,10.95
1644197460,0.70775,0.70785,0.70774,0.70782,10,10.9
1644197520,0.70782,0.70789,0.70771,0.70771,11,10.7
1644197580,0.70771,0.70788,0.70771,0.70788,13,10.6
1644197640,0.70788,0.70798,0.70788,0.70795,8,10.4
1644197700,0.70795,0.70816,0.70795,0.70816,6,9.85
1644197760,0.70816,0.70838,0.70816,0.70834,9,9.8
1644197820,0.70834,0.70836,0.70826,0.70836,15,9.75
1644197880,0.70836,0.70844,0.70836,0.7084,13,9.8
1644197940,0.7084,0.70847,0.7084,0.70843,7,9.55
1644198000,0.70843,0.70846,0.70826,0.70826,9,9.55
1644198060,0.70826,0.7083,0.70808,0.70808,7,9.5
1644198120,0.70808,0.70815,0.70808,0.70812,5,9.2
1644198180,0.70812,0.70812,0.70796,0.70806,9,9.1
1644198240,0.70806,0.7081,0.708,0.70804,5,8.7
1644198300,0.70804,0.70804,0.70782,0.70782,6,8.65
1644198360,0.70782,0.70786,0.70772,0.70784,12,8.95
1644198420,0.70784,0.70798,0.70784,0.70798,8,9
1644198480,0.70798,0.70798,0.70794,0.70798,2,9
1644198540,0.70798,0.70806,0.70794,0.70806,4,8.55
1644198600,0.70806,0.70813,0.70805,0.70805,4,8.15
1644198660,0.70805,0.70805,0.70782,0.70782,8,8.05
1644198720,0.70782,0.70795,0.70782,0.70785,9,7.95
1644198780,0.70785,0.70788,0.70778,0.70788,5,7.55
1644198840,0.70788,0.70798,0.70783,0.70783,7,7.5
1644198900,0.70783,0.7079,0.7078,0.7079,6,7.5
1644198960,0.7079,0.7079,0.70776,0.70776,4,7.25
1644199020,0.70776,0.70776,0.70754,0.70754,12,7.1
1644199080,0.70754,0.70762,0.70754,0.70762,4,6.65
1644199140,0.70762,0.70781,0.70759,0.70781,7,6.65
1644199200,0.70781,0.70798,0.70781,0.70794,12,6.8
1644199260,0.70794,0.70802,0.70792,0.70802,8,6.85
1644199320,0.70802,0.70813,0.70802,0.70802,6,6.9
1644199380,0.70802,0.70802,0.70795,0.70795,4,6.65
1644199440,0.70795,0.70806,0.70786,0.70786,8,6.8
1644199500,0.70786,0.70809,0.70786,0.70799,11,7.05
1644199560,0.70799,0.70802,0.70795,0.70795,7,6.8
1644199620,0.70795,0.70795,0.70774,0.70786,11,6.95
1644199680,0.70786,0.70788,0.70782,0.70782,5,7.1
1644199740,0.70782,0.708,0.70782,0.70792,9,7.35
1644199800,0.70792,0.70792,0.70758,0.70758,16,7.95
1644199860,0.70758,0.70769,0.70758,0.70769,15,8.3
1644199920,0.70769,0.70779,0.70766,0.70776,10,8.35
1644199980,0.70776,0.70776,0.70768,0.70768,14,8.8
1644200040,0.70768,0.70782,0.70768,0.70782,10,8.95
1644200100,0.70782,0.70793,0.70782,0.70789,14,9.35
1644200160,0.70789,0.70789,0.70782,0.70789,4,9.35
1644200220,0.70789,0.70799,0.70788,0.70792,9,9.2
1644200280,0.70792,0.70792,0.70774,0.70774,7,9.35
1644200340,0.70774,0.70774,0.70758,0.70762,7,9.35
1644200400,0.70762,0.70789,0.70762,0.70789,14,9.45
1644200460,0.70789,0.70792,0.70782,0.70786,9,9.5
1644200520,0.70786,0.70786,0.70778,0.70778,4,9.4
1644200580,0.70778,0.70782,0.70769,0.70769,7,9.55
1644200640,0.70769,0.70769,0.70766,0.70768,4,9.35
1644200700,0.70768,0.70772,0.70764,0.70764,3,8.95
1644200760,0.70764,0.70771,0.70764,0.70768,3,8.75
1644200820,0.70768,0.70778,0.70768,0.70778,5,8.45
1644200880,0.70778,0.70778,0.70764,0.70768,7,8.55
1644200940,0.70768,0.70768,0.70754,0.70754,6,8.4
1644201000,0.70754,0.70759,0.70748,0.70752,9,8.05
1644201060,0.70752,0.70762,0.70752,0.70755,7,7.65
1644201120,0.70755,0.70755,0.70738,0.70738,9,7.6
1644201180,0.70738,0.70744,0.70737,0.70744,4,7.1
1644201240,0.70744,0.70752,0.70744,0.70752,6,6.9
1644201300,0.70752,0.70752,0.70746,0.70748,3,6.35
1644201360,0.70748,0.70748,0.70738,0.70738,3,6.3
1644201420,0.70738,0.70738,0.70719,0.70719,11,6.4
1644201480,0.70719,0.70723,0.70716,0.70723,5,6.3
1644201540,0.70723,0.70729,0.70715,0.70729,8,6.35
1644201600,0.70729,0.70736,0.70725,0.70736,6,5.95
1644201660,0.70736,0.70737,0.70728,0.70737,5,5.75
1644201720,0.70737,0.70746,0.70736,0.70746,9,6
1644201780,0.70746,0.70747,0.70743,0.70744,3,5.8
1644201840,0.70744,0.70744,0.70738,0.70738,4,5.8
1644201900,0.70738,0.70741,0.70737,0.70737,4,5.85
1644201960,0.70737,0.70748,0.70737,0.70744,4,5.9
1644202020,0.70744,0.7075,0.70736,0.7075,6,5.95
1644202140,0.7075,0.7075,0.7074,0.7074,3,5.75
1644202200,0.7074,0.7074,0.70729,0.70729,5,5.7
1644202260,0.70729,0.70732,0.70728,0.7073,5,5.5
1644202320,0.7073,0.7074,0.7073,0.7074,5,5.4
1644202380,0.7074,0.7074,0.70736,0.7074,2,5.05
1644202440,0.7074,0.7074,0.70736,0.70736,1,4.9
1644202500,0.70736,0.7074,0.70732,0.7074,3,4.75
1644202560,0.7074,0.7074,0.70725,0.7074,8,5
1644202620,0.7074,0.70758,0.7074,0.70758,5,5.1
1644202680,0.70758,0.70768,0.70754,0.70754,11,5.1
1644202740,0.70754,0.70754,0.70734,0.70734,6,5.15
1644202800,0.70734,0.70742,0.70734,0.70738,3,4.9
1644202860,0.70738,0.70746,0.70734,0.70734,7,4.95
1644202920,0.70734,0.7074,0.70734,0.7074,8,5.1
1644202980,0.7074,0.7074,0.70726,0.7073,7,5
1644203040,0.7073,0.7073,0.70698,0.707,14,5.55
1644203100,0.707,0.70706,0.7069,0.70706,11,5.9
1644203160,0.70706,0.70706,0.70672,0.70676,10,6.2
1644203220,0.70676,0.70687,0.70676,0.7068,13,6.65
1644203280,0.7068,0.7068,0.70668,0.70679,6,6.65
1644203340,0.70679,0.7068,0.70668,0.70668,6,6.8
1644203400,0.70668,0.70668,0.7066,0.70668,4,6.75
1644203460,0.70668,0.70668,0.70653,0.70656,5,6.75
1644203520,0.70656,0.70676,0.70656,0.7067,8,6.9
1644203580,0.7067,0.70673,0.70667,0.70667,3,6.95
1644203640,0.70667,0.70674,0.70667,0.70674,6,7.2
1644203700,0.70674,0.70685,0.70668,0.70685,7,7.4
1644203760,0.70685,0.70693,0.70685,0.70686,4,7.2
1644203820,0.70686,0.70686,0.70678,0.70684,6,7.25
1644203880,0.70684,0.70688,0.70684,0.70688,1,6.75
1644203940,0.70688,0.70688,0.70684,0.70684,3,6.6
1644204000,0.70684,0.70684,0.70674,0.70678,8,6.85
1644204060,0.70678,0.70681,0.70678,0.70681,3,6.65
1644204120,0.70681,0.70688,0.70678,0.70688,4,6.45
1644204180,0.70688,0.70702,0.70688,0.70702,4,6.3
1644204300,0.70702,0.70702,0.70696,0.70696,2,5.7
1644204360,0.70696,0.70702,0.70696,0.70698,3,5.3
1644204420,0.70698,0.70709,0.70698,0.70709,3,4.95
1644204480,0.70709,0.7072,0.70709,0.7072,3,4.45
1644204540,0.7072,0.70724,0.70714,0.70714,10,4.65
1644204600,0.70714,0.70718,0.70704,0.70704,7,4.7
1644204660,0.70704,0.70704,0.707,0.70704,2,4.6
1644204720,0.70704,0.70704,0.7069,0.70694,5,4.6
1644204780,0.70694,0.70698,0.70694,0.70694,4,4.4
1644204840,0.70694,0.70702,0.70691,0.70702,4,4.45
1644204900,0.70702,0.70708,0.70702,0.70708,2,4.25
1644204960,0.70708,0.70734,0.70708,0.70734,7,4.25
1644205020,0.70734,0.70741,0.70731,0.70731,7,4.4
1644205080,0.70731,0.70741,0.70731,0.70741,3,4.25
1644205140,0.70741,0.70758,0.70741,0.70754,6,4.5
1644205200,0.70754,0.70766,0.70754,0.70762,6,4.65
1644205260,0.70762,0.70774,0.70762,0.7077,4,4.45
1644205320,0.7077,0.70778,0.7077,0.7077,4,4.5
1644205380,0.7077,0.70778,0.7077,0.70772,6,4.6
1644205440,0.70772,0.70778,0.70772,0.70775,5,4.65
1644205500,0.70775,0.70775,0.70764,0.70767,6,4.85
1644205620,0.70767,0.70771,0.70767,0.70771,1,4.75
1644205680,0.70771,0.70782,0.70771,0.70778,6,4.9
1644205740,0.70778,0.70778,0.70774,0.70778,2,4.85
1644205800,0.70778,0.70782,0.70778,0.70778,2,4.45
1644205860,0.70778,0.70778,0.70776,0.70778,2,4.2
1644205920,0.70778,0.70778,0.70775,0.70775,1,4.15
1644205980,0.70775,0.70775,0.70768,0.70768,2,4
1644206040,0.70768,0.70772,0.70768,0.70772,3,3.95
1644206100,0.70772,0.70772,0.70762,0.70768,7,4.1
1644206160,0.70768,0.70772,0.70768,0.70769,2,4.1
1644206220,0.70769,0.70769,0.70761,0.70764,5,4
1644206280,0.70764,0.70768,0.70762,0.70762,7,4
1644206340,0.70762,0.70762,0.70758,0.70758,3,4
1644206400,0.70758,0.70761,0.70754,0.70761,3,3.85
1644206460,0.70761,0.70782,0.70761,0.70782,10,4.05
1644206520,0.70782,0.70786,0.70782,0.70786,3,4
1644206580,0.70786,0.70795,0.70782,0.70792,10,4.3
1644206640,0.70792,0.70798,0.70792,0.70798,2,4.1
1644206700,0.70798,0.70806,0.70798,0.70802,3,4
1644206820,0.70802,0.70813,0.70802,0.70813,5,3.95
1644206880,0.70813,0.70816,0.70813,0.70816,1,3.95
1644206940,0.70816,0.70816,0.7079,0.7079,7,4
1644207000,0.7079,0.70805,0.7079,0.70805,4,4.1
1644207060,0.70805,0.70805,0.70802,0.70802,1,4.05
1644207120,0.70802,0.70809,0.70802,0.70809,4,4.15
1644207180,0.70809,0.70822,0.70809,0.70822,4,4.3
1644207240,0.70822,0.70844,0.70822,0.70844,12,4.8
1644207300,0.70844,0.70852,0.7084,0.70852,6,4.95
1644207360,0.70852,0.70852,0.70848,0.70848,3,4.75
1644207420,0.70848,0.70848,0.70844,0.70844,1,4.7
1644207480,0.70844,0.70852,0.70844,0.70852,4,4.65
1644207540,0.70852,0.70856,0.70852,0.70854,2,4.4
1644207600,0.70854,0.70868,0.70854,0.70868,6,4.55
1644207660,0.70868,0.70874,0.70868,0.7087,5,4.65
1644207720,0.7087,0.70874,0.70866,0.70866,3,4.3
1644207780,0.70866,0.70887,0.70866,0.70883,11,4.7
1644207840,0.70883,0.70883,0.70875,0.70879,3,4.35
1644207900,0.70879,0.70879,0.70868,0.70868,3,4.4
1644207960,0.70868,0.70872,0.70868,0.70872,3,4.4
1644208020,0.70872,0.7088,0.70869,0.7088,4,4.35
1644208080,0.7088,0.7088,0.7087,0.7087,3,4.45
1644208140,0.7087,0.70874,0.7086,0.7086,5,4.35
1644208200,0.7086,0.70867,0.7086,0.70867,4,4.35
