time,open,high,low,close,Volume,Volume MA
1644184980,1.14516,1.14615,1.14516,1.14598,3,NaN
1644185100,1.14598,1.14598,1.14561,1.14578,12,NaN
1644185160,1.14578,1.14639,1.14572,1.14572,27,NaN
1644185340,1.14572,1.14582,1.14572,1.14582,2,NaN
1644185400,1.14582,1.14586,1.14582,1.14586,1,NaN
1644185460,1.14586,1.14586,1.14565,1.14575,23,NaN
1644185520,1.14575,1.14575,1.1457,1.1457,1,NaN
1644185580,1.1457,1.14576,1.14562,1.14576,3,NaN
1644185640,1.14576,1.14582,1.14576,1.14582,3,NaN
1644185700,1.14582,1.14587,1.14582,1.14587,3,NaN
1644186240,1.14587,1.14587,1.14575,1.14575,2,NaN
1644186300,1.14575,1.14579,1.14575,1.14579,1,NaN
1644186360,1.14579,1.14579,1.14574,1.14574,1,NaN
1644186420,1.14574,1.14574,1.1457,1.1457,1,NaN
1644186540,1.1457,1.14579,1.1457,1.14579,2,NaN
1644186600,1.14579,1.14586,1.14579,1.14586,1,NaN
1644186960,1.14586,1.14604,1.14586,1.14598,9,NaN
1644187020,1.14598,1.14598,1.14584,1.14598,7,NaN
1644187140,1.14598,1.14622,1.14586,1.14586,19,NaN
1644187200,1.14586,1.146,1.14582,1.146,3,6.2
1644187260,1.146,1.146,1.14592,1.14592,2,6.15
1644187380,1.14592,1.14592,1.14581,1.14592,7,5.9
1644187500,1.14592,1.14592,1.14582,1.14587,3,4.7
1644187620,1.14587,1.14587,1.14582,1.14582,1,4.65
1644187680,1.14582,1.14586,1.14582,1.14586,1,4.65
1644187740,1.14586,1.14586,1.14577,1.14577,2,3.6
1644187800,1.14577,1.14586,1.14576,1.14586,4,3.75
1644187860,1.14586,1.14586,1.1458,1.1458,1,3.65
1644188100,1.1458,1.1458,1.14575,1.14575,1,3.55
1644188160,1.14575,1.14576,1.14571,1.14576,2,3.5
1644188280,1.14576,1.14584,1.14576,1.14584,2,3.5
1644188340,1.14584,1.14584,1.14572,1.14572,3,3.6
1644188400,1.14572,1.14582,1.14568,1.14572,25,4.8
1644188460,1.14572,1.14576,1.14562,1.14576,14,5.45
1644188520,1.14576,1.14582,1.14566,1.1457,16,6.15
1644188580,1.1457,1.1457,1.14555,1.14563,54,8.8
1644188640,1.14563,1.14564,1.14559,1.14564,9,8.8
1644188700,1.14564,1.14564,1.14556,1.14556,11,9
1644188760,1.14556,1.14556,1.14554,1.14556,2,8.15
1644188820,1.14556,1.1456,1.14552,1.1456,9,8.45
1644188880,1.1456,1.14566,1.1456,1.14566,9,8.8
1644188940,1.14566,1.14572,1.14561,1.1457,15,9.2
1644189000,1.1457,1.1458,1.14568,1.1458,10,9.55
1644189060,1.1458,1.14584,1.14576,1.14576,10,10
1644189120,1.14576,1.14576,1.14558,1.14558,15,10.7
1644189180,1.14558,1.14558,1.14554,1.14554,5,10.85
1644189240,1.14554,1.1456,1.14552,1.1456,19,11.6
1644189300,1.1456,1.14569,1.14556,1.14568,16,12.35
1644189360,1.14568,1.14568,1.14552,1.14552,13,12.95
1644189420,1.14552,1.14554,1.14549,1.14549,13,13.5
1644189480,1.14549,1.14551,1.14543,1.14548,10,13.9
1644189540,1.14548,1.14554,1.14544,1.14554,12,14.35
1644189600,1.14554,1.14556,1.14546,1.14548,9,13.55
1644189660,1.14548,1.1455,1.14542,1.14546,15,13.6
1644189720,1.14546,1.14554,1.14544,1.14554,15,13.55
1644189780,1.14554,1.14554,1.14552,1.14554,6,11.15
1644189840,1.14554,1.14556,1.1455,1.14554,9,11.15
1644189900,1.14554,1.14554,1.14548,1.14548,8,11
1644189960,1.14548,1.14548,1.14534,1.14534,17,11.75
1644190020,1.14534,1.14534,1.14526,1.14533,11,11.85
1644190080,1.14533,1.1454,1.14527,1.1454,11,11.95
1644190140,1.1454,1.1454,1.14532,1.14534,6,11.5
1644190200,1.14534,1.14546,1.14534,1.14546,8,11.4
1644190260,1.14546,1.14554,1.14546,1.14554,6,11.2
1644190320,1.14554,1.14556,1.14553,1.14556,4,10.65
1644190380,1.14556,1.14556,1.14552,1.14554,6,10.7
1644190440,1.14554,1.14554,1.14552,1.14554,7,10.1
1644190500,1.14554,1.14554,1.14544,1.14546,20,10.3
1644190560,1.14546,1.14546,1.14544,1.14544,1,9.7
1644190620,1.14544,1.14552,1.14544,1.14549,7,9.4
1644190680,1.14549,1.1455,1.14544,1.14549,14,9.6
1644190740,1.14549,1.14552,1.14549,1.14552,5,9.25
1644190800,1.14552,1.14555,1.14552,1.14553,6,9.1
1644190860,1.14553,1.14563,1.14553,1.14557,19,9.3
1644190920,1.14557,1.14566,1.14557,1.14558,35,10.3
1644190980,1.14558,1.14561,1.14552,1.14552,17,10.85
1644191040,1.14552,1.14558,1.14552,1.14557,14,11.1
1644191100,1.14557,1.14561,1.14555,1.14555,7,11.05
1644191160,1.14555,1.14558,1.14555,1.14558,2,10.3
1644191220,1.14558,1.14562,1.14558,1.14562,2,9.85
1644191280,1.14562,1.14562,1.14556,1.14557,17,10.15
1644191340,1.14557,1.14559,1.14554,1.14555,10,10.35
1644191400,1.14555,1.14555,1.14539,1.14542,19,10.9
1644191460,1.14542,1.14546,1.14532,1.14532,26,11.9
1644191520,1.14532,1.14536,1.14529,1.14529,9,12.15
1644191580,1.14529,1.1453,1.14521,1.14521,7,12.2
1644191640,1.14521,1.14523,1.14516,1.14523,11,12.4
1644191700,1.14523,1.14525,1.14521,1.14524,8,11.8
1644191760,1.14524,1.14531,1.14522,1.14531,13,12.4
1644191820,1.14531,1.14544,1.1453,1.14543,13,12.7
1644191880,1.14543,1.14543,1.14538,1.1454,7,12.35
1644191940,1.1454,1.14546,1.14538,1.14546,8,12.5
1644192000,1.14546,1.14551,1.14538,1.14541,26,13.5
1644192060,1.14541,1.14541,1.14518,1.14521,51,15.1
1644192120,1.14521,1.1453,1.14516,1.1453,26,14.65
1644192180,1.1453,1.14536,1.14528,1.14532,17,14.65
1644192240,1.14532,1.14544,1.1453,1.14538,23,15.1
1644192300,1.14538,1.14545,1.1453,1.14544,29,16.2
1644192360,1.14544,1.14555,1.14544,1.14554,10,16.6
1644192420,1.14554,1.14561,1.14554,1.1456,15,17.25
1644192480,1.1456,1.1456,1.14546,1.14546,8,16.8
1644192540,1.14546,1.14546,1.14542,1.14544,7,16.65
1644192600,1.14544,1.1455,1.14542,1.14546,16,16.5
1644192660,1.14546,1.14546,1.14536,1.14536,8,15.6
1644192720,1.14536,1.1454,1.1453,1.14538,18,16.05
