time,open,high,low,close,Volume,Volume MA
1644184980,1.3534,1.3538,1.3534,1.3538,1,NaN
1644185040,1.3538,1.35388,1.3538,1.3538,2,NaN
1644185400,1.3538,1.3538,1.35368,1.3538,4,NaN
1644185460,1.3538,1.3538,1.35369,1.3538,2,NaN
1644185520,1.3538,1.35498,1.3538,1.35485,11,NaN
1644185580,1.35485,1.35494,1.35412,1.35412,6,NaN
1644185640,1.35412,1.35412,1.35364,1.3538,9,NaN
1644185700,1.3538,1.3538,1.35326,1.35326,9,NaN
1644185760,1.35326,1.35354,1.35326,1.35354,3,NaN
1644185880,1.35354,1.35354,1.35336,1.35346,3,NaN
1644185940,1.35346,1.35356,1.35346,1.35356,1,NaN
1644186000,1.35356,1.35356,1.35351,1.35356,2,NaN
1644186240,1.35356,1.35356,1.3535,1.3535,1,NaN
1644186480,1.3535,1.35354,1.3535,1.35354,1,NaN
1644186600,1.35354,1.35354,1.35342,1.35352,2,NaN
1644186660,1.35352,1.35352,1.35335,1.35346,3,NaN
1644186720,1.35346,1.35346,1.35336,1.35336,1,NaN
1644186780,1.35336,1.35356,1.35336,1.35349,3,NaN
1644187080,1.35349,1.35349,1.35344,1.35344,1,NaN
1644187140,1.35344,1.35344,1.3534,1.3534,1,3.3
1644187380,1.3534,1.3534,1.35328,1.35339,2,3.35
1644187440,1.35339,1.35339,1.35334,1.35334,1,3.3
1644187500,1.35334,1.35334,1.35308,1.35308,4,3.3
1644187560,1.35308,1.35318,1.35308,1.35314,3,3.35
1644187620,1.35314,1.35335,1.35314,1.35326,12,3.4
1644187680,1.35326,1.35332,1.35326,1.35332,1,3.15
1644187740,1.35332,1.35332,1.35328,1.35328,1,2.75
1644187800,1.35328,1.35329,1.35312,1.35316,8,2.7
1644187860,1.35316,1.35335,1.35312,1.35335,7,2.9
1644187920,1.35335,1.35343,1.35335,1.35343,2,2.85
1644187980,1.35343,1.35343,1.35334,1.35334,2,2.9
1644188400,1.35334,1.35334,1.35327,1.35327,4,3
1644188460,1.35327,1.35328,1.3532,1.3532,8,3.35
1644188520,1.3532,1.3534,1.3532,1.35322,51,5.85
1644188580,1.35322,1.35336,1.35318,1.35322,23,6.9
1644188640,1.35322,1.35325,1.35318,1.3532,6,7.05
1644188700,1.3532,1.35326,1.3532,1.3532,11,7.55
1644188820,1.3532,1.35322,1.3532,1.35322,1,7.45
1644188880,1.35322,1.35326,1.3532,1.35324,4,7.6
1644188940,1.35324,1.35328,1.35324,1.35328,1,7.6
1644189000,1.35328,1.35341,1.35328,1.35341,3,7.65
1644189060,1.35341,1.35341,1.35334,1.35334,1,7.65
1644189120,1.35334,1.35334,1.35326,1.35326,8,7.85
1644189240,1.35326,1.35334,1.35322,1.3533,16,8.5
1644189300,1.3533,1.35339,1.3533,1.35339,3,8.05
1644189360,1.35339,1.35339,1.35334,1.35334,2,8.1
1644189420,1.35334,1.35334,1.35327,1.35328,7,8.4
1644189480,1.35328,1.35338,1.35328,1.35338,5,8.25
1644189600,1.35338,1.3534,1.35338,1.3534,3,8.05
1644189660,1.3534,1.3534,1.35338,1.35338,5,8.2
1644189720,1.35338,1.3534,1.35338,1.35338,4,8.3
1644189780,1.35338,1.3534,1.35338,1.3534,3,8.25
1644189840,1.3534,1.3534,1.35338,1.3534,6,8.15
1644189900,1.3534,1.3534,1.35338,1.35338,1,5.65
1644189960,1.35338,1.35338,1.3533,1.35332,4,4.7
1644190020,1.35332,1.35334,1.35328,1.3533,5,4.65
1644190080,1.3533,1.35342,1.35327,1.35339,7,4.45
1644190140,1.35339,1.35339,1.35337,1.35337,1,4.45
1644190200,1.35337,1.35348,1.35337,1.35344,17,5.1
