time,open,high,low,close,Volume,Volume MA
2022-01-23T22:03:00Z,7.78708,7.78708,7.78702,7.78702,1,NaN
2022-01-23T22:09:00Z,7.78702,7.78702,7.78689,7.78689,1,NaN
2022-01-23T22:14:00Z,7.78689,7.787,7.78689,7.787,1,NaN
2022-01-23T22:49:00Z,7.787,7.78702,7.787,7.78702,1,NaN
2022-01-23T23:00:00Z,7.78702,7.78702,7.787,7.787,1,NaN
2022-01-23T23:01:00Z,7.787,7.78726,7.78669,7.78716,17,NaN
2022-01-23T23:02:00Z,7.78716,7.78716,7.78714,7.78715,31,NaN
2022-01-23T23:03:00Z,7.78715,7.78738,7.78715,7.7872,14,NaN
2022-01-23T23:04:00Z,7.7872,7.78752,7.78715,7.78752,14,NaN
2022-01-23T23:05:00Z,7.78752,7.78752,7.78722,7.78731,17,NaN
2022-01-23T23:06:00Z,7.78731,7.78743,7.78722,7.78726,9,NaN
2022-01-23T23:07:00Z,7.78726,7.78726,7.78714,7.78719,14,NaN
2022-01-23T23:08:00Z,7.78719,7.78724,7.78714,7.78715,11,NaN
2022-01-23T23:09:00Z,7.78715,7.78719,7.78715,7.78715,4,NaN
2022-01-23T23:11:00Z,7.78715,7.78715,7.78715,7.78715,3,NaN
2022-01-23T23:12:00Z,7.78715,7.78715,7.78686,7.78686,1,NaN
2022-01-23T23:14:00Z,7.78686,7.78686,7.78684,7.78684,1,NaN
2022-01-23T23:15:00Z,7.78684,7.78686,7.78648,7.78652,33,NaN
2022-01-23T23:16:00Z,7.78652,7.78658,7.78648,7.78648,4,NaN
2022-01-23T23:17:00Z,7.78648,7.78654,7.78642,7.78642,15,9.65
2022-01-23T23:18:00Z,7.78642,7.78642,7.78642,7.78642,3,9.75
2022-01-23T23:19:00Z,7.78642,7.78662,7.78642,7.7865,11,10.25
2022-01-23T23:20:00Z,7.7865,7.78674,7.7865,7.78658,10,10.7
2022-01-23T23:21:00Z,7.78658,7.78664,7.78658,7.78664,2,10.75
2022-01-23T23:22:00Z,7.78664,7.78682,7.78664,7.78675,11,11.25
2022-01-23T23:23:00Z,7.78675,7.78682,7.78674,7.78678,11,10.95
2022-01-23T23:24:00Z,7.78678,7.7868,7.78678,7.7868,3,9.55
2022-01-23T23:25:00Z,7.7868,7.7868,7.78678,7.7868,2,8.95
2022-01-23T23:26:00Z,7.7868,7.78706,7.78678,7.78678,7,8.6
2022-01-23T23:27:00Z,7.78678,7.78706,7.78678,7.78678,14,8.45
2022-01-23T23:28:00Z,7.78678,7.78704,7.78678,7.78678,10,8.5
2022-01-23T23:29:00Z,7.78678,7.78704,7.78678,7.78678,10,8.3
2022-01-23T23:30:00Z,7.78678,7.78682,7.78678,7.78682,4,7.95
2022-01-23T23:31:00Z,7.78682,7.78682,7.78678,7.78682,3,7.9
2022-01-23T23:32:00Z,7.78682,7.78682,7.78678,7.78678,5,8
2022-01-23T23:33:00Z,7.78678,7.78682,7.78678,7.78682,4,8.15
2022-01-23T23:34:00Z,7.78682,7.78682,7.78678,7.78678,6,8.4
2022-01-23T23:35:00Z,7.78678,7.78682,7.78678,7.78678,14,7.45
2022-01-23T23:36:00Z,7.78678,7.78682,7.78678,7.78682,6,7.55
2022-01-23T23:37:00Z,7.78682,7.78682,7.78678,7.78678,6,7.1
2022-01-23T23:38:00Z,7.78678,7.7869,7.78678,7.78688,12,7.55
2022-01-23T23:39:00Z,7.78688,7.7869,7.78688,7.78688,4,7.2
2022-01-23T23:40:00Z,7.78688,7.78706,7.78688,7.78703,6,7
2022-01-23T23:41:00Z,7.78703,7.78706,7.78703,7.78704,5,7.15
2022-01-23T23:42:00Z,7.78704,7.78724,7.78704,7.78724,4,6.8
2022-01-23T23:44:00Z,7.78724,7.78726,7.78724,7.78726,1,6.3
2022-01-23T23:45:00Z,7.78726,7.78726,7.78726,7.78726,1,6.2
2022-01-23T23:46:00Z,7.78726,7.78726,7.78726,7.78726,1,6.15
2022-01-23T23:47:00Z,7.78726,7.78726,7.78726,7.78726,1,5.85
2022-01-23T23:48:00Z,7.78726,7.78726,7.78726,7.78726,1,5.2
2022-01-23T23:49:00Z,7.78726,7.78726,7.78709,7.78709,2,4.8
2022-01-23T23:50:00Z,7.78709,7.78748,7.78696,7.78748,23,5.45
2022-01-23T23:51:00Z,7.78748,7.78756,7.78748,7.7875,2,5.35
2022-01-23T23:52:00Z,7.7875,7.7875,7.78746,7.78748,8,5.6
2022-01-23T23:54:00Z,7.78748,7.78754,7.78746,7.7875,9,5.8
2022-01-23T23:55:00Z,7.7875,7.78754,7.78748,7.7875,4,5.8
2022-01-23T23:56:00Z,7.7875,7.78754,7.78746,7.78748,7,5.85
2022-01-23T23:57:00Z,7.78748,7.7875,7.78742,7.78745,8,5.55
2022-01-23T23:58:00Z,7.78745,7.78754,7.78745,7.78746,6,5.55
2022-01-23T23:59:00Z,7.78746,7.78746,7.78734,7.78734,8,5.65
2022-01-24T00:00:00Z,7.78734,7.78746,7.78733,7.78742,17,5.9
2022-01-24T00:01:00Z,7.78742,7.78746,7.78742,7.78742,4,5.9
2022-01-24T00:02:00Z,7.78742,7.78742,7.78726,7.78726,9,6.05
2022-01-24T00:03:00Z,7.78726,7.78726,7.78724,7.78724,3,5.95
2022-01-24T00:04:00Z,7.78724,7.78724,7.78724,7.78724,3,5.9
2022-01-24T00:08:00Z,7.78724,7.78724,7.78721,7.78721,4,6.05
2022-01-24T00:09:00Z,7.78721,7.78722,7.78721,7.78722,3,6.15
2022-01-24T00:11:00Z,7.78722,7.78724,7.78722,7.78724,1,6.15
2022-01-24T00:12:00Z,7.78724,7.78726,7.78724,7.78726,2,6.2
2022-01-24T00:13:00Z,7.78726,7.78727,7.78722,7.78727,5,6.4
2022-01-24T00:14:00Z,7.78727,7.78794,7.78727,7.78776,158,14.2
2022-01-24T00:15:00Z,7.78776,7.78788,7.78776,7.78782,22,14.15
2022-01-24T00:16:00Z,7.78782,7.78802,7.78782,7.7879,19,15
2022-01-24T00:17:00Z,7.7879,7.78817,7.7879,7.78816,47,16.95
2022-01-24T00:18:00Z,7.78816,7.78816,7.78798,7.788,46,18.8
2022-01-24T00:19:00Z,7.788,7.7882,7.7878,7.7882,75,22.35
2022-01-24T00:20:00Z,7.7882,7.7882,7.78791,7.78806,46,24.3
2022-01-24T00:21:00Z,7.78806,7.78806,7.7878,7.7878,30,25.4
2022-01-24T00:24:00Z,7.7878,7.78806,7.7878,7.78786,51,27.65
2022-01-24T00:27:00Z,7.78786,7.78831,7.78786,7.7883,36,29.05
2022-01-24T00:28:00Z,7.7883,7.78831,7.7883,7.7883,2,28.3
2022-01-24T00:29:00Z,7.7883,7.78834,7.7883,7.78834,4,28.3
2022-01-24T00:30:00Z,7.78834,7.78834,7.78825,7.78826,9,28.3
2022-01-24T00:31:00Z,7.78826,7.7883,7.78826,7.7883,10,28.65
2022-01-24T00:32:00Z,7.7883,7.7883,7.78828,7.78828,4,28.7
2022-01-24T00:33:00Z,7.78828,7.78828,7.78828,7.78828,3,28.65
2022-01-24T00:34:00Z,7.78828,7.78828,7.78827,7.78827,5,28.75
2022-01-24T00:35:00Z,7.78827,7.78828,7.78827,7.78828,2,28.8
2022-01-24T00:36:00Z,7.78828,7.78828,7.78827,7.78827,2,28.8
2022-01-24T00:37:00Z,7.78827,7.78829,7.78827,7.78827,5,28.8
2022-01-24T00:38:00Z,7.78827,7.78827,7.78827,7.78827,3,21.05
2022-01-24T00:39:00Z,7.78827,7.78827,7.78827,7.78827,1,20
2022-01-24T00:40:00Z,7.78827,7.78827,7.78822,7.78822,9,19.5
2022-01-24T00:41:00Z,7.78822,7.78822,7.7882,7.7882,5,17.4
2022-01-24T00:42:00Z,7.7882,7.7882,7.78792,7.78807,34,16.8
2022-01-24T00:43:00Z,7.78807,7.78824,7.78807,7.78822,12,13.65
2022-01-24T00:45:00Z,7.78822,7.78822,7.7882,7.7882,2,11.45
2022-01-24T00:47:00Z,7.7882,7.78822,7.7882,7.78822,1,10
2022-01-24T00:48:00Z,7.78822,7.78822,7.7882,7.7882,3,7.6
2022-01-24T00:52:00Z,7.7882,7.78821,7.7882,7.7882,2,5.9
2022-01-24T00:53:00Z,7.7882,7.78822,7.7882,7.78822,1,5.85
2022-01-24T00:54:00Z,7.78822,7.78822,7.78782,7.78782,24,6.85
2022-01-24T00:56:00Z,7.78782,7.78782,7.7878,7.78781,3,6.55
2022-01-24T00:57:00Z,7.78781,7.78796,7.78781,7.78796,13,6.7
2022-01-24T00:58:00Z,7.78796,7.78801,7.78796,7.78797,8,6.9
2022-01-24T00:59:00Z,7.78797,7.788,7.78796,7.788,7,7.1
2022-01-24T01:00:00Z,7.788,7.78802,7.788,7.788,4,7.05
2022-01-24T01:01:00Z,7.788,7.788,7.78798,7.78798,3,7.1
2022-01-24T01:02:00Z,7.78798,7.78798,7.78793,7.78795,10,7.5
