time,open,high,low,close,Volume,Volume MA
1642975380,113.69,113.69,113.684,113.69,2,NaN
1642975500,113.69,113.69,113.684,113.69,4,NaN
1642975740,113.69,113.69,113.672,113.679,6,NaN
1642975800,113.679,113.69,113.679,113.684,3,NaN
1642975920,113.684,113.688,113.684,113.688,1,NaN
1642976280,113.688,113.694,113.688,113.694,1,NaN
1642976340,113.694,113.694,113.69,113.69,1,NaN
1642976580,113.69,113.697,113.688,113.697,3,NaN
1642976640,113.697,113.697,113.685,113.685,1,NaN
1642976760,113.685,113.692,113.684,113.688,3,NaN
1642976940,113.688,113.688,113.68,113.68,2,NaN
1642977000,113.68,113.685,113.68,113.685,1,NaN
1642977120,113.685,113.685,113.678,113.678,1,NaN
1642977300,113.678,113.704,113.664,113.674,27,NaN
1642977360,113.674,113.7,113.674,113.698,19,NaN
1642977420,113.698,113.698,113.678,113.684,4,NaN
1642977480,113.684,113.695,113.684,113.69,3,NaN
1642977600,113.69,113.69,113.686,113.686,1,NaN
1642977660,113.686,113.686,113.676,113.676,2,NaN
1642977720,113.676,113.682,113.676,113.678,2,4.35
1642977780,113.678,113.678,113.648,113.66,6,4.55
1642977840,113.66,113.672,113.64,113.655,25,5.6
1642977900,113.655,113.682,113.65,113.674,47,7.65
1642977960,113.674,113.692,113.652,113.688,63,10.65
1642978020,113.688,113.698,113.682,113.698,9,11.05
1642978080,113.698,113.698,113.666,113.689,11,11.55
1642978140,113.689,113.692,113.689,113.69,2,11.6
1642978380,113.69,113.694,113.688,113.688,15,12.2
1642978440,113.688,113.688,113.674,113.688,7,12.5
1642978500,113.688,113.688,113.683,113.686,2,12.45
1642978740,113.686,113.686,113.675,113.677,6,12.65
1642978800,113.677,113.718,113.673,113.716,85,16.85
1642978860,113.716,113.728,113.712,113.728,45,19.05
1642978920,113.728,113.744,113.728,113.742,52,20.3
1642978980,113.742,113.767,113.736,113.764,54,22.05
1642979040,113.764,113.78,113.762,113.778,61,24.9
1642979100,113.778,113.78,113.761,113.764,65,28
1642979160,113.764,113.774,113.752,113.764,74,31.65
1642979220,113.764,113.773,113.76,113.772,19,32.5
1642979280,113.772,113.772,113.756,113.758,15,33.15
1642979340,113.758,113.758,113.75,113.756,7,33.2
1642979400,113.756,113.765,113.741,113.746,42,34.05
1642979460,113.746,113.754,113.746,113.75,28,33.1
1642979520,113.75,113.761,113.748,113.752,18,30.85
1642979580,113.752,113.777,113.752,113.77,29,31.85
1642979640,113.77,113.771,113.764,113.764,7,31.65
1642979700,113.764,113.778,113.762,113.778,12,32.15
1642979760,113.778,113.778,113.762,113.763,14,32.1
1642979820,113.763,113.768,113.758,113.758,19,32.7
1642979880,113.758,113.76,113.75,113.75,24,33.8
1642979940,113.75,113.753,113.75,113.75,16,34.3
