time,open,high,low,close,Volume,Volume MA
1048456800,882.7,883.2,861.9,864.4,823,NaN
1048543200,864.4,880.4,857.6,874.2,815,NaN
1048629600,874.2,876.7,866.6,869.6,791,NaN
1048716000,869.6,874.9,858.1,868.9,770,NaN
1048802400,868.9,870.4,860.8,863.9,787,NaN
1049061600,863.9,864.8,843.3,845.5,791,NaN
1049148000,845.5,861.5,845.5,858.8,839,NaN
1049234400,858.8,885.3,858.8,879.3,847,NaN
1049320800,879.3,890,874.8,874.8,837,NaN
1049407200,874.8,885.3,874.5,879.8,864,NaN
1049662800,879.8,905.8,877.7,877.7,872,NaN
1049749200,877.7,886.5,875.2,879.4,871,NaN
1049835600,879.4,887.9,865.9,867.7,790,NaN
1049922000,867.7,873.1,862.9,873.1,761,NaN
1050008400,873.1,884.4,866.1,869.6,748,NaN
1050267600,869.6,887.1,866.8,886.6,755,NaN
1050354000,886.6,894.6,881.3,894.6,800,NaN
1050440400,894.6,904.4,877.8,880.1,755,NaN
1050526800,880.1,894.3,878.8,893.1,796,NaN
1050872400,893.1,898.8,888.2,894,584,794.8
1050958800,894,912.5,886.2,911.5,720,789.65
1051045200,911.5,920.2,909.7,919,752,786.5
1051131600,919,919,906.5,910.7,809,787.4
1051218000,910.7,913.5,897.4,899.2,746,786.2
1051477200,899.2,918.6,896.6,914.6,741,783.9
1051563600,914.6,924.6,911.1,917.9,741,781.4
1051650000,917.9,922.1,911.6,916.9,696,774.25
1051736400,916.9,916.9,902.6,905.8,350,749.4
1051822800,905.8,930.9,905.8,928.3,802,747.65
1052082000,928.3,933.8,924.3,927.3,736,741.25
1052168400,927.3,940,925,935,700,732.65
1052254800,935,937.8,926.5,930.3,710,724.6
1052341200,930.3,930.3,919.5,921.5,742,722.2
1052427600,921.5,934.2,920.7,933.2,760,722.15
1052686800,933.2,947.2,929.4,944.9,724,720.95
1052773200,944.9,947.7,938.9,943.9,763,721.35
1052859600,943.9,948.7,935.6,941.4,737,718.2
1052946000,941.4,948.6,938.9,947.1,724,716.65
1053032400,947.1,949.1,938.9,944.4,722,712.95
1053291600,944.4,944.4,920,922.3,750,721.25
1053378000,922.3,926,912.3,920,758,723.15
1053464400,920,924.5,913.8,922.5,740,722.55
1053550800,922.5,936,922.5,931.3,701,717.15
1053637200,931.3,935.7,927.5,933,698,714.75
1053896400,933,935.4,932.9,935.4,137,684.55
1053982800,935.4,953.7,927.4,949.7,723,683.65
1054069200,949.7,959.9,949.7,952.1,758,686.75
1054155600,952.1,962.6,946.4,949.4,704,704.45
1054242000,949.4,965.9,949.4,965.4,709,699.8
1054501200,965.4,979.8,965.3,968.8,11884,1257.2
1054587600,968.8,973.6,963.8,972.5,11588,1801.6
1054674000,972.5,988.3,970.5,986.8,11305,2331.35
1054760400,986.8,991.5,977.8,991.5,12172,2902.85
1054846800,991.5,1008.8,986.3,988,14288,3579.25
1055106000,988,992.2,972.5,977.7,10698,4077.95
1055192400,977.7,987.2,976.7,987.2,10065,4543.05
1055278800,987.2,998.4,981.9,997.4,11476,5080
1055365200,997.4,1004.6,990.4,1000.4,4846,5286.1
1055451600,1000.4,1002.4,984.1,989.9,2212,5360.6
1055710800,989.9,1011.3,986.6,1010.8,1777,5411.95
1055797200,1010.8,1016.8,1006.6,1011,1447,5446.4
1055883600,1011,1015.5,1004,1009.3,1243,5471.55
1055970000,1009.3,1013.8,993,995.3,1045,5488.75
1056056400,995.3,1003,992.5,993,9215,5914.6
1056315600,993,994.4,977.1,982.9,9463,6380.9
1056402000,982.9,988.4,978.6,982.9,9728,6831.15
1056488400,982.9,991.9,972.4,972.4,10069,7296.7
1056574800,972.4,987.9,972.4,984.9,10391,7781.05
1056661200,984.9,989.6,973.6,974.6,10254,8258.3
1056920400,974.6,984.3,972.5,974.8,10345,8181.35
1057006800,974.8,984,961.7,983.3,12361,8220
1057093200,983.3,995.3,982.8,995,10874,8198.45
1057179600,995,995.7,976.2,983.7,7232,7951.45
1057525200,983.7,1006.4,983.7,1004.2,9838,7728.95
1057611600,1004.2,1009.9,998.9,1008.2,10007,7694.4
1057698000,1008.2,1011.4,997.4,1000.1,10565,7719.4
1057784400,1000.1,1001.4,983.3,989.8,11328,7712
1057870800,989.8,1001.6,986.6,999.3,10825,8010.95
1058130000,999.3,1016.1,997.3,1004.5,10967,8448.7
1058216400,1004.5,1012.3,996.3,1006.8,12792,8999.45
1058302800,1006.8,1008.5,988.7,994.5,11981,9526.15
1058389200,994.5,994.5,978,982.5,13259,10126.95
1058475600,982.5,994.5,978.7,991.9,9713,10560.35
1058734800,991.9,993.4,974.6,979.4,10682,10633.7
1058821200,979.4,990.6,975.4,988.9,12141,10767.6
1058907600,988.9,992.1,978.8,988.9,10571,10809.75
1058994000,988.9,999.3,979.6,979.8,12068,10909.7
1059080400,979.8,998.8,976,998.1,12007,10990.5
1059339600,998.1,1001.5,992.5,995,11738,11064.7
1059426000,995,999,982.5,990.2,11702,11132.55
1059512400,990.2,994.7,985,987.2,9625,10995.75
1059598800,987.2,1005,986.5,989.7,11783,11041.2
1059685200,989.7,993.7,977.9,980.4,11826,11270.9
1059944400,980.4,985.9,965.9,981.6,11767,11367.35
1060030800,981.6,983.1,959.1,959.8,11579,11445.95
1060117200,959.8,976.1,959.3,965.6,12501,11542.75
1060203600,965.6,976,962.8,975,11639,11558.3
1060290000,975,980.8,973,978.5,9137,11473.9
1060549200,978.5,985.5,973.5,982,9224,11386.75
1060635600,982,991.2,979.5,990.5,8357,11165
1060722000,990.5,994.2,980.4,984.7,9811,11056.5
1060808400,984.7,992.4,974.7,982.9,10011,10894.1
1060894800,982.9,993.2,979.9,991.2,7275,10772.2
1061154000,991.2,1000.9,990.4,999.9,8185,10647.35
1061240400,999.9,1004.1,994.8,1001.8,8908,10485.7
1061326800,1001.8,1003.8,996.3,999.6,8139,10364.1
1061413200,999.6,1010.1,998.8,1003.3,10219,10271.65
1061499600,1003.3,1012.8,992.3,993,10178,10180.2
1061758800,993,994.7,987.5,994.2,8029,9994.75
1061845200,994.2,998.5,983,996.2,9313,9875.3
1061931600,996.2,998.2,992.9,995.7,6394,9713.75
1062018000,995.7,1004.4,990.7,1001.2,7862,9517.7
1062104400,1001.2,1009.6,999.4,1008.4,6792,9266
1062363600,1008.4,1008.6,1007.4,1007.4,50,8680.15
1062450000,1007.4,1023.1,1004.8,1022.6,10446,8623.5
1062536400,1022.6,1030.1,1020.6,1027.1,11002,8548.55
1062622800,1027.1,1029.8,1021.5,1029.3,9005,8416.85
1062709200,1029.3,1029.8,1018,1023,10359,8477.95
1062968400,1023,1033,1021.5,1031.2,9432,8488.35
1063054800,1031.2,1035,1020.7,1022.9,9071,8524.05
1063141200,1022.9,1024.4,1009.4,1013.2,10470,8557
1063227600,1013.2,1021.4,1010.9,1017.1,4119,8262.4
1063314000,1017.1,1020.1,1007.1,1019.1,2150,8006.15
1063573200,1019.1,1020.8,1013.6,1014.6,1088,7651.3
1063659600,1014.6,1030,1014.1,1028.8,892,7250.5
1063746000,1028.8,1031.5,1024.3,1026.8,781,6882.6
1063832400,1026.8,1040.5,1025.5,1040,785,6410.9
1063918800,1040,1041.8,1031.5,1034.7,7518,6277.9
1064178000,1034.7,1034.7,1017.6,1023.1,9795,6366.2
1064264400,1023.1,1030.4,1021.1,1027.9,8860,6343.55
1064350800,1027.9,1030.1,1007.8,1008.1,11334,6590.55
1064437200,1008.1,1016.3,997.3,997.8,12251,6810
1064523600,997.8,1003.8,995.8,996.8,12356,7088.2
1064782800,996.8,1007.2,994.5,1005.5,10756,7623.5
1064869200,1005.5,1006.7,989.4,996.2,12525,7727.45
1064955600,996.2,1018.7,996.2,1017.4,12038,7779.25
1065042000,1017.4,1022.7,1013.2,1021.4,10378,7847.9
1065128400,1021.4,1039.7,1019.7,1030.2,12140,7936.95
1065387600,1030.2,1036.6,1027.9,1036.4,7413,7836
1065474000,1036.4,1039.8,1025.8,1039.1,11170,7940.95
1065560400,1039.1,1041.3,1030.6,1035.6,10136,7924.25
1065646800,1035.6,1048.8,1034.6,1039,11210,8278.8
1065733200,1039,1044,1035.5,1042.5,9129,8627.75
1065992400,1042.5,1049.5,1041,1045.7,6908,8918.75
1066078800,1045.7,1051,1040.5,1049.7,8882,9318.25
1066165200,1049.7,1057,1042.9,1044.7,10154,9786.9
1066251600,1044.7,1053.7,1042.7,1049.2,10554,10275.35
1066338000,1049.2,1053.4,1036.1,1039.1,9012,10350.05
1066597200,1039.1,1049.8,1035.6,1049.6,8628,10291.7
1066683600,1049.6,1050.8,1042,1045.3,8897,10293.55
1066770000,1045.3,1045.3,1027.8,1031,10214,10237.55
1066856400,1031,1035.7,1021,1026.7,11383,10194.15
1066942800,1026.7,1031.5,1017.5,1031,11734,10163.05
1067205600,1031,1037.9,1028.4,1031.9,8993,10074.9
1067292000,1031.9,1047.1,1031.7,1044.4,9027,9900
1067378400,1044.4,1049.9,1041.1,1045.4,9183,9757.25
1067464800,1045.4,1055.6,1043.3,1049.6,10746,9775.65
1067551200,1049.6,1053.3,1047.6,1048.8,7945,9565.9
1067810400,1048.8,1061.5,1047.5,1055.5,8471,9618.8
1067896800,1055.5,1058,1051,1053,8096,9465.1
1067983200,1053,1055.5,1044.2,1053.7,9028,9409.7
1068069600,1053.7,1059.7,1046.2,1059.2,9636,9331
1068156000,1059.2,1065.5,1050.9,1051.7,10435,9396.3
