time,open,high,low,close,Volume,Volume MA
1451870400,21782.62,21794.84,21427.94,21465.18,NaN,NaN
1451874000,21471.06,21500.35,21362.76,21396.16,NaN,NaN
1451877600,21393.47,21421.66,21387.57,21409.2,NaN,NaN
1451881200,21403.77,21403.77,21318.71,21322.35,NaN,NaN
1451884800,21320.57,21332,21232.14,21240.51,NaN,NaN
1451888400,21240.35,21392.93,21227.61,21302.32,NaN,NaN
1451892000,21302.67,21354.3,21291.87,21327.12,NaN,NaN
1451956800,21318.69,21452.74,21244.73,21346.04,NaN,NaN
1451960400,21347.55,21382.44,21293.04,21316.42,NaN,NaN
1451964000,21317.37,21338.28,21305.09,21323.48,NaN,NaN
1451967600,21323.98,21337.8,21215.4,21216.85,NaN,NaN
1451971200,21215.95,21238.41,21095.9,21124.28,NaN,NaN
1451974800,21121.13,21228.12,21119.56,21176.88,NaN,NaN
1451978400,21180.03,21219.98,21166.19,21188.72,NaN,NaN
1452043200,21142.63,21199.62,21034.77,21060.91,NaN,NaN
1452046800,21061.12,21095.91,20947.3,21008.19,NaN,NaN
1452050400,21008.84,21025.02,20979.78,20994.31,NaN,NaN
1452054000,21000.74,21010.1,20958.22,21000.49,NaN,NaN
1452057600,21000.66,21082.78,20991.56,21017.48,NaN,NaN
1452061200,21022.88,21041.55,20986.06,21004.07,NaN,NaN
1452064800,21001.05,21036.36,20963.84,20980.81,NaN,NaN
1452129600,20772.6,20826.44,20335.04,20429.21,NaN,NaN
1452133200,20427.59,20510.02,20323.97,20465.13,NaN,NaN
1452136800,20467.55,20515.75,20444.93,20479.39,NaN,NaN
1452140400,20484.86,20498.46,20445.83,20473.46,NaN,NaN
1452144000,20470.39,20481.97,20390.87,20400.65,NaN,NaN
1452147600,20404.85,20421.5,20329.53,20398.73,NaN,NaN
1452151200,20392.31,20465.43,20327.62,20333.34,NaN,NaN
1452216000,20491.88,20573.87,20324.62,20540.75,NaN,NaN
1452219600,20542.71,20579.87,20508.81,20524.15,NaN,NaN
1452223200,20523.01,20596.42,20521.56,20561.25,NaN,NaN
1452226800,20565.65,20584.13,20537.07,20561.71,NaN,NaN
1452230400,20562.23,20576.33,20454.78,20461.09,NaN,NaN
1452234000,20459.03,20562.27,20456.49,20562.27,NaN,NaN
1452237600,20562.47,20584.62,20450.47,20453.71,NaN,NaN
1452475200,19997.42,20023.68,19865.18,19978.98,NaN,NaN
1452478800,19979.84,19994.53,19874.36,19887.44,NaN,NaN
1452482400,19885.99,19962.62,19865.9,19952.63,NaN,NaN
1452486000,19956.95,19990.17,19936.94,19941.19,NaN,NaN
1452489600,19941.65,20068.78,19922.09,20043.43,NaN,NaN
1452493200,20048.22,20058.21,19940.79,19940.83,NaN,NaN
1452496800,19941.89,19962.01,19874.96,19888.5,NaN,NaN
1452561600,20030.03,20130.8,19931.96,20006.99,NaN,NaN
1452565200,20005.88,20012.28,19912.1,19943.77,NaN,NaN
1452568800,19941.51,19970.78,19922.1,19947.4,NaN,NaN
1452572400,19941.59,19943.43,19883.25,19899.76,NaN,NaN
1452576000,19897.73,19899.96,19792,19811.68,NaN,NaN
1452579600,19812.61,19838.49,19712.77,19746.3,NaN,NaN
1452583200,19745.25,19776.34,19694.99,19711.76,NaN,NaN
1452648000,20028.86,20192.79,19974.95,20186.74,NaN,NaN
1452651600,20188.36,20234.78,20142.02,20215.63,NaN,NaN
1452655200,20217,20220.53,20144.24,20180.15,NaN,NaN
1452658800,20186.97,20193.65,20119.63,20166.34,NaN,NaN
1452662400,20164.5,20214.82,20144.82,20176.74,NaN,NaN
1452666000,20178.78,20180.13,19978.42,19983.72,NaN,NaN
1452669600,19984.03,19986.81,19850.73,19934.88,NaN,NaN
1452734400,19578.92,19629.05,19509.08,19584.62,NaN,NaN
1452738000,19585.79,19668.55,19585.79,19656.38,NaN,NaN
1452741600,19654.15,19660.13,19588.18,19608.96,NaN,NaN
1452745200,19609.99,19680.96,19600.8,19680.96,NaN,NaN
1452748800,19680.59,19841.41,19675.14,19821.92,NaN,NaN
1452752400,19820.27,19893.88,19783.44,19863.62,NaN,NaN
1452756000,19864.45,19870.21,19794.5,19817.41,NaN,NaN
1452820800,19781.46,19828.93,19707.57,19751.54,NaN,NaN
1452824400,19753.33,19780.39,19661.62,19692.63,NaN,NaN
1452828000,19695.63,19695.63,19639.62,19657.36,NaN,NaN
1452831600,19653.99,19655.21,19560.6,19587.44,NaN,NaN
1452835200,19589.21,19662.18,19553.42,19617.54,NaN,NaN
1452838800,19617.51,19620.75,19533.84,19547.54,NaN,NaN
1452842400,19548.34,19596.53,19500.38,19520.77,NaN,NaN
1453080000,19287.38,19360.79,19196.72,19292.92,NaN,NaN
1453083600,19294.1,19298.38,19195.56,19206.18,NaN,NaN
1453087200,19206.04,19328.66,19205.1,19304.76,NaN,NaN
1453090800,19297.63,19364.82,19286.65,19344.83,NaN,NaN
1453094400,19344.28,19439.49,19341.9,19350.98,NaN,NaN
1453098000,19351.58,19365.51,19299.55,19351.03,NaN,NaN
1453101600,19353.34,19374.83,19232.45,19237.45,NaN,NaN
1453166400,19283.57,19445.57,19283.57,19364.55,NaN,NaN
1453170000,19360.73,19360.73,19204.22,19256.43,NaN,NaN
1453173600,19253.94,19400.27,19253.94,19386.75,NaN,NaN
1453177200,19401.38,19458.51,19377.03,19445.98,NaN,NaN
1453180800,19447.13,19551.21,19422.5,19518.23,NaN,NaN
1453184400,19514.53,19585.4,19486.01,19585.4,NaN,NaN
1453188000,19585.18,19647.75,19564.29,19635.81,NaN,NaN
1453252800,19332.22,19332.22,19142.07,19173.9,NaN,NaN
1453256400,19171.31,19174.61,18970.52,18970.52,NaN,NaN
1453260000,18971.14,18992.46,18891.25,18894.88,NaN,NaN
1453263600,18897.03,18951.67,18833.88,18947.94,NaN,NaN
1453267200,18949.66,19007.01,18865.39,18871.79,NaN,NaN
1453270800,18872.97,18964.61,18860.48,18948.62,NaN,NaN
1453274400,18948.27,18959.36,18876.69,18886.3,NaN,NaN
1453339200,19079.13,19238.27,18994.37,19117.43,NaN,NaN
1453342800,19115.53,19166.87,19069.72,19164.48,NaN,NaN
1453346400,19162.55,19169.6,18944.15,18945.6,NaN,NaN
1453350000,18936.81,18936.81,18696.34,18767.97,NaN,NaN
1453353600,18767.29,18818.11,18556.8,18607.58,NaN,NaN
1453357200,18606.66,18682.95,18569.91,18626.39,NaN,NaN
1453360800,18627.98,18632.49,18534.3,18542.15,NaN,NaN
1453425600,19000.79,19037.34,18906.67,19012.15,NaN,NaN
