time,open,high,low,close,Volume,Volume MA
1470681000,2178.18,2179.22,2178,2178.94,3600,3453.35
1470684600,2178.94,2180.89,2178.89,2180.89,2010,3373.9
1470749400,2182.24,2186.85,2181.32,2186.1,3599,3373.85
1470753000,2186.11,2187.66,2185.36,2186.59,3600,3373.85
1470756600,2186.59,2186.94,2183.64,2183.64,3600,3373.85
1470760200,2183.65,2183.75,2182.26,2182.47,3600,3373.85
1470763800,2182.48,2183.04,2180.29,2180.31,3600,3373.85
1470767400,2180.3,2181.59,2178.61,2181.52,3600,3444.3
1470771000,2181.52,2182.17,2180.91,2181.74,1993,3364
1470835800,2182.81,2183.41,2178.79,2180.46,3599,3363.95
1470839400,2180.44,2181.5,2174.74,2175.15,3600,3363.95
1470843000,2175.15,2177.2,2174.02,2176.67,3600,3363.95
1470846600,2176.67,2177.66,2175.27,2176.07,3600,3363.95
1470850200,2176.07,2176.91,2172.09,2172.63,3600,3363.95
1470853800,2172.63,2176.58,2172,2175.3,3600,3440
1470857400,2175.29,2175.72,2172.96,2175.49,1985,3359.3
1470922200,2177.97,2183.95,2177.97,2181.13,3594,3359
1470925800,2181.12,2185.82,2181.12,2185.49,3600,3359
1470929400,2185.49,2187.26,2185.22,2186.15,3600,3359
1470933000,2186.14,2187.26,2185.82,2185.95,3600,3359
1470936600,2185.95,2188.14,2185.75,2187.66,3600,3359
1470940200,2187.66,2187.66,2185,2186.03,3600,3438.5
1470943800,2185.99,2188.45,2185.75,2185.79,2014,3359.25
1471008600,2183.74,2184.43,2180.47,2183.42,3599,3359.2
1471012200,2183.41,2186.08,2183.21,2186.06,3600,3359.2
1471015800,2186.06,2186.28,2181.76,2182.65,3600,3359.2
1471019400,2182.65,2183.38,2179.42,2181.35,3600,3359.2
1471023000,2181.34,2181.97,2180.12,2181.64,3600,3359.2
1471026600,2181.65,2182.85,2181.56,2182.81,3600,3439.55
1471030200,2182.81,2184.7,2182.54,2184.05,2010,3360.1
1471267800,2186.08,2192.21,2186.08,2191.77,3599,3360.05
1471271400,2191.76,2193.81,2191.76,2193.56,3600,3360.05
1471275000,2193.55,2193.77,2192.42,2193.48,3600,3360.05
1471278600,2193.49,2193.52,2191.99,2192.75,3600,3360.05
1471282200,2192.75,2193.46,2191.72,2192.05,3600,3360.05
1471285800,2192.05,2193.21,2190.98,2191.38,3600,3440.8
1471289400,2191.37,2191.84,2189.97,2190.15,2026,3362.4
1471354200,2186.24,2186.24,2180.37,2182.57,3599,3362.35
1471357800,2182.57,2184.55,2180.79,2183.84,3600,3362.35
1471361400,2183.84,2183.89,2181.84,2182.24,3600,3362.35
1471365000,2182.25,2184.21,2180.28,2181.12,3600,3362.35
1471368600,2181.1,2181.9,2179.3,2180.62,3600,3362.35
1471372200,2180.61,2182.54,2180.25,2181.95,3595,3441.4
1471375800,2181.9,2182.22,2178.14,2178.15,2073,3365.1
1471440600,2177.84,2178.1,2170.85,2171.82,3599,3365.05
1471444200,2171.85,2173.24,2169.72,2169.89,3600,3365.05
1471447800,2169.89,2171.87,2168.5,2171.77,3600,3365.05
1471451400,2171.78,2176.39,2171.51,2175.34,3600,3365.05
1471455000,2175.34,2181.76,2172.39,2179.66,3600,3365.05
1471458600,2179.67,2180.88,2177.68,2180.67,3600,3444.55
1471462200,2180.66,2183.08,2180.54,2182.22,2178,3373.5
1471527000,2181.9,2184.14,2180.46,2183.27,3599,3373.45
1471530600,2183.26,2186.36,2183.26,2185.74,3600,3373.45
1471534200,2185.74,2186.13,2181.37,2181.38,3600,3373.45
1471537800,2181.38,2183.46,2180.49,2182.91,3600,3373.45
1471541400,2182.91,2184.77,2182.91,2184.27,3600,3373.45
1471545000,2184.27,2186,2183.07,2185.71,3600,3452.15
1471548600,2185.71,2187.03,2184.65,2187.02,2176,3381
1471613400,2184.24,2184.27,2175.13,2181.46,3599,3380.95
1471617000,2181.49,2183.2,2180.96,2182.7,3600,3380.95
1471620600,2182.66,2183.51,2180.93,2182.77,3600,3380.95
1471624200,2182.77,2182.87,2178.5,2179.57,3600,3380.95
1471627800,2179.56,2181.83,2178.79,2181.55,3600,3381.2
1471631400,2181.55,2184.81,2181.45,2184.75,3600,3457.55
1471635000,2184.75,2185,2183.4,2183.87,2014,3378.3
1471872600,2181.58,2184.42,2175.96,2183.94,3599,3378.25
1471876200,2183.94,2184.88,2177.78,2177.83,3600,3378.25
1471879800,2177.84,2185.15,2177.44,2184.2,3600,3378.25
1471883400,2184.2,2184.44,2177.9,2179.23,3600,3378.25
1471887000,2179.24,2183.42,2178.59,2180.3,3600,3378.25
1471890600,2180.29,2183.08,2180.05,2182.92,3600,3449.35
1471894200,2182.92,2183.17,2181.81,2182.64,1994,3369.1
1471959000,2187.81,2193.42,2187.81,2192.05,3599,3369.05
1471962600,2192.05,2192.97,2189.77,2190.67,3600,3369.05
1471966200,2190.68,2191.19,2188.53,2189.32,3600,3369.05
1471969800,2189.31,2190.17,2187.68,2189.6,3600,3369.05
1471973400,2189.64,2189.92,2188.24,2189.5,3600,3369.05
1471977000,2189.49,2189.54,2188.18,2188.63,3600,3440.25
