time,open,high,low,close,Volume,Volume MA
1639358400,24242.26,24242.26,24242.26,24242.26,NaN,NaN
1639359000,24240.69,24258.24,24210.97,24253.88,NaN,NaN
1639359060,24252.09,24259.48,24219.78,24246.78,NaN,NaN
1639359120,24250.58,24250.58,24219.83,24220.15,NaN,NaN
1639359180,24223.03,24243.12,24215.83,24231.81,NaN,NaN
1639359240,24230.39,24242.23,24210.96,24220.3,NaN,NaN
1639359300,24218.72,24221.8,24183.79,24200.64,NaN,NaN
1639359360,24199.2,24219.65,24190.46,24219.65,NaN,NaN
1639359420,24220.46,24258.04,24217.92,24252.59,NaN,NaN
1639359480,24252.17,24299.29,24252.17,24297.63,NaN,NaN
1639359540,24302.49,24310.81,24296.81,24302.32,NaN,NaN
1639359600,24302.89,24323.62,24300.38,24320.7,NaN,NaN
1639359660,24326.29,24349.6,24319.95,24325.73,NaN,NaN
1639359720,24322.94,24349.07,24312.01,24345.4,NaN,NaN
1639359780,24345.75,24357.33,24336.87,24340.84,NaN,NaN
1639359840,24341.6,24366.6,24339.2,24359.02,NaN,NaN
1639359900,24352.4,24364.46,24351.02,24353.79,NaN,NaN
1639359960,24356.21,24357.91,24324.34,24330.3,NaN,NaN
1639360020,24328.22,24332.32,24321.26,24322.37,NaN,NaN
1639360080,24319.54,24327.61,24311.63,24321.85,NaN,NaN
1639360140,24321.41,24324.47,24311.03,24311.03,NaN,NaN
1639360200,24310.09,24330.99,24305.63,24330.99,NaN,NaN
1639360260,24331.49,24352.19,24328.35,24349.55,NaN,NaN
1639360320,24343.94,24350,24338.83,24338.83,NaN,NaN
1639360380,24344.24,24358.18,24339.29,24339.55,NaN,NaN
1639360440,24341.9,24362.98,24338.92,24361.15,NaN,NaN
1639360500,24366.44,24371.94,24354.1,24371.94,NaN,NaN
1639360560,24372.88,24374.42,24352.68,24358.53,NaN,NaN
1639360620,24362.02,24370.14,24359.72,24368.12,NaN,NaN
1639360680,24369.26,24374.62,24362.38,24373.01,NaN,NaN
1639360740,24369.44,24377.13,24366.26,24373.76,NaN,NaN
1639360800,24373.37,24382.97,24372.44,24376.49,NaN,NaN
1639360860,24378.55,24385.44,24378.32,24378.32,NaN,NaN
1639360920,24379.53,24382.66,24364.55,24368.96,NaN,NaN
1639360980,24367.99,24370.13,24359.68,24365.38,NaN,NaN
1639361040,24361.07,24365.48,24356.27,24358.63,NaN,NaN
1639361100,24359.71,24364.35,24356.86,24364.06,NaN,NaN
1639361160,24361.29,24365.03,24356.45,24358.34,NaN,NaN
1639361220,24356.07,24362.82,24342.71,24346.05,NaN,NaN
1639361280,24345,24348.85,24342.61,24342.66,NaN,NaN
1639361340,24345.21,24345.21,24327.56,24336.88,NaN,NaN
1639361400,24337.06,24341.24,24319.84,24324.16,NaN,NaN
1639361460,24323.28,24328.06,24321.65,24326.4,NaN,NaN
1639361520,24326.68,24336.57,24323.37,24336.37,NaN,NaN
1639361580,24337.39,24338.23,24328.09,24333.18,NaN,NaN
1639361640,24331.04,24343.15,24330.62,24341.45,NaN,NaN
1639361700,24341.24,24341.69,24324.85,24324.85,NaN,NaN
1639361760,24326.43,24329.52,24323.3,24325.94,NaN,NaN
1639361820,24324.19,24331.08,24321.04,24324.79,NaN,NaN
1639361880,24324.9,24325.52,24316.87,24323.51,NaN,NaN
1639361940,24322.79,24324.56,24311.92,24313.95,NaN,NaN
1639362000,24316.29,24317.92,24306.03,24307.38,NaN,NaN
1639362060,24309.26,24309.26,24301.99,24306.55,NaN,NaN
1639362120,24305.31,24306.82,24293.45,24294.74,NaN,NaN
1639362180,24294.49,24294.49,24267.12,24269.74,NaN,NaN
1639362240,24271,24273.09,24246.29,24249.56,NaN,NaN
1639362300,24250.83,24254.86,24242.44,24254.86,NaN,NaN
1639362360,24255.31,24266.33,24255.31,24259.64,NaN,NaN
1639362420,24259.81,24270.41,24256.46,24269.55,NaN,NaN
1639362480,24272.38,24273.97,24258.02,24259.02,NaN,NaN
1639362540,24257.93,24257.93,24236.05,24241.38,NaN,NaN
1639362600,24240.29,24264.53,24240.29,24260.28,NaN,NaN
1639362660,24261.79,24263.67,24253.14,24256.42,NaN,NaN
1639362720,24256.46,24256.46,24243.01,24250.14,NaN,NaN
1639362780,24250.59,24254.14,24241.43,24254.14,NaN,NaN
1639362840,24254.86,24265.53,24251.55,24263.95,NaN,NaN
1639362900,24263.2,24266.96,24256.67,24266.96,NaN,NaN
1639362960,24267.4,24270.98,24264.34,24269.39,NaN,NaN
1639363020,24269.19,24271.8,24267.12,24267.48,NaN,NaN
1639363080,24269.57,24276.31,24268.68,24272.28,NaN,NaN
1639363140,24273,24280.32,24271.2,24279.89,NaN,NaN
1639363200,24278.31,24278.31,24273.87,24275.95,NaN,NaN
1639363260,24276.47,24283.4,24272.52,24283.15,NaN,NaN
1639363320,24281.87,24292.34,24277.78,24277.81,NaN,NaN
1639363380,24278.05,24278.07,24274.45,24276.25,NaN,NaN
1639363440,24275.04,24275.04,24261.6,24263.92,NaN,NaN
1639363500,24265.91,24274.3,24264.11,24270.27,NaN,NaN
1639363560,24267.26,24270.14,24265.58,24267.03,NaN,NaN
1639363620,24268.33,24268.52,24258.82,24260.62,NaN,NaN
1639363680,24259.54,24265.52,24255.99,24265.52,NaN,NaN
1639363740,24265.24,24274.31,24264.47,24273.7,NaN,NaN
1639363800,24273.34,24277.75,24268.98,24271.7,NaN,NaN
1639363860,24271.6,24272.56,24264.94,24265.64,NaN,NaN
1639363920,24267.02,24272.24,24263.02,24265.9,NaN,NaN
1639363980,24265.75,24270.76,24260.33,24270.76,NaN,NaN
1639364040,24269.64,24273.23,24264.77,24266.97,NaN,NaN
1639364100,24266.1,24266.1,24258.19,24258.19,NaN,NaN
1639364160,24258.44,24260.52,24230.64,24239.69,NaN,NaN
1639364220,24242.53,24242.53,24232.33,24237.83,NaN,NaN
1639364280,24239.06,24241.18,24234.59,24239.78,NaN,NaN
1639364340,24240.3,24240.35,24226.56,24226.56,NaN,NaN
1639364400,24226.33,24226.33,24212.58,24220.33,NaN,NaN
1639364460,24221.41,24221.41,24209.91,24215.76,NaN,NaN
1639364520,24216.79,24223.99,24216.51,24218.73,NaN,NaN
1639364580,24220.26,24222.6,24212.09,24212.09,NaN,NaN
1639364640,24213.87,24213.87,24202.18,24202.18,NaN,NaN
1639364700,24201.87,24202.7,24195.64,24198.96,NaN,NaN
1639364760,24197.94,24205.95,24197.81,24203.9,NaN,NaN
1639364820,24205.65,24207.86,24202.09,24202.72,NaN,NaN
1639364880,24204.04,24215.22,24203,24214.24,NaN,NaN
1639364940,24217.12,24221.22,24209.92,24220.85,NaN,NaN
1639365000,24220.46,24224.27,24215.9,24215.9,NaN,NaN
1639365060,24214.01,24222.53,24214.01,24222.47,NaN,NaN
