,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-07-22 17:00:00-04:00,0.919,0.919,0.9189,0.9189,0,148,0.0
2021-07-22 17:01:00-04:00,0.9189,0.9191,0.9189,0.919,0,273,0.0
2021-07-22 17:02:00-04:00,0.919,0.919,0.9189,0.919,0,284,0.0
2021-07-22 17:03:00-04:00,0.919,0.919,0.919,0.919,0,245,0.0
2021-07-22 17:04:00-04:00,0.9191,0.9191,0.919,0.919,0,331,0.0
2021-07-22 17:05:00-04:00,0.919,0.919,0.919,0.919,0,316,0.0
2021-07-22 17:06:00-04:00,0.919,0.9191,0.919,0.919,0,348,0.0
2021-07-22 17:07:00-04:00,0.919,0.919,0.919,0.919,0,351,0.0
2021-07-22 17:08:00-04:00,0.919,0.919,0.919,0.919,0,369,0.0
2021-07-22 17:09:00-04:00,0.919,0.9191,0.919,0.919,0,379,0.0
2021-07-22 17:10:00-04:00,0.919,0.9191,0.919,0.919,0,357,0.0
2021-07-22 17:11:00-04:00,0.919,0.919,0.919,0.919,0,357,0.0
2021-07-22 17:12:00-04:00,0.919,0.919,0.919,0.919,0,427,0.0
2021-07-22 17:13:00-04:00,0.919,0.919,0.919,0.919,0,383,0.0
2021-07-22 17:14:00-04:00,0.919,0.919,0.919,0.919,0,376,0.0
2021-07-22 17:15:00-04:00,0.919,0.919,0.919,0.919,0,379,0.0
2021-07-22 17:16:00-04:00,0.919,0.919,0.919,0.919,0,385,0.0
2021-07-22 17:17:00-04:00,0.919,0.919,0.919,0.919,0,366,0.0
2021-07-22 17:18:00-04:00,0.919,0.9191,0.919,0.919,0,338,0.0
2021-07-22 17:19:00-04:00,0.919,0.919,0.919,0.919,0,366,0.0
2021-07-22 17:20:00-04:00,0.919,0.919,0.919,0.919,0,366,0.0
2021-07-22 17:21:00-04:00,0.919,0.9191,0.919,0.919,0,430,0.0
2021-07-22 17:22:00-04:00,0.919,0.919,0.919,0.919,0,364,0.0
2021-07-22 17:23:00-04:00,0.919,0.9191,0.919,0.919,0,391,0.0
2021-07-22 17:24:00-04:00,0.919,0.919,0.919,0.919,0,399,0.0
2021-07-22 17:25:00-04:00,0.919,0.919,0.919,0.919,0,381,0.0
2021-07-22 17:26:00-04:00,0.919,0.919,0.919,0.919,0,374,0.0
2021-07-22 17:27:00-04:00,0.919,0.919,0.919,0.919,0,367,0.0
2021-07-22 17:28:00-04:00,0.919,0.919,0.919,0.919,0,376,0.0
2021-07-22 17:29:00-04:00,0.919,0.9193,0.919,0.9192,0,411,0.0
2021-07-22 17:30:00-04:00,0.9192,0.9195,0.9192,0.9194,0,481,0.0
