,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index
,open,high,low,close,volume,num_trds,value
2021-08-31 18:00:00-04:00,4527.75,4528.25,4527.25,4527.5,339,157,1534911.0
2021-08-31 18:01:00-04:00,4527.5,4528.0,4527.25,4528.0,178,57,805925.25
2021-08-31 18:02:00-04:00,4528.0,4528.25,4527.75,4528.25,135,51,611291.5
2021-08-31 18:03:00-04:00,4528.0,4528.75,4528.0,4528.75,227,105,1027975.25
2021-08-31 18:04:00-04:00,4528.75,4528.75,4528.25,4528.5,159,48,720034.0
2021-08-31 18:05:00-04:00,4528.5,4528.5,4528.25,4528.5,39,22,176610.0
2021-08-31 18:06:00-04:00,4528.5,4528.75,4528.25,4528.5,221,69,1000836.5
2021-08-31 18:07:00-04:00,4528.5,4528.75,4528.5,4528.75,67,20,303413.75
2021-08-31 18:08:00-04:00,4528.5,4528.5,4528.25,4528.25,63,19,285291.5
2021-08-31 18:09:00-04:00,4528.5,4528.5,4528.25,4528.5,58,19,262647.75
2021-08-31 18:10:00-04:00,4528.75,4528.75,4528.25,4528.25,59,15,267188.5
2021-08-31 18:11:00-04:00,4528.25,4528.5,4528.25,4528.5,39,20,176607.0
2021-08-31 18:12:00-04:00,4528.5,4528.5,4528.5,4528.5,15,9,67927.5
2021-08-31 18:13:00-04:00,4528.5,4528.5,4528.25,4528.25,28,12,126791.5
2021-08-31 18:14:00-04:00,4528.25,4528.25,4528.0,4528.0,27,22,122260.5
2021-08-31 18:15:00-04:00,4528.0,4528.25,4528.0,4528.25,15,10,67922.5
2021-08-31 18:16:00-04:00,4528.25,4528.25,4528.25,4528.25,6,5,27169.5
2021-08-31 18:17:00-04:00,4528.25,4528.25,4528.0,4528.0,37,11,167537.25
2021-08-31 18:18:00-04:00,4527.75,4528.0,4527.75,4527.75,17,11,76974.5
2021-08-31 18:19:00-04:00,4527.75,4528.25,4527.75,4528.25,96,20,434672.75
2021-08-31 18:20:00-04:00,4528.25,4528.25,4528.0,4528.0,57,28,258102.5
