,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index
,open,high,low,close,volume,num_trds,value
2021-10-05 18:10:00-04:00,4319.25,4321.75,4319.25,4321.75,2,2,8641.0
2021-10-05 19:24:00-04:00,4312.0,4312.0,4312.0,4312.0,1,1,4312.0
2021-10-05 20:00:00-04:00,4310.25,4310.25,4310.25,4310.25,1,1,4310.25
2021-10-06 03:37:00-04:00,4277.0,4277.0,4276.0,4276.0,2,2,8553.0
2021-10-06 03:38:00-04:00,4275.0,4275.0,4275.0,4275.0,1,1,4275.0
2021-10-06 03:48:00-04:00,4274.0,4274.0,4273.0,4273.0,2,2,8547.0
2021-10-06 04:07:00-04:00,4272.0,4272.0,4270.0,4270.0,3,3,12813.0
2021-10-06 04:10:00-04:00,4269.0,4269.0,4269.0,4269.0,1,1,4269.0
2021-10-06 05:00:00-04:00,4268.0,4268.0,4267.0,4267.0,2,2,8535.0
2021-10-06 05:12:00-04:00,4266.0,4266.0,4266.0,4266.0,1,1,4266.0
2021-10-06 05:16:00-04:00,4265.0,4265.0,4265.0,4265.0,1,1,4265.0
2021-10-06 05:20:00-04:00,4264.0,4264.0,4264.0,4264.0,1,1,4264.0
2021-10-06 05:22:00-04:00,4263.0,4263.0,4263.0,4263.0,1,1,4263.0
2021-10-06 05:23:00-04:00,4262.0,4262.0,4262.0,4262.0,1,1,4262.0
2021-10-06 05:24:00-04:00,4261.0,4261.0,4261.0,4261.0,1,1,4261.0
2021-10-06 05:25:00-04:00,4260.0,4260.0,4260.0,4260.0,1,1,4260.0
2021-10-06 05:30:00-04:00,4259.0,4259.0,4259.0,4259.0,1,1,4259.0
2021-10-06 05:38:00-04:00,4258.0,4258.0,4258.0,4258.0,1,1,4258.0
2021-10-06 05:40:00-04:00,4257.0,4257.0,4257.0,4257.0,1,1,4257.0
2021-10-06 08:17:00-04:00,4272.25,4272.25,4272.25,4272.25,1,1,4272.25
2021-10-06 09:35:00-04:00,4294.0,4294.0,4294.0,4294.0,3,1,12882.0
2021-10-06 09:44:00-04:00,4298.75,4299.25,4298.75,4299.25,3,3,12897.0
2021-10-06 10:04:00-04:00,4264.75,4264.75,4264.25,4264.25,3,3,12793.5
2021-10-06 11:01:00-04:00,4300.0,4300.0,4300.0,4300.0,1,1,4300.0
2021-10-06 11:21:00-04:00,4285.0,4285.0,4285.0,4285.0,1,1,4285.0
2021-10-06 13:30:00-04:00,4300.0,4300.0,4300.0,4300.0,1,1,4300.0
2021-10-06 13:43:00-04:00,4312.0,4312.0,4312.0,4312.0,3,2,12936.0
2021-10-06 14:45:00-04:00,4331.0,4331.0,4331.0,4331.0,1,1,4331.0
2021-10-06 14:52:00-04:00,4323.25,4323.25,4323.25,4323.25,2,1,8646.5
2021-10-06 15:25:00-04:00,4322.75,4322.75,4322.75,4322.75,3,1,12968.25
