,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index
,open,high,low,close,volume,num_trds,value
2021-10-24 18:00:00-04:00,4520.5,4520.5,4520.5,4520.5,1,1,4520.5
2021-10-24 18:01:00-04:00,4521.0,4521.0,4518.75,4518.75,60,23,271140.75
2021-10-24 18:03:00-04:00,4522.0,4522.0,4522.0,4522.0,1,1,4522.0
2021-10-24 18:06:00-04:00,4521.75,4521.75,4521.75,4521.75,1,1,4521.75
2021-10-24 18:08:00-04:00,4522.0,4522.0,4522.0,4522.0,1,1,4522.0
2021-10-24 18:16:00-04:00,4523.25,4524.0,4523.25,4524.0,2,2,9047.25
2021-10-24 18:27:00-04:00,4525.5,4525.5,4525.5,4525.5,1,1,4525.5
2021-10-24 18:30:00-04:00,4524.0,4524.0,4524.0,4524.0,1,1,4524.0
2021-10-24 18:34:00-04:00,4523.0,4523.0,4523.0,4523.0,1,1,4523.0
2021-10-24 18:41:00-04:00,4523.0,4523.0,4523.0,4523.0,1,1,4523.0
2021-10-24 18:52:00-04:00,4520.25,4520.25,4520.25,4520.25,1,1,4520.25
2021-10-24 19:10:00-04:00,4523.0,4523.0,4523.0,4523.0,1,1,4523.0
2021-10-24 19:37:00-04:00,4518.75,4518.75,4518.75,4518.75,2,1,9037.5
2021-10-24 19:42:00-04:00,4517.75,4517.75,4517.75,4517.75,1,1,4517.75
2021-10-24 19:56:00-04:00,4519.0,4519.0,4519.0,4519.0,1,1,4519.0
2021-10-24 20:39:00-04:00,4524.0,4524.0,4524.0,4524.0,1,1,4524.0
2021-10-24 20:46:00-04:00,4524.25,4524.25,4524.25,4524.25,1,1,4524.25
2021-10-24 20:51:00-04:00,4526.5,4526.5,4526.5,4526.5,1,1,4526.5
2021-10-24 21:16:00-04:00,4524.75,4524.75,4524.75,4524.75,2,1,9049.5
2021-10-24 21:29:00-04:00,4525.0,4525.0,4525.0,4525.0,3,1,13575.0
2021-10-24 22:13:00-04:00,4523.5,4523.5,4523.25,4523.25,3,2,13570.0
