,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-11-07 18:00:00-05:00,4678.5,4687.0,4678.0,4687.0,2856,819,13372640.0
2021-11-07 18:01:00-05:00,4687.0,4687.0,4682.5,4684.5,826,324,3869585.25
2021-11-07 18:02:00-05:00,4684.25,4686.0,4684.0,4685.0,500,146,2342481.0
2021-11-07 18:03:00-05:00,4684.75,4686.5,4683.75,4686.0,424,163,1986583.25
2021-11-07 18:04:00-05:00,4686.0,4686.5,4685.25,4685.75,224,104,1049627.75
2021-11-07 18:05:00-05:00,4685.75,4685.75,4684.75,4684.75,184,67,862116.75
2021-11-07 18:06:00-05:00,4685.0,4686.0,4684.5,4685.75,171,77,801209.0
2021-11-07 18:07:00-05:00,4685.75,4687.0,4685.75,4686.25,404,120,1893357.25
2021-11-07 18:08:00-05:00,4686.0,4686.5,4685.5,4686.5,142,67,665417.75
2021-11-07 18:09:00-05:00,4686.5,4687.75,4686.5,4687.75,325,128,1523375.25
2021-11-07 18:10:00-05:00,4687.75,4689.0,4687.75,4688.0,765,230,3586454.5
2021-11-07 18:11:00-05:00,4688.0,4688.75,4688.0,4688.5,217,94,1017395.0
2021-11-07 18:12:00-05:00,4688.75,4688.75,4688.0,4688.5,124,53,581355.5
2021-11-07 18:13:00-05:00,4688.5,4688.75,4688.25,4688.75,84,42,393826.25
2021-11-07 18:14:00-05:00,4688.75,4688.75,4688.0,4688.25,76,34,356316.0
2021-11-07 18:15:00-05:00,4688.0,4688.0,4687.5,4687.5,274,100,1284426.75
2021-11-07 18:16:00-05:00,4687.5,4687.75,4687.0,4687.0,88,42,412494.25
2021-11-07 18:17:00-05:00,4687.0,4687.5,4686.75,4687.0,137,54,642140.5
2021-11-07 18:18:00-05:00,4686.75,4687.0,4686.5,4686.75,63,29,295262.5
2021-11-07 18:19:00-05:00,4686.75,4687.25,4686.5,4686.75,89,36,417132.25
2021-11-07 18:20:00-05:00,4687.0,4688.75,4687.0,4687.75,452,150,2118929.0
2021-11-07 18:21:00-05:00,4687.75,4688.5,4687.5,4688.25,128,51,600063.0
2021-11-07 18:22:00-05:00,4688.5,4689.75,4688.25,4688.75,479,146,2246052.25
2021-11-07 18:23:00-05:00,4688.75,4689.25,4687.75,4688.25,157,62,736075.75
2021-11-07 18:24:00-05:00,4688.25,4688.5,4687.5,4687.5,122,46,571926.0
2021-11-07 18:25:00-05:00,4687.75,4688.0,4687.0,4687.0,173,58,810943.75
2021-11-07 18:26:00-05:00,4687.0,4687.25,4686.25,4686.75,210,86,984226.5
2021-11-07 18:27:00-05:00,4686.5,4687.5,4686.5,4687.25,166,59,778067.0
2021-11-07 18:28:00-05:00,4687.5,4687.5,4686.5,4686.75,151,58,707719.25
2021-11-07 18:29:00-05:00,4686.75,4687.0,4686.0,4686.25,108,40,506139.5
2021-11-07 18:30:00-05:00,4686.5,4687.25,4686.5,4687.0,86,46,403061.5
2021-11-07 18:31:00-05:00,4687.0,4688.0,4687.0,4687.25,195,84,914033.25
2021-11-07 18:32:00-05:00,4687.5,4687.75,4687.5,4687.5,42,21,196876.75
2021-11-07 18:33:00-05:00,4687.25,4687.25,4686.5,4686.75,72,34,337448.75
2021-11-07 18:34:00-05:00,4686.75,4687.5,4686.75,4687.5,50,19,234359.25
2021-11-07 18:35:00-05:00,4687.75,4688.0,4687.5,4688.0,118,37,553158.25
2021-11-07 18:36:00-05:00,4688.0,4688.75,4687.5,4687.75,148,67,693853.5
2021-11-07 18:37:00-05:00,4687.75,4688.0,4687.5,4687.75,61,17,285956.0
2021-11-07 18:38:00-05:00,4687.75,4688.0,4687.75,4688.0,92,34,431283.25
2021-11-07 18:39:00-05:00,4688.0,4688.25,4687.75,4688.25,164,73,768860.25
2021-11-07 18:40:00-05:00,4688.5,4688.75,4688.25,4688.5,150,48,703274.25
2021-11-07 18:41:00-05:00,4688.5,4688.75,4688.25,4688.75,149,50,698613.0
2021-11-07 18:42:00-05:00,4688.75,4688.75,4688.5,4688.75,78,41,365722.0
2021-11-07 18:43:00-05:00,4688.75,4689.0,4688.5,4689.0,106,53,497006.5
2021-11-07 18:44:00-05:00,4689.0,4689.25,4688.75,4689.0,92,54,431387.75
2021-11-07 18:45:00-05:00,4689.0,4689.25,4688.75,4689.25,116,49,543941.25
2021-11-07 18:46:00-05:00,4689.25,4689.25,4688.75,4688.75,118,45,553299.75
2021-11-07 18:47:00-05:00,4688.75,4688.75,4688.25,4688.5,97,37,454780.0
2021-11-07 18:48:00-05:00,4688.75,4689.25,4688.5,4688.75,87,39,407934.75
2021-11-07 18:49:00-05:00,4688.75,4688.75,4688.25,4688.5,114,54,534492.5
2021-11-07 18:50:00-05:00,4688.5,4688.5,4687.25,4687.75,126,68,590660.25
2021-11-07 18:51:00-05:00,4687.5,4687.5,4687.0,4687.25,73,42,342178.75
2021-11-07 18:52:00-05:00,4687.25,4687.5,4686.0,4686.0,144,58,674872.5
2021-11-07 18:53:00-05:00,4686.0,4686.0,4685.25,4685.75,220,93,1030835.25
2021-11-07 18:54:00-05:00,4686.0,4686.0,4685.0,4685.25,104,39,487281.25
2021-11-07 18:55:00-05:00,4685.0,4685.0,4684.5,4684.75,113,51,529377.5
2021-11-07 18:56:00-05:00,4685.0,4685.5,4685.0,4685.0,128,52,599706.5
2021-11-07 18:57:00-05:00,4685.0,4685.25,4684.0,4684.25,252,78,1180465.5
2021-11-07 18:58:00-05:00,4684.5,4685.25,4684.25,4684.75,274,107,1283602.5
2021-11-07 18:59:00-05:00,4684.75,4684.75,4684.0,4684.0,120,44,562124.0
2021-11-07 19:00:00-05:00,4684.25,4685.25,4683.75,4685.0,259,125,1213253.75
2021-11-07 19:01:00-05:00,4685.0,4685.0,4684.25,4684.5,164,51,768282.0
2021-11-07 19:02:00-05:00,4684.5,4684.5,4683.75,4684.0,226,71,1058612.75
2021-11-07 19:03:00-05:00,4683.75,4684.0,4683.25,4683.75,165,91,772808.75
2021-11-07 19:04:00-05:00,4683.75,4684.5,4683.5,4683.5,164,70,768161.0
2021-11-07 19:05:00-05:00,4683.25,4684.0,4683.25,4683.75,135,52,632295.75
