,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-15 20:44:00-04:00,79.405,79.405,79.405,79.405,1,1,79.405
2021-07-15 22:39:00-04:00,79.485,79.485,79.485,79.485,1,1,79.485
2021-07-15 22:40:00-04:00,79.485,79.485,79.485,79.485,1,1,79.485
2021-07-15 23:02:00-04:00,79.51,79.51,79.51,79.51,1,1,79.51
2021-07-16 10:12:00-04:00,79.34,79.34,79.34,79.34,3,3,238.02
2021-07-16 10:26:00-04:00,79.32,79.32,79.32,79.32,1,1,79.32
2021-07-16 11:48:00-04:00,79.4,79.4,79.4,79.4,1,1,79.4
2021-07-16 11:51:00-04:00,79.42,79.42,79.42,79.42,3,1,238.26
2021-07-16 13:23:00-04:00,79.46,79.46,79.46,79.46,1,1,79.46
