,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-28 01:01:00-04:00,79.44,79.44,79.44,79.44,1,1,79.44
2021-07-28 11:47:00-04:00,79.57,79.57,79.57,79.57,1,1,79.57
2021-07-28 11:51:00-04:00,79.615,79.615,79.615,79.615,1,1,79.615
2021-07-28 11:54:00-04:00,79.62,79.62,79.62,79.62,2,1,159.24
2021-07-28 11:57:00-04:00,79.62,79.62,79.62,79.62,1,1,79.62
2021-07-28 14:01:00-04:00,79.445,79.445,79.445,79.445,1,1,79.445
2021-07-28 14:39:00-04:00,79.735,79.745,79.735,79.745,2,2,159.48
2021-07-28 14:59:00-04:00,79.81,79.81,79.81,79.81,1,1,79.81
2021-07-28 15:19:00-04:00,79.805,79.805,79.805,79.805,4,1,319.22
