,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-12 18:00:00-04:00,79.845,79.855,79.845,79.855,16,6,1277.57
2021-08-12 18:01:00-04:00,79.85,79.85,79.85,79.85,6,2,479.1
2021-08-12 18:02:00-04:00,79.855,79.855,79.845,79.845,27,7,2155.96
2021-08-12 18:03:00-04:00,79.845,79.845,79.845,79.845,2,1,159.69
2021-08-12 18:05:00-04:00,79.855,79.86,79.85,79.86,8,3,638.835
2021-08-12 18:07:00-04:00,79.865,79.865,79.865,79.865,3,3,239.595
2021-08-12 18:08:00-04:00,79.87,79.87,79.87,79.87,1,1,79.87
2021-08-12 18:09:00-04:00,79.86,79.86,79.86,79.86,19,3,1517.34
2021-08-12 18:10:00-04:00,79.86,79.86,79.86,79.86,7,1,559.02
2021-08-12 18:13:00-04:00,79.86,79.86,79.855,79.855,9,5,718.725
2021-08-12 18:14:00-04:00,79.855,79.855,79.855,79.855,8,2,638.84
2021-08-12 18:15:00-04:00,79.85,79.855,79.85,79.855,12,2,958.215
2021-08-12 18:16:00-04:00,79.86,79.86,79.86,79.86,5,4,399.3
2021-08-12 18:17:00-04:00,79.86,79.86,79.86,79.86,3,1,239.58
2021-08-12 18:18:00-04:00,79.855,79.855,79.855,79.855,2,2,159.71
2021-08-12 18:19:00-04:00,79.855,79.855,79.855,79.855,10,2,798.55
2021-08-12 18:24:00-04:00,79.855,79.855,79.855,79.855,2,2,159.71
2021-08-12 18:27:00-04:00,79.855,79.855,79.855,79.855,2,1,159.71
2021-08-12 18:28:00-04:00,79.855,79.855,79.855,79.855,3,1,239.565
2021-08-12 18:29:00-04:00,79.855,79.86,79.855,79.855,16,4,1277.69
2021-08-12 18:30:00-04:00,79.85,79.855,79.85,79.855,4,2,319.415
2021-08-12 18:32:00-04:00,79.86,79.86,79.86,79.86,2,1,159.72
2021-08-12 18:33:00-04:00,79.86,79.86,79.86,79.86,2,2,159.72
2021-08-12 18:38:00-04:00,79.855,79.855,79.855,79.855,2,2,159.71
2021-08-12 18:39:00-04:00,79.855,79.855,79.855,79.855,23,7,1836.665
2021-08-12 18:44:00-04:00,79.855,79.855,79.855,79.855,1,1,79.855
2021-08-12 18:45:00-04:00,79.86,79.86,79.86,79.86,16,1,1277.76
2021-08-12 18:46:00-04:00,79.86,79.86,79.86,79.86,4,3,319.44
2021-08-12 18:47:00-04:00,79.86,79.86,79.86,79.86,1,1,79.86
2021-08-12 18:49:00-04:00,79.86,79.86,79.855,79.86,14,3,1118.035
2021-08-12 18:51:00-04:00,79.855,79.855,79.855,79.855,10,2,798.55
2021-08-12 18:52:00-04:00,79.86,79.86,79.86,79.86,2,2,159.72
2021-08-12 18:54:00-04:00,79.855,79.855,79.855,79.855,1,1,79.855
2021-08-12 18:56:00-04:00,79.855,79.855,79.855,79.855,15,3,1197.825
2021-08-12 18:58:00-04:00,79.855,79.855,79.855,79.855,4,1,319.42
2021-08-12 19:00:00-04:00,79.86,79.865,79.86,79.865,18,5,1437.5
2021-08-12 19:01:00-04:00,79.865,79.865,79.865,79.865,4,2,319.46
