,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-09 18:00:00-04:00,78.95,78.96,78.94,78.95,215,56,16974.301
2021-09-09 18:01:00-04:00,78.95,78.955,78.95,78.955,64,12,5053.09
2021-09-09 18:02:00-04:00,78.96,78.96,78.96,78.96,10,4,789.6
2021-09-09 18:03:00-04:00,78.96,78.965,78.96,78.965,6,3,473.78
2021-09-09 18:04:00-04:00,78.965,78.98,78.965,78.975,41,14,3237.925
2021-09-09 18:05:00-04:00,78.97,78.97,78.97,78.97,14,5,1105.58
2021-09-09 18:06:00-04:00,78.97,78.97,78.97,78.97,12,4,947.64
2021-09-09 18:08:00-04:00,78.975,78.975,78.975,78.975,1,1,78.975
2021-09-09 18:09:00-04:00,78.975,78.975,78.975,78.975,2,2,157.95
2021-09-09 18:10:00-04:00,78.975,78.975,78.975,78.975,1,1,78.975
2021-09-09 18:11:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-09 18:14:00-04:00,78.975,78.975,78.975,78.975,2,1,157.95
2021-09-09 18:15:00-04:00,78.98,78.98,78.98,78.98,5,1,394.9
2021-09-09 18:17:00-04:00,78.98,78.98,78.98,78.98,2,2,157.96
2021-09-09 18:18:00-04:00,78.98,78.98,78.98,78.98,2,2,157.96
2021-09-09 18:19:00-04:00,78.985,78.985,78.98,78.985,24,16,1895.55
2021-09-09 18:20:00-04:00,78.98,78.985,78.98,78.98,7,7,552.87
2021-09-09 18:21:00-04:00,78.98,78.985,78.97,78.97,39,7,3079.94
2021-09-09 18:22:00-04:00,78.98,78.98,78.97,78.975,60,16,4738.255
2021-09-09 18:23:00-04:00,78.965,78.975,78.965,78.975,31,9,2447.955
2021-09-09 18:24:00-04:00,78.975,78.975,78.975,78.975,5,5,394.875
2021-09-09 18:25:00-04:00,78.97,78.975,78.97,78.97,5,5,394.855
2021-09-09 18:27:00-04:00,78.97,78.97,78.965,78.965,25,4,1974.16
2021-09-09 18:28:00-04:00,78.96,78.96,78.96,78.96,5,2,394.8
2021-09-09 18:31:00-04:00,78.96,78.96,78.96,78.96,4,2,315.84
2021-09-09 18:34:00-04:00,78.965,78.965,78.965,78.965,35,6,2763.775
2021-09-09 18:35:00-04:00,78.97,78.97,78.97,78.97,7,3,552.79
2021-09-09 18:37:00-04:00,78.97,78.97,78.96,78.96,12,4,947.57
2021-09-09 18:39:00-04:00,78.96,78.96,78.955,78.955,8,2,631.675
2021-09-09 18:44:00-04:00,78.96,78.96,78.96,78.96,1,1,78.96
2021-09-09 18:46:00-04:00,78.96,78.96,78.96,78.96,1,1,78.96
2021-09-09 18:50:00-04:00,78.96,78.96,78.96,78.96,8,1,631.68
2021-09-09 18:51:00-04:00,78.96,78.96,78.96,78.96,8,2,631.68
2021-09-09 18:52:00-04:00,78.965,78.965,78.965,78.965,13,2,1026.545
2021-09-09 18:53:00-04:00,78.97,78.97,78.97,78.97,3,1,236.91
2021-09-09 18:54:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-09 18:55:00-04:00,78.965,78.965,78.965,78.965,6,1,473.79
2021-09-09 18:58:00-04:00,78.965,78.965,78.96,78.96,15,4,1184.405
2021-09-09 18:59:00-04:00,78.96,78.96,78.96,78.96,9,3,710.64
2021-09-09 19:00:00-04:00,78.965,78.965,78.96,78.965,9,4,710.655
2021-09-09 19:01:00-04:00,78.96,78.96,78.955,78.955,12,4,947.51
2021-09-09 19:03:00-04:00,78.96,78.96,78.955,78.96,15,7,1184.37
2021-09-09 19:04:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-09 19:05:00-04:00,78.95,78.95,78.945,78.945,53,5,4184.315
2021-09-09 19:06:00-04:00,78.945,78.945,78.945,78.945,2,1,157.89
2021-09-09 19:07:00-04:00,78.94,78.94,78.94,78.94,2,2,157.88
2021-09-09 19:08:00-04:00,78.945,78.945,78.945,78.945,10,3,789.45
2021-09-09 19:10:00-04:00,78.945,78.945,78.94,78.94,11,3,868.39
2021-09-09 19:11:00-04:00,78.945,78.95,78.945,78.95,12,5,947.395
2021-09-09 19:13:00-04:00,78.95,78.95,78.95,78.95,2,1,157.9
2021-09-09 19:14:00-04:00,78.95,78.955,78.95,78.955,7,3,552.665
2021-09-09 19:15:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-09 19:18:00-04:00,78.96,78.96,78.955,78.96,5,4,394.795
2021-09-09 19:19:00-04:00,78.955,78.955,78.955,78.955,4,1,315.82
2021-09-09 19:20:00-04:00,78.95,78.955,78.95,78.955,2,2,157.905
2021-09-09 19:21:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-09 19:23:00-04:00,78.955,78.96,78.955,78.96,2,2,157.915
2021-09-09 19:24:00-04:00,78.96,78.96,78.96,78.96,2,1,157.92
2021-09-09 19:25:00-04:00,78.96,78.96,78.96,78.96,3,2,236.88
2021-09-09 19:27:00-04:00,78.95,78.95,78.95,78.95,1,1,78.95
2021-09-09 19:28:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-09 19:29:00-04:00,78.955,78.955,78.955,78.955,2,2,157.91
2021-09-09 19:30:00-04:00,78.96,78.96,78.96,78.96,5,2,394.8
2021-09-09 19:35:00-04:00,78.965,78.965,78.965,78.965,2,2,157.93
2021-09-09 19:36:00-04:00,78.965,78.965,78.965,78.965,4,1,315.86
2021-09-09 19:39:00-04:00,78.965,78.965,78.965,78.965,2,1,157.93
2021-09-09 19:40:00-04:00,78.965,78.965,78.965,78.965,9,2,710.685
2021-09-09 19:41:00-04:00,78.97,78.97,78.965,78.965,18,7,1421.395
2021-09-09 19:42:00-04:00,78.965,78.965,78.965,78.965,5,3,394.825
2021-09-09 19:44:00-04:00,78.97,78.97,78.97,78.97,14,5,1105.58
2021-09-09 19:45:00-04:00,78.97,78.97,78.97,78.97,10,1,789.7
2021-09-09 19:46:00-04:00,78.97,78.97,78.97,78.97,4,4,315.88
2021-09-09 19:47:00-04:00,78.97,78.97,78.97,78.97,10,1,789.7
