,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-27 18:44:00-04:00,79.21,79.21,79.21,79.21,4,1,316.84
2021-09-27 20:03:00-04:00,79.215,79.215,79.215,79.215,1,1,79.215
2021-09-27 22:33:00-04:00,79.235,79.235,79.235,79.235,4,1,316.94
2021-09-28 01:00:00-04:00,79.36,79.36,79.36,79.36,1,1,79.36
2021-09-28 04:00:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-09-28 06:15:00-04:00,79.04,79.04,79.04,79.04,1,1,79.04
2021-09-28 07:27:00-04:00,79.055,79.055,79.055,79.055,4,1,316.22
2021-09-28 08:54:00-04:00,78.9,78.9,78.9,78.9,1,1,78.9
2021-09-28 09:01:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-28 09:32:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-28 09:33:00-04:00,78.99,78.99,78.99,78.99,1,1,78.99
2021-09-28 09:51:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-28 10:43:00-04:00,78.885,78.885,78.885,78.885,1,1,78.885
2021-09-28 11:00:00-04:00,78.74,78.74,78.74,78.74,1,1,78.74
2021-09-28 11:09:00-04:00,78.735,78.735,78.735,78.735,2,1,157.47
2021-09-28 11:17:00-04:00,78.7,78.7,78.7,78.7,1,1,78.7
2021-09-28 11:18:00-04:00,78.7,78.7,78.7,78.7,1,1,78.7
2021-09-28 11:20:00-04:00,78.78,78.78,78.78,78.78,1,1,78.78
2021-09-28 12:47:00-04:00,78.78,78.78,78.78,78.78,1,1,78.78
2021-09-28 14:24:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-28 14:27:00-04:00,78.82,78.82,78.82,78.82,4,1,315.28
