,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-26 10:15:00-04:00,80.95,80.95,80.95,80.95,1,1,80.95
2021-10-26 11:34:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
2021-10-26 12:36:00-04:00,80.73,80.73,80.73,80.73,1,1,80.73
2021-10-26 12:49:00-04:00,80.71,80.71,80.71,80.71,2,1,161.42
2021-10-26 13:55:00-04:00,80.74,80.74,80.74,80.74,10,1,807.4
2021-10-26 14:37:00-04:00,80.765,80.765,80.765,80.765,1,1,80.765
2021-10-26 14:39:00-04:00,80.76,80.76,80.76,80.76,3,1,242.28
2021-10-26 14:57:00-04:00,80.74,80.74,80.74,80.74,1,1,80.74
2021-10-26 15:39:00-04:00,80.73,80.73,80.73,80.73,1,1,80.73
