,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-01 18:41:00-04:00,80.815,80.815,80.815,80.815,1,1,80.815
2021-11-01 20:03:00-04:00,80.805,80.805,80.805,80.805,1,1,80.805
2021-11-01 21:05:00-04:00,80.775,80.775,80.775,80.775,2,1,161.55
2021-11-02 02:05:00-04:00,80.655,80.655,80.655,80.655,3,1,241.965
2021-11-02 02:17:00-04:00,80.665,80.665,80.665,80.665,1,1,80.665
2021-11-02 02:31:00-04:00,80.65,80.65,80.65,80.65,1,1,80.65
2021-11-02 02:37:00-04:00,80.66,80.66,80.66,80.66,1,1,80.66
2021-11-02 02:49:00-04:00,80.675,80.675,80.675,80.675,1,1,80.675
2021-11-02 03:49:00-04:00,80.7,80.7,80.7,80.7,4,4,322.8
2021-11-02 04:02:00-04:00,80.69,80.69,80.69,80.69,1,1,80.69
2021-11-02 04:05:00-04:00,80.695,80.695,80.695,80.695,1,1,80.695
2021-11-02 04:09:00-04:00,80.675,80.675,80.675,80.675,1,1,80.675
2021-11-02 04:16:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-11-02 04:51:00-04:00,80.645,80.645,80.645,80.645,1,1,80.645
2021-11-02 04:54:00-04:00,80.61,80.61,80.605,80.605,4,3,322.425
2021-11-02 04:56:00-04:00,80.615,80.615,80.615,80.615,1,1,80.615
2021-11-02 04:58:00-04:00,80.6,80.6,80.6,80.6,1,1,80.6
2021-11-02 05:14:00-04:00,80.605,80.605,80.605,80.605,1,1,80.605
2021-11-02 05:18:00-04:00,80.625,80.625,80.625,80.625,1,1,80.625
2021-11-02 05:44:00-04:00,80.585,80.585,80.585,80.585,1,1,80.585
2021-11-02 06:00:00-04:00,80.6,80.6,80.6,80.6,5,1,403.0
2021-11-02 06:06:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-02 06:07:00-04:00,80.585,80.585,80.585,80.585,2,2,161.17
2021-11-02 06:19:00-04:00,80.585,80.585,80.575,80.575,2,2,161.16
2021-11-02 06:29:00-04:00,80.54,80.54,80.54,80.54,2,1,161.08
2021-11-02 07:32:00-04:00,80.56,80.565,80.56,80.565,20,2,1611.235
2021-11-02 07:38:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-11-02 07:45:00-04:00,80.545,80.545,80.545,80.545,1,1,80.545
2021-11-02 07:46:00-04:00,80.555,80.56,80.555,80.56,13,2,1047.25
2021-11-02 08:00:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-02 08:03:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-02 08:15:00-04:00,80.61,80.61,80.61,80.61,1,1,80.61
2021-11-02 08:32:00-04:00,80.62,80.62,80.62,80.62,5,2,403.1
2021-11-02 08:39:00-04:00,80.615,80.615,80.615,80.615,1,1,80.615
2021-11-02 08:43:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-02 09:03:00-04:00,80.65,80.65,80.65,80.65,1,1,80.65
2021-11-02 09:18:00-04:00,80.59,80.59,80.59,80.59,1,1,80.59
2021-11-02 09:53:00-04:00,80.645,80.645,80.645,80.645,2,1,161.29
2021-11-02 10:08:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-11-02 10:35:00-04:00,80.64,80.64,80.64,80.64,2,1,161.28
2021-11-02 10:38:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-11-02 10:48:00-04:00,80.625,80.625,80.62,80.62,3,2,241.87
2021-11-02 10:58:00-04:00,80.61,80.61,80.61,80.61,1,1,80.61
2021-11-02 11:01:00-04:00,80.67,80.67,80.67,80.67,2,1,161.34
2021-11-02 11:19:00-04:00,80.69,80.69,80.69,80.69,2,1,161.38
2021-11-02 11:46:00-04:00,80.65,80.65,80.65,80.65,1,1,80.65
2021-11-02 11:50:00-04:00,80.625,80.625,80.625,80.625,8,1,645.0
2021-11-02 11:57:00-04:00,80.5,80.5,80.495,80.495,2,2,160.995
2021-11-02 11:58:00-04:00,80.48,80.48,80.46,80.46,3,3,241.405
2021-11-02 12:05:00-04:00,80.505,80.505,80.505,80.505,1,1,80.505
2021-11-02 12:15:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-11-02 12:25:00-04:00,80.55,80.55,80.55,80.55,4,2,322.2
2021-11-02 12:36:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-02 12:49:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-02 12:57:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-11-02 13:12:00-04:00,80.555,80.555,80.555,80.555,1,1,80.555
2021-11-02 13:19:00-04:00,80.575,80.575,80.575,80.575,1,1,80.575
2021-11-02 14:23:00-04:00,80.6,80.6,80.6,80.6,2,1,161.2
2021-11-02 14:25:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-02 14:59:00-04:00,80.6,80.6,80.6,80.6,1,1,80.6
