,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-11 06:11:00-05:00,79.505,79.505,79.505,79.505,1,1,79.505
2021-11-11 07:37:00-05:00,79.485,79.485,79.475,79.475,10,3,794.815
2021-11-11 08:02:00-05:00,79.42,79.42,79.42,79.42,6,4,476.52
2021-11-11 08:17:00-05:00,79.405,79.41,79.405,79.41,10,3,794.09
2021-11-11 09:57:00-05:00,79.39,79.39,79.39,79.39,1,1,79.39
2021-11-11 10:11:00-05:00,79.38,79.38,79.38,79.38,2,1,158.76
2021-11-11 10:48:00-05:00,79.375,79.375,79.375,79.375,1,1,79.375
2021-11-11 11:00:00-05:00,79.39,79.39,79.39,79.39,4,1,317.56
2021-11-11 12:44:00-05:00,79.3,79.3,79.3,79.3,3,3,237.9
2021-11-11 12:51:00-05:00,79.3,79.3,79.3,79.3,5,3,396.5
2021-11-11 14:00:00-05:00,79.34,79.34,79.34,79.34,2,1,158.68
