,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-10 21:29:00-05:00,80.04,80.04,80.04,80.04,1,1,80.04
2021-11-11 02:05:00-05:00,79.9,79.9,79.9,79.9,1,1,79.9
2021-11-11 03:49:00-05:00,79.845,79.845,79.845,79.845,1,1,79.845
2021-11-11 05:38:00-05:00,79.7,79.7,79.7,79.7,1,1,79.7
2021-11-11 05:47:00-05:00,79.6,79.6,79.6,79.6,1,1,79.6
2021-11-11 07:46:00-05:00,79.5,79.5,79.5,79.5,1,1,79.5
2021-11-11 09:42:00-05:00,79.49,79.49,79.49,79.49,1,1,79.49
2021-11-11 13:43:00-05:00,79.47,79.47,79.47,79.47,2,1,158.94
2021-11-11 15:50:00-05:00,79.455,79.455,79.45,79.45,5,3,397.255
