,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-13 20:00:00-04:00,1520.75,1520.75,1519.25,1520.25,9,8,13679.25
2021-05-13 20:01:00-04:00,1522.25,1522.5,1522.25,1522.5,26,9,39578.75
2021-05-13 20:02:00-04:00,1523.0,1523.0,1523.0,1523.0,8,7,12184.0
2021-05-13 20:03:00-04:00,1523.0,1523.0,1523.0,1523.0,3,2,4569.0
2021-05-13 20:04:00-04:00,1524.5,1524.75,1523.0,1523.0,9,6,13716.5
2021-05-13 20:05:00-04:00,1523.0,1523.0,1523.0,1523.0,1,1,1523.0
2021-05-13 20:06:00-04:00,1520.75,1522.25,1520.75,1522.25,23,7,34999.5
2021-05-13 20:07:00-04:00,1521.5,1521.5,1519.25,1520.25,13,9,19765.0
2021-05-13 20:09:00-04:00,1519.25,1519.5,1519.25,1519.5,4,4,6077.25
2021-05-13 20:10:00-04:00,1519.5,1520.5,1519.5,1520.5,3,3,4560.25
2021-05-13 20:12:00-04:00,1520.0,1520.5,1520.0,1520.5,2,2,3040.5
2021-05-13 20:13:00-04:00,1520.25,1520.25,1519.75,1519.75,5,3,7599.75
2021-05-13 20:15:00-04:00,1519.75,1520.75,1519.75,1520.75,54,24,82106.25
2021-05-13 20:16:00-04:00,1522.5,1523.0,1522.25,1522.25,7,4,10657.75
2021-05-13 20:19:00-04:00,1520.5,1520.5,1520.5,1520.5,2,2,3041.0
2021-05-13 20:23:00-04:00,1519.25,1519.25,1518.5,1518.5,4,2,6074.75
2021-05-13 20:24:00-04:00,1518.25,1518.25,1517.5,1517.5,6,3,9108.5
2021-05-13 20:27:00-04:00,1519.5,1519.5,1518.25,1518.25,4,3,6075.75
2021-05-13 20:29:00-04:00,1519.0,1519.0,1519.0,1519.0,1,1,1519.0
2021-05-13 20:30:00-04:00,1519.25,1519.25,1518.5,1518.5,2,2,3037.75
2021-05-13 20:35:00-04:00,1521.75,1522.25,1521.0,1521.0,9,5,13696.75
2021-05-13 20:37:00-04:00,1521.25,1523.0,1521.25,1523.0,16,7,24364.0
2021-05-13 20:38:00-04:00,1523.5,1523.5,1522.25,1522.25,3,3,4568.5
2021-05-13 20:39:00-04:00,1522.75,1522.75,1522.75,1522.75,1,1,1522.75
2021-05-13 20:40:00-04:00,1522.5,1522.5,1522.5,1522.5,1,1,1522.5
2021-05-13 20:41:00-04:00,1523.75,1523.75,1523.75,1523.75,1,1,1523.75
2021-05-13 20:42:00-04:00,1524.0,1524.0,1524.0,1524.0,1,1,1524.0
2021-05-13 20:46:00-04:00,1526.0,1526.0,1526.0,1526.0,1,1,1526.0
2021-05-13 20:51:00-04:00,1525.5,1525.5,1525.5,1525.5,1,1,1525.5
2021-05-13 20:52:00-04:00,1526.0,1526.75,1526.0,1526.75,3,3,4579.25
2021-05-13 20:53:00-04:00,1526.0,1526.5,1526.0,1526.0,3,3,4578.5
2021-05-13 20:54:00-04:00,1525.75,1525.75,1525.0,1525.0,5,3,7626.25
2021-05-13 20:56:00-04:00,1524.75,1524.75,1524.75,1524.75,1,1,1524.75
2021-05-13 20:57:00-04:00,1524.75,1524.75,1524.75,1524.75,1,1,1524.75
2021-05-13 20:58:00-04:00,1524.25,1524.25,1524.25,1524.25,1,1,1524.25
