,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-22 20:00:00-04:00,1392.0,1400.0,1390.75,1399.5,322,157,449181.5
2021-06-22 20:01:00-04:00,1400.0,1401.25,1398.5,1398.5,95,58,133044.0
2021-06-22 20:02:00-04:00,1398.5,1401.0,1397.75,1401.0,49,37,68562.25
2021-06-22 20:03:00-04:00,1401.0,1401.0,1399.0,1399.0,25,22,34996.75
2021-06-22 20:04:00-04:00,1398.25,1399.75,1398.25,1399.5,13,10,18189.5
2021-06-22 20:05:00-04:00,1400.0,1401.75,1400.0,1401.0,31,21,43435.5
2021-06-22 20:06:00-04:00,1400.75,1401.75,1400.5,1400.5,28,19,39233.25
2021-06-22 20:07:00-04:00,1401.25,1401.5,1400.5,1401.5,6,6,8405.25
2021-06-22 20:08:00-04:00,1401.75,1402.25,1401.5,1402.25,13,13,18223.5
2021-06-22 20:09:00-04:00,1402.25,1402.75,1402.0,1402.0,13,11,18229.5
2021-06-22 20:10:00-04:00,1400.75,1400.75,1400.75,1400.75,6,5,8404.5
2021-06-22 20:11:00-04:00,1400.75,1400.75,1400.75,1400.75,5,4,7003.75
2021-06-22 20:12:00-04:00,1401.25,1402.0,1401.25,1402.0,5,5,7007.75
2021-06-22 20:13:00-04:00,1402.25,1404.25,1402.25,1404.0,64,33,89820.25
2021-06-22 20:14:00-04:00,1404.0,1404.0,1403.0,1403.5,24,17,33687.25
2021-06-22 20:15:00-04:00,1403.75,1404.25,1403.75,1404.0,16,12,22464.75
2021-06-22 20:16:00-04:00,1404.25,1405.0,1404.0,1404.75,43,24,60393.0
2021-06-22 20:17:00-04:00,1404.75,1405.5,1404.75,1405.0,12,7,16861.75
2021-06-22 20:18:00-04:00,1405.0,1405.5,1405.0,1405.25,8,7,11241.5
2021-06-22 20:19:00-04:00,1405.5,1405.5,1404.25,1404.5,12,8,16858.0
2021-06-22 20:20:00-04:00,1405.0,1405.0,1404.25,1404.5,21,16,29498.25
2021-06-22 20:21:00-04:00,1404.5,1405.0,1404.5,1405.0,6,5,8429.0
2021-06-22 20:22:00-04:00,1404.0,1404.0,1404.0,1404.0,2,2,2808.0
2021-06-22 20:23:00-04:00,1403.0,1403.5,1403.0,1403.5,4,3,5613.0
2021-06-22 20:24:00-04:00,1403.5,1403.5,1402.0,1402.0,68,16,95372.0
2021-06-22 20:25:00-04:00,1402.5,1402.5,1401.0,1401.5,12,10,16818.5
2021-06-22 20:26:00-04:00,1401.25,1402.0,1401.25,1402.0,5,5,7008.5
2021-06-22 20:27:00-04:00,1401.5,1401.5,1401.0,1401.25,7,4,9808.25
2021-06-22 20:28:00-04:00,1401.0,1401.75,1400.75,1401.75,30,9,42028.75
2021-06-22 20:29:00-04:00,1402.0,1402.0,1402.0,1402.0,2,2,2804.0
2021-06-22 20:30:00-04:00,1402.0,1402.25,1402.0,1402.0,7,3,9814.25
2021-06-22 20:31:00-04:00,1402.0,1402.0,1401.75,1401.75,2,2,2803.75
2021-06-22 20:32:00-04:00,1401.75,1402.25,1401.5,1402.0,5,5,7009.75
2021-06-22 20:33:00-04:00,1402.0,1402.0,1401.25,1401.25,3,3,4204.5
2021-06-22 20:34:00-04:00,1401.0,1401.0,1401.0,1401.0,3,2,4203.0
2021-06-22 20:35:00-04:00,1400.75,1401.0,1400.75,1401.0,14,5,19613.75
2021-06-22 20:36:00-04:00,1401.25,1401.25,1400.5,1400.75,15,9,21013.25
2021-06-22 20:37:00-04:00,1400.75,1401.0,1400.75,1401.0,6,3,8405.5
2021-06-22 20:38:00-04:00,1401.0,1401.5,1400.75,1400.75,8,7,11208.75
2021-06-22 20:40:00-04:00,1400.75,1400.75,1400.25,1400.25,6,4,8402.25
2021-06-22 20:41:00-04:00,1400.0,1400.5,1400.0,1400.5,35,16,49002.75
2021-06-22 20:42:00-04:00,1400.25,1400.75,1400.25,1400.25,7,6,9803.0
2021-06-22 20:43:00-04:00,1400.0,1400.5,1400.0,1400.25,12,8,16802.0
2021-06-22 20:44:00-04:00,1400.5,1400.5,1400.5,1400.5,3,2,4201.5
2021-06-22 20:45:00-04:00,1400.0,1401.0,1400.0,1401.0,12,8,16808.25
2021-06-22 20:47:00-04:00,1401.0,1401.25,1401.0,1401.25,3,2,4203.25
2021-06-22 20:48:00-04:00,1400.75,1400.75,1400.75,1400.75,3,1,4202.25
2021-06-22 20:49:00-04:00,1400.25,1400.25,1400.25,1400.25,3,1,4200.75
2021-06-22 20:50:00-04:00,1400.75,1400.75,1400.75,1400.75,2,2,2801.5
2021-06-22 20:51:00-04:00,1401.0,1401.0,1401.0,1401.0,1,1,1401.0
2021-06-22 20:52:00-04:00,1401.5,1401.5,1401.25,1401.25,10,7,14014.75
2021-06-22 20:53:00-04:00,1401.25,1401.25,1401.25,1401.25,2,1,2802.5
2021-06-22 20:54:00-04:00,1401.5,1401.75,1401.5,1401.75,3,2,4205.0
2021-06-22 20:55:00-04:00,1402.0,1402.0,1402.0,1402.0,2,2,2804.0
2021-06-22 20:56:00-04:00,1402.25,1402.25,1402.25,1402.25,1,1,1402.25
2021-06-22 20:57:00-04:00,1402.0,1402.0,1401.75,1401.75,3,3,4205.75
2021-06-22 20:58:00-04:00,1401.5,1402.5,1401.5,1402.5,4,3,5608.25
2021-06-22 20:59:00-04:00,1402.75,1403.5,1402.75,1403.5,9,9,12628.0
2021-06-22 21:00:00-04:00,1403.25,1404.75,1403.25,1404.75,30,20,42134.25
2021-06-22 21:01:00-04:00,1404.25,1404.75,1403.5,1404.5,31,22,43533.25
2021-06-22 21:02:00-04:00,1404.5,1404.75,1404.25,1404.25,6,4,8427.25
2021-06-22 21:03:00-04:00,1404.0,1404.25,1404.0,1404.25,3,3,4212.25
2021-06-22 21:04:00-04:00,1404.5,1404.75,1404.5,1404.5,6,6,8427.75
2021-06-22 21:05:00-04:00,1404.5,1405.0,1404.5,1405.0,11,7,15453.75
2021-06-22 21:06:00-04:00,1404.75,1405.0,1404.75,1404.75,9,6,12644.0
2021-06-22 21:07:00-04:00,1404.25,1404.25,1403.5,1403.5,15,11,21056.75
2021-06-22 21:08:00-04:00,1404.0,1404.0,1403.75,1404.0,4,4,5615.75
2021-06-22 21:09:00-04:00,1404.0,1404.25,1404.0,1404.0,5,5,7020.5
2021-06-22 21:10:00-04:00,1404.5,1404.5,1404.25,1404.5,7,7,9831.0
2021-06-22 21:11:00-04:00,1404.25,1404.25,1403.5,1403.5,12,9,16846.75
2021-06-22 21:12:00-04:00,1404.0,1404.0,1403.75,1403.75,2,2,2807.75
2021-06-22 21:14:00-04:00,1404.75,1404.75,1404.5,1404.5,4,4,5618.75
