,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-06 09:29:00-04:00,1373.25,1373.25,1370.25,1370.25,1829,177,2511166.75
2021-07-06 09:30:00-04:00,1370.25,1370.5,1350.0,1350.5,7644,2475,10384621.0
2021-07-06 09:31:00-04:00,1350.5,1353.75,1346.0,1348.0,3333,1091,4496618.0
2021-07-06 09:32:00-04:00,1348.25,1356.0,1345.5,1350.0,2539,985,3427135.75
2021-07-06 09:33:00-04:00,1350.0,1355.25,1346.5,1354.5,1697,630,2290871.0
2021-07-06 09:34:00-04:00,1354.5,1355.75,1352.0,1353.75,1780,622,2409794.75
2021-07-06 09:35:00-04:00,1354.0,1357.0,1351.75,1352.25,1354,461,1834256.5
2021-07-06 09:36:00-04:00,1352.5,1353.25,1350.25,1351.25,701,249,947412.0
2021-07-06 09:37:00-04:00,1351.0,1352.25,1349.25,1349.5,787,281,1062862.25
2021-07-06 09:38:00-04:00,1349.75,1350.0,1342.0,1344.0,2128,629,2862877.0
2021-07-06 09:39:00-04:00,1344.0,1346.0,1343.25,1345.25,716,275,962720.75
2021-07-06 09:40:00-04:00,1345.25,1346.75,1341.25,1341.5,1421,371,1910006.0
2021-07-06 09:41:00-04:00,1341.5,1344.5,1340.25,1343.25,1027,312,1378568.5
2021-07-06 09:42:00-04:00,1343.25,1344.5,1341.75,1344.25,1041,367,1398069.25
2021-07-06 09:43:00-04:00,1344.5,1346.0,1344.0,1344.25,884,250,1188936.5
2021-07-06 09:44:00-04:00,1344.25,1344.5,1342.25,1342.25,610,335,819506.75
2021-07-06 09:45:00-04:00,1342.25,1343.5,1342.0,1343.25,628,247,843296.75
2021-07-06 09:46:00-04:00,1343.25,1343.5,1339.5,1339.5,717,195,961489.5
2021-07-06 09:47:00-04:00,1339.5,1343.0,1337.25,1338.75,1861,398,2493262.75
2021-07-06 09:48:00-04:00,1338.75,1339.0,1333.0,1333.75,1431,414,1911640.0
2021-07-06 09:49:00-04:00,1333.75,1334.0,1329.0,1329.0,1232,361,1640853.0
