,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-07 20:00:00-04:00,1319.5,1322.25,1319.5,1322.25,18,9,23773.5
2021-07-07 20:02:00-04:00,1320.0,1320.0,1320.0,1320.0,2,1,2640.0
2021-07-07 20:26:00-04:00,1313.75,1313.75,1313.25,1313.25,2,2,2627.0
2021-07-07 20:34:00-04:00,1315.25,1315.25,1315.25,1315.25,1,1,1315.25
2021-07-07 21:00:00-04:00,1314.5,1314.5,1310.75,1310.75,7,6,9187.25
2021-07-07 21:10:00-04:00,1310.0,1310.0,1310.0,1310.0,3,3,3930.0
2021-07-07 21:11:00-04:00,1310.0,1310.0,1310.0,1310.0,22,4,28820.0
2021-07-07 21:12:00-04:00,1310.0,1310.0,1310.0,1310.0,16,4,20960.0
2021-07-07 21:13:00-04:00,1310.0,1310.0,1310.0,1310.0,10,4,13100.0
2021-07-07 21:19:00-04:00,1310.0,1310.0,1310.0,1310.0,3,3,3930.0
2021-07-07 21:21:00-04:00,1310.5,1310.5,1310.5,1310.5,3,3,3931.5
2021-07-07 21:27:00-04:00,1310.0,1310.0,1310.0,1310.0,23,5,30130.0
2021-07-07 21:54:00-04:00,1310.5,1310.5,1310.5,1310.5,1,1,1310.5
2021-07-07 21:55:00-04:00,1310.5,1310.5,1310.5,1310.5,8,3,10484.0
2021-07-07 21:56:00-04:00,1310.5,1310.5,1310.5,1310.5,6,1,7863.0
2021-07-07 22:14:00-04:00,1315.25,1315.25,1315.25,1315.25,10,4,13152.5
2021-07-07 22:17:00-04:00,1315.5,1315.5,1315.5,1315.5,88,17,115764.0
2021-07-07 22:20:00-04:00,1315.5,1315.5,1315.5,1315.5,1,1,1315.5
2021-07-07 22:23:00-04:00,1315.5,1315.5,1315.5,1315.5,4,1,5262.0
2021-07-07 22:24:00-04:00,1315.5,1315.5,1315.5,1315.5,2,2,2631.0
2021-07-07 22:25:00-04:00,1315.5,1315.5,1315.5,1315.5,26,13,34203.0
2021-07-07 22:36:00-04:00,1315.5,1315.5,1315.5,1315.5,27,9,35518.5
2021-07-07 22:38:00-04:00,1314.75,1315.0,1314.75,1315.0,10,2,13149.0
2021-07-07 22:40:00-04:00,1315.0,1315.0,1315.0,1315.0,23,2,30245.0
2021-07-07 22:41:00-04:00,1315.0,1315.0,1315.0,1315.0,68,16,89420.0
2021-07-07 23:02:00-04:00,1319.0,1319.0,1319.0,1319.0,4,4,5276.0
2021-07-07 23:03:00-04:00,1319.0,1319.0,1319.0,1319.0,10,5,13190.0
2021-07-07 23:04:00-04:00,1319.0,1319.0,1319.0,1319.0,1,1,1319.0
2021-07-07 23:07:00-04:00,1320.0,1321.0,1320.0,1321.0,88,20,116241.0
2021-07-07 23:11:00-04:00,1321.0,1321.0,1321.0,1321.0,5,4,6605.0
