,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-21 20:00:00-04:00,1398.0,1398.0,1394.75,1394.75,86,22,120083.25
2021-07-21 20:01:00-04:00,1396.75,1396.75,1396.75,1396.75,1,1,1396.75
2021-07-21 20:02:00-04:00,1395.75,1395.75,1395.0,1395.0,26,7,36285.0
2021-07-21 20:05:00-04:00,1395.25,1395.25,1395.0,1395.0,2,2,2790.25
2021-07-21 20:06:00-04:00,1393.75,1393.75,1393.25,1393.25,9,4,12541.75
2021-07-21 20:07:00-04:00,1392.75,1392.75,1392.75,1392.75,3,1,4178.25
2021-07-21 20:08:00-04:00,1392.75,1392.75,1392.75,1392.75,1,1,1392.75
2021-07-21 20:11:00-04:00,1393.0,1393.0,1393.0,1393.0,10,6,13930.0
2021-07-21 20:13:00-04:00,1392.0,1392.0,1392.0,1392.0,2,1,2784.0
2021-07-21 20:14:00-04:00,1392.25,1392.25,1391.75,1391.75,2,2,2784.0
2021-07-21 20:15:00-04:00,1390.25,1390.25,1390.25,1390.25,1,1,1390.25
2021-07-21 20:16:00-04:00,1390.5,1391.0,1390.5,1391.0,4,2,5563.0
2021-07-21 20:19:00-04:00,1389.5,1389.5,1389.5,1389.5,1,1,1389.5
2021-07-21 20:20:00-04:00,1389.75,1389.75,1389.75,1389.75,1,1,1389.75
2021-07-21 20:22:00-04:00,1390.5,1390.75,1390.5,1390.75,2,2,2781.25
2021-07-21 20:23:00-04:00,1390.75,1390.75,1390.75,1390.75,1,1,1390.75
2021-07-21 20:26:00-04:00,1389.75,1389.75,1389.75,1389.75,1,1,1389.75
2021-07-21 20:27:00-04:00,1389.25,1389.25,1389.25,1389.25,1,1,1389.25
2021-07-21 20:28:00-04:00,1389.0,1389.0,1389.0,1389.0,25,2,34725.0
2021-07-21 20:29:00-04:00,1388.5,1388.5,1387.5,1387.5,3,3,4164.25
2021-07-21 20:30:00-04:00,1387.75,1387.75,1387.75,1387.75,3,3,4163.25
2021-07-21 20:37:00-04:00,1389.0,1389.0,1389.0,1389.0,1,1,1389.0
2021-07-21 20:39:00-04:00,1388.25,1388.25,1387.5,1387.5,9,2,12488.25
2021-07-21 20:41:00-04:00,1388.0,1388.0,1388.0,1388.0,1,1,1388.0
2021-07-21 20:42:00-04:00,1387.5,1387.5,1387.5,1387.5,7,2,9712.5
2021-07-21 20:43:00-04:00,1387.5,1387.75,1387.25,1387.75,7,5,9711.75
2021-07-21 20:44:00-04:00,1387.0,1387.25,1387.0,1387.25,2,2,2774.25
2021-07-21 20:45:00-04:00,1387.5,1387.75,1387.5,1387.75,10,2,13877.25
