,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-21 20:00:00-04:00,1233.5,1233.75,1232.25,1233.0,180,49,221999.0
2021-10-21 20:01:00-04:00,1233.0,1234.0,1232.75,1234.0,28,18,34537.25
2021-10-21 20:02:00-04:00,1234.25,1234.25,1233.75,1233.75,14,6,17279.0
2021-10-21 20:03:00-04:00,1234.0,1234.0,1233.25,1233.5,11,8,13571.0
2021-10-21 20:05:00-04:00,1233.75,1234.0,1233.75,1234.0,6,5,7403.25
2021-10-21 20:06:00-04:00,1234.0,1234.0,1233.75,1233.75,5,3,6169.5
2021-10-21 20:07:00-04:00,1234.0,1234.25,1234.0,1234.0,6,5,7404.75
2021-10-21 20:08:00-04:00,1234.25,1234.25,1233.75,1233.75,30,7,37014.0
2021-10-21 20:09:00-04:00,1233.75,1234.0,1233.75,1234.0,21,3,25913.0
2021-10-21 20:10:00-04:00,1234.0,1234.0,1233.75,1233.75,3,3,3701.75
2021-10-21 20:11:00-04:00,1234.0,1234.25,1234.0,1234.0,8,4,9872.5
2021-10-21 20:12:00-04:00,1234.25,1234.25,1234.25,1234.25,6,3,7405.5
2021-10-21 20:13:00-04:00,1234.25,1234.5,1234.25,1234.5,7,3,8641.25
2021-10-21 20:14:00-04:00,1234.5,1234.5,1234.5,1234.5,6,2,7407.0
2021-10-21 20:15:00-04:00,1234.5,1234.75,1234.5,1234.75,16,13,19754.75
2021-10-21 20:16:00-04:00,1234.75,1235.0,1234.5,1235.0,6,4,7408.75
2021-10-21 20:17:00-04:00,1234.75,1235.25,1234.75,1235.0,31,10,38285.75
2021-10-21 20:18:00-04:00,1235.0,1235.0,1234.75,1234.75,7,5,8644.75
2021-10-21 20:19:00-04:00,1234.75,1235.0,1234.75,1235.0,6,5,7409.75
2021-10-21 20:20:00-04:00,1235.0,1235.25,1235.0,1235.25,5,4,6175.75
2021-10-21 20:21:00-04:00,1235.5,1235.5,1235.25,1235.25,5,4,6177.0
2021-10-21 20:22:00-04:00,1235.25,1235.25,1235.25,1235.25,1,1,1235.25
2021-10-21 20:23:00-04:00,1235.25,1235.25,1235.25,1235.25,2,2,2470.5
2021-10-21 20:25:00-04:00,1235.5,1235.5,1235.5,1235.5,1,1,1235.5
2021-10-21 20:26:00-04:00,1235.25,1235.25,1235.25,1235.25,7,2,8646.75
2021-10-21 20:27:00-04:00,1235.25,1235.25,1235.0,1235.0,2,2,2470.25
2021-10-21 20:28:00-04:00,1235.5,1235.5,1235.25,1235.5,5,5,6177.25
2021-10-21 20:29:00-04:00,1235.75,1235.75,1235.5,1235.5,2,2,2471.25
2021-10-21 20:30:00-04:00,1235.75,1235.75,1235.5,1235.75,12,4,14828.5
2021-10-21 20:31:00-04:00,1235.75,1235.75,1235.75,1235.75,2,2,2471.5
