,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-25 20:00:00-04:00,1264.75,1265.0,1263.75,1264.0,56,11,70822.25
2021-10-25 20:02:00-04:00,1264.25,1264.25,1264.25,1264.25,3,3,3792.75
2021-10-25 20:05:00-04:00,1263.0,1263.0,1263.0,1263.0,1,1,1263.0
2021-10-25 20:16:00-04:00,1264.25,1264.25,1264.25,1264.25,3,1,3792.75
2021-10-25 20:17:00-04:00,1264.25,1264.25,1264.25,1264.25,4,2,5057.0
2021-10-25 20:39:00-04:00,1264.25,1264.25,1264.25,1264.25,5,1,6321.25
2021-10-25 20:42:00-04:00,1264.75,1265.0,1264.75,1264.75,11,11,13912.5
2021-10-25 20:46:00-04:00,1265.0,1265.0,1265.0,1265.0,19,4,24035.0
2021-10-25 20:52:00-04:00,1266.0,1266.0,1266.0,1266.0,3,2,3798.0
2021-10-25 20:53:00-04:00,1266.0,1266.0,1266.0,1266.0,4,1,5064.0
2021-10-25 21:02:00-04:00,1266.25,1266.25,1266.25,1266.25,4,2,5065.0
2021-10-25 21:06:00-04:00,1265.25,1265.25,1265.25,1265.25,1,1,1265.25
2021-10-25 21:08:00-04:00,1265.75,1265.75,1265.75,1265.75,3,2,3797.25
2021-10-25 21:12:00-04:00,1266.0,1266.0,1266.0,1266.0,3,1,3798.0
2021-10-25 21:13:00-04:00,1266.0,1266.0,1266.0,1266.0,29,10,36714.0
2021-10-25 21:14:00-04:00,1266.0,1266.0,1266.0,1266.0,12,12,15192.0
2021-10-25 21:15:00-04:00,1266.0,1266.0,1266.0,1266.0,43,32,54438.0
2021-10-25 21:17:00-04:00,1266.0,1266.0,1266.0,1266.0,4,4,5064.0
2021-10-25 21:18:00-04:00,1266.0,1266.0,1266.0,1266.0,11,8,13926.0
2021-10-25 21:21:00-04:00,1266.0,1266.0,1266.0,1266.0,8,7,10128.0
2021-10-25 21:38:00-04:00,1262.75,1262.75,1262.5,1262.5,3,3,3787.75
2021-10-25 22:20:00-04:00,1264.0,1264.0,1264.0,1264.0,2,2,2528.0
2021-10-25 22:33:00-04:00,1264.75,1264.75,1264.75,1264.75,1,1,1264.75
2021-10-25 23:08:00-04:00,1264.0,1264.0,1264.0,1264.0,1,1,1264.0
2021-10-25 23:12:00-04:00,1265.0,1265.0,1265.0,1265.0,37,1,46805.0
2021-10-25 23:16:00-04:00,1264.5,1264.5,1264.5,1264.5,1,1,1264.5
2021-10-25 23:17:00-04:00,1264.25,1264.25,1264.25,1264.25,1,1,1264.25
2021-10-25 23:20:00-04:00,1264.0,1264.0,1264.0,1264.0,1,1,1264.0
2021-10-26 00:30:00-04:00,1264.75,1265.5,1264.75,1265.25,8,5,10122.5
2021-10-26 01:07:00-04:00,1265.0,1265.0,1265.0,1265.0,1,1,1265.0
2021-10-26 01:38:00-04:00,1263.5,1263.75,1263.5,1263.75,2,2,2527.25
2021-10-26 01:41:00-04:00,1263.5,1263.5,1263.5,1263.5,2,2,2527.0
2021-10-26 01:46:00-04:00,1263.75,1263.75,1263.75,1263.75,1,1,1263.75
2021-10-26 01:48:00-04:00,1263.75,1263.75,1263.75,1263.75,1,1,1263.75
2021-10-26 01:53:00-04:00,1263.5,1263.5,1263.5,1263.5,1,1,1263.5
2021-10-26 01:55:00-04:00,1264.25,1264.25,1264.25,1264.25,1,1,1264.25
2021-10-26 01:56:00-04:00,1263.75,1263.75,1263.75,1263.75,1,1,1263.75
2021-10-26 01:59:00-04:00,1263.5,1263.5,1263.5,1263.5,1,1,1263.5
2021-10-26 02:01:00-04:00,1263.75,1263.75,1263.75,1263.75,1,1,1263.75
2021-10-26 02:26:00-04:00,1264.75,1264.75,1264.75,1264.75,20,10,25295.0
2021-10-26 02:29:00-04:00,1264.75,1264.75,1264.75,1264.75,17,8,21500.75
2021-10-26 02:35:00-04:00,1265.0,1265.0,1265.0,1265.0,18,10,22770.0
2021-10-26 02:36:00-04:00,1265.0,1265.0,1265.0,1265.0,10,7,12650.0
2021-10-26 02:37:00-04:00,1265.0,1265.0,1265.0,1265.0,16,13,20240.0
2021-10-26 02:44:00-04:00,1264.25,1264.25,1264.25,1264.25,2,2,2528.5
2021-10-26 02:45:00-04:00,1264.5,1264.75,1264.5,1264.75,3,3,3793.75
2021-10-26 02:50:00-04:00,1264.5,1264.5,1264.5,1264.5,1,1,1264.5
2021-10-26 02:52:00-04:00,1264.5,1264.5,1264.5,1264.5,1,1,1264.5
2021-10-26 03:55:00-04:00,1266.0,1266.0,1266.0,1266.0,1,1,1266.0
2021-10-26 04:13:00-04:00,1265.75,1265.75,1265.75,1265.75,1,1,1265.75
2021-10-26 04:14:00-04:00,1265.5,1265.5,1265.5,1265.5,1,1,1265.5
2021-10-26 04:29:00-04:00,1265.25,1265.25,1265.25,1265.25,1,1,1265.25
2021-10-26 04:30:00-04:00,1265.25,1265.25,1265.25,1265.25,1,1,1265.25
2021-10-26 04:32:00-04:00,1265.0,1265.0,1265.0,1265.0,1,1,1265.0
2021-10-26 04:35:00-04:00,1264.5,1264.5,1264.5,1264.5,4,1,5058.0
2021-10-26 04:58:00-04:00,1264.0,1264.0,1264.0,1264.0,5,3,6320.0
2021-10-26 05:11:00-04:00,1264.0,1264.0,1264.0,1264.0,1,1,1264.0
2021-10-26 05:13:00-04:00,1263.25,1263.25,1263.0,1263.0,3,2,3789.5
2021-10-26 05:16:00-04:00,1262.75,1262.75,1262.5,1262.5,2,2,2525.25
2021-10-26 05:42:00-04:00,1263.5,1263.5,1263.5,1263.5,2,1,2527.0
2021-10-26 05:45:00-04:00,1263.5,1263.5,1263.5,1263.5,9,6,11371.5
2021-10-26 05:50:00-04:00,1263.5,1263.5,1263.5,1263.5,1,1,1263.5
2021-10-26 05:52:00-04:00,1263.75,1263.75,1263.75,1263.75,1,1,1263.75
2021-10-26 05:58:00-04:00,1263.0,1263.0,1263.0,1263.0,3,1,3789.0
2021-10-26 06:23:00-04:00,1263.25,1263.25,1263.25,1263.25,1,1,1263.25
2021-10-26 06:35:00-04:00,1262.25,1262.25,1262.25,1262.25,5,3,6311.25
2021-10-26 07:21:00-04:00,1263.25,1263.25,1262.25,1262.25,6,5,7576.75
2021-10-26 07:27:00-04:00,1263.5,1263.5,1263.5,1263.5,5,1,6317.5
2021-10-26 07:28:00-04:00,1263.5,1263.5,1263.5,1263.5,5,1,6317.5
2021-10-26 07:29:00-04:00,1263.25,1263.5,1263.25,1263.5,15,5,18951.75
2021-10-26 07:30:00-04:00,1263.5,1263.5,1263.5,1263.5,5,3,6317.5
2021-10-26 07:31:00-04:00,1263.5,1263.5,1263.5,1263.5,5,2,6317.5
2021-10-26 07:35:00-04:00,1262.5,1262.5,1262.5,1262.5,1,1,1262.5
2021-10-26 07:38:00-04:00,1262.25,1262.25,1262.25,1262.25,12,4,15147.0
2021-10-26 07:39:00-04:00,1262.0,1262.5,1262.0,1262.5,2,2,2524.5
2021-10-26 07:40:00-04:00,1262.25,1262.25,1262.25,1262.25,1,1,1262.25
2021-10-26 07:41:00-04:00,1261.25,1261.25,1261.25,1261.25,11,2,13873.75
2021-10-26 07:43:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-26 07:45:00-04:00,1261.0,1261.0,1260.75,1260.75,35,2,44130.5
2021-10-26 07:46:00-04:00,1261.25,1261.25,1261.25,1261.25,1,1,1261.25
2021-10-26 07:52:00-04:00,1261.75,1261.75,1261.75,1261.75,4,2,5047.0
2021-10-26 07:54:00-04:00,1262.25,1262.5,1262.25,1262.5,7,2,8836.0
2021-10-26 08:13:00-04:00,1262.75,1262.75,1262.75,1262.75,2,1,2525.5
2021-10-26 08:19:00-04:00,1262.0,1262.0,1262.0,1262.0,3,1,3786.0
2021-10-26 08:21:00-04:00,1263.0,1263.0,1263.0,1263.0,1,1,1263.0
2021-10-26 08:23:00-04:00,1263.25,1263.25,1263.25,1263.25,1,1,1263.25
2021-10-26 08:24:00-04:00,1264.5,1264.5,1264.5,1264.5,1,1,1264.5
2021-10-26 08:40:00-04:00,1262.75,1262.75,1262.75,1262.75,3,1,3788.25
2021-10-26 09:29:00-04:00,1263.0,1263.5,1262.75,1263.5,19,14,24000.0
2021-10-26 09:30:00-04:00,1262.5,1263.0,1260.0,1260.5,48,33,60539.5
2021-10-26 09:31:00-04:00,1260.5,1260.5,1259.5,1260.5,54,31,68034.5
2021-10-26 09:32:00-04:00,1259.75,1260.5,1259.5,1260.25,26,19,32757.75
2021-10-26 09:33:00-04:00,1259.75,1260.5,1259.75,1259.75,59,14,74339.75
2021-10-26 09:34:00-04:00,1259.5,1259.5,1259.25,1259.5,11,4,13853.25
2021-10-26 09:35:00-04:00,1258.5,1259.25,1258.5,1259.25,3,3,3776.5
2021-10-26 09:36:00-04:00,1259.0,1259.5,1259.0,1259.5,7,6,8814.5
2021-10-26 09:37:00-04:00,1259.5,1259.75,1259.25,1259.75,7,6,8817.0
2021-10-26 09:38:00-04:00,1260.5,1261.5,1260.25,1261.5,32,11,40338.0
