,date,PX_BID,PX_MID,PX_ASK,PX_DIRTY_BID,PX_DIRTY_MID,PX_DIRTY_ASK,PX_LAST,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK
0,2015-11-05,98.78,98.943,99.105,98.78,98.943,99.105,98.943,3.468,3.432,3.396
1,2015-11-06,98.658,98.756,98.853,98.676,98.774,98.871,98.756,3.495,3.473,3.452
2,2015-11-09,98.285,98.392,98.498,98.312,98.419,98.525,98.392,3.578,3.5540000000000003,3.531
3,2015-11-10,98.544,98.643,98.743,98.597,98.696,98.796,98.643,3.521,3.499,3.477
4,2015-11-11,98.558,98.67,98.782,98.611,98.723,98.835,98.67,3.518,3.493,3.468
5,2015-11-12,98.712,98.824,98.936,98.774,98.886,98.998,98.824,3.484,3.459,3.434
6,2015-11-13,98.721,98.833,98.944,98.792,98.904,99.015,98.833,3.482,3.457,3.432
7,2015-11-16,98.802,98.923,99.044,98.882,99.003,99.124,98.923,3.464,3.437,3.41
8,2015-11-17,98.774,98.89,99.006,98.863,98.979,99.095,98.89,3.4699999999999998,3.445,3.419
9,2015-11-18,98.816,98.935,99.054,98.932,99.051,99.17,98.935,3.461,3.435,3.409
10,2015-11-19,98.833,98.973,99.113,98.957,99.097,99.237,98.973,3.458,3.427,3.396
11,2015-11-20,98.799,98.931,99.062,98.932,99.064,99.195,98.931,3.465,3.436,3.407
12,2015-11-23,98.697,98.836,98.975,98.848,98.987,99.126,98.836,3.488,3.457,3.427
13,2015-11-24,98.877,99.018,99.158,99.055,99.196,99.336,99.018,3.449,3.417,3.386
14,2015-11-25,98.923,99.052,99.181,99.11,99.239,99.368,99.052,3.439,3.41,3.3810000000000002
15,2015-11-26,98.889,99.019,99.149,99.076,99.206,99.336,99.019,3.446,3.417,3.388
16,2015-11-27,99.155,99.246,99.336,99.351,99.442,99.532,99.246,3.387,3.367,3.347
17,2015-11-30,98.911,99.054,99.196,99.115,99.258,99.4,99.054,3.441,3.41,3.378
18,2015-12-01,98.909,99.046,99.182,99.122,99.259,99.395,99.046,3.442,3.411,3.3810000000000002
19,2015-12-02,99.306,99.411,99.515,99.546,99.651,99.755,99.411,3.354,3.33,3.307
20,2015-12-03,99.075,99.2,99.325,99.324,99.449,99.574,99.2,3.4050000000000002,3.377,3.35
21,2015-12-04,98.769,98.911,99.052,99.027,99.169,99.31,98.911,3.474,3.442,3.411
22,2015-12-07,98.821,98.959,99.096,99.088,99.226,99.363,98.959,3.462,3.431,3.401
23,2015-12-08,98.924,99.072,99.219,99.2,99.348,99.495,99.072,3.439,3.406,3.373
24,2015-12-09,98.958,99.105,99.252,99.26,99.407,99.554,99.105,3.432,3.399,3.366
25,2015-12-10,99.012,99.16,99.307,99.323,99.471,99.618,99.16,3.42,3.387,3.354
26,2015-12-11,98.994,99.14,99.285,99.314,99.46,99.605,99.14,3.424,3.391,3.359
27,2015-12-14,99.326,99.491,99.656,99.655,99.82,99.985,99.491,3.35,3.313,3.276
28,2015-12-15,99.095,99.276,99.456,99.433,99.614,99.794,99.276,3.402,3.3609999999999998,3.321
29,2015-12-16,99.012,99.192,99.372,99.376,99.556,99.736,99.192,3.421,3.38,3.34
30,2015-12-17,99.016,99.184,99.351,99.389,99.557,99.724,99.184,3.42,3.382,3.3449999999999998
