,date,PX_BID,PX_MID,PX_ASK,PX_DIRTY_BID,PX_DIRTY_MID,PX_DIRTY_ASK,PX_LAST,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK
0,2016-05-17,99.686,99.737,99.788,99.693,99.744,99.795,99.737,2.484,2.467,2.449
1,2016-05-18,99.568,99.619,99.67,99.594,99.645,99.696,99.619,2.526,2.508,2.49
2,2016-05-19,99.425,99.476,99.526,99.458,99.509,99.559,99.476,2.576,2.558,2.541
3,2016-05-20,99.43,99.481,99.532,99.47,99.521,99.572,99.481,2.575,2.557,2.539
4,2016-05-23,99.433,99.488,99.542,99.479,99.534,99.588,99.488,2.574,2.5540000000000003,2.535
5,2016-05-24,99.39,99.448,99.506,99.443,99.501,99.559,99.448,2.589,2.569,2.548
6,2016-05-25,99.398,99.457,99.515,99.471,99.53,99.588,99.457,2.5869999999999997,2.566,2.545
7,2016-05-26,99.421,99.48,99.538,99.5,99.559,99.617,99.48,2.5789999999999997,2.558,2.537
8,2016-05-27,99.478,99.537,99.596,99.564,99.623,99.682,99.537,2.559,2.5380000000000003,2.517
9,2016-05-30,99.347,99.407,99.466,99.433,99.493,99.552,99.407,2.605,2.584,2.5629999999999997
10,2016-05-31,99.389,99.448,99.507,99.481,99.54,99.599,99.448,2.59,2.57,2.549
11,2016-06-01,99.467,99.528,99.588,99.579,99.64,99.7,99.528,2.5629999999999997,2.542,2.52
12,2016-06-02,99.388,99.449,99.51,99.507,99.568,99.629,99.449,2.592,2.57,2.548
13,2016-06-03,99.434,99.477,99.52,99.559,99.602,99.645,99.477,2.575,2.56,2.545
14,2016-06-06,99.633,99.709,99.785,99.765,99.841,99.917,99.709,2.505,2.4779999999999998,2.451
15,2016-06-07,99.63,99.685,99.741,99.769,99.824,99.88,99.685,2.5060000000000002,2.4859999999999998,2.467
16,2016-06-08,99.663,99.718,99.773,99.821,99.876,99.931,99.718,2.495,2.475,2.455
17,2016-06-09,99.704,99.76,99.815,99.869,99.925,99.98,99.76,2.48,2.46,2.44
18,2016-06-10,99.715,99.792,99.868,99.887,99.964,100.04,99.792,2.476,2.449,2.422
19,2016-06-13,99.817,99.88,99.942,99.995,100.058,100.12,99.88,2.44,2.417,2.395
20,2016-06-14,99.916,99.969,100.021,100.101,100.154,100.206,99.969,2.4050000000000002,2.386,2.367
21,2016-06-15,99.727,99.808,99.889,99.932,100.013,100.094,99.808,2.472,2.443,2.414
22,2016-06-16,99.777,99.901,100.024,99.988,100.112,100.235,99.901,2.454,2.41,2.366
23,2016-06-17,99.725,99.833,99.94,99.943,100.051,100.158,99.833,2.473,2.434,2.396
24,2016-06-20,99.687,99.801,99.915,99.911,100.025,100.139,99.801,2.487,2.446,2.4050000000000002
25,2016-06-21,99.638,99.758,99.877,99.869,99.989,100.108,99.758,2.505,2.461,2.419
26,2016-06-22,99.632,99.751,99.87,99.883,100.002,100.121,99.751,2.507,2.464,2.421
27,2016-06-23,99.657,99.753,99.849,99.914,100.01,100.106,99.753,2.498,2.464,2.429
28,2016-06-24,99.92,100.039,100.157,100.184,100.303,100.421,100.039,2.403,2.3609999999999998,2.318
29,2016-06-27,99.989,100.09,100.191,100.259,100.36,100.461,100.09,2.379,2.342,2.306
30,2016-06-28,99.833,99.933,100.032,100.11,100.21,100.309,99.933,2.435,2.399,2.363
31,2016-06-29,99.907,100.003,100.099,100.21,100.306,100.402,100.003,2.408,2.373,2.339
32,2016-06-30,99.985,100.08,100.174,100.295,100.39,100.484,100.08,2.38,2.346,2.312
33,2016-07-01,100.148,100.255,100.361,100.465,100.572,100.678,100.255,2.321,2.282,2.2439999999999998
34,2016-07-04,100.071,100.179,100.287,100.388,100.496,100.604,100.179,2.349,2.31,2.271
35,2016-07-05,100.182,100.291,100.4,100.505,100.614,100.723,100.291,2.308,2.269,2.23
36,2016-07-06,100.29,100.371,100.452,100.633,100.714,100.795,100.371,2.269,2.24,2.21
37,2016-07-07,100.172,100.261,100.349,100.522,100.611,100.699,100.261,2.312,2.279,2.248
