,date,PX_BID,PX_MID,PX_ASK,PX_DIRTY_BID,PX_DIRTY_MID,PX_DIRTY_ASK,PX_LAST,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK
0,2016-05-17,98.937,99.032,99.127,98.945,99.04,99.135,99.032,2.981,2.96,2.939
1,2016-05-18,98.829,98.883,98.937,98.86,98.914,98.968,98.883,3.004,2.993,2.981
2,2016-05-19,98.301,98.395,98.489,98.339,98.433,98.527,98.395,3.121,3.1,3.079
3,2016-05-20,98.381,98.475,98.569,98.427,98.521,98.615,98.475,3.103,3.082,3.062
4,2016-05-23,98.51,98.604,98.698,98.563,98.657,98.751,98.604,3.075,3.054,3.034
5,2016-05-24,98.441,98.545,98.648,98.502,98.606,98.709,98.545,3.09,3.067,3.045
6,2016-05-25,98.346,98.45,98.554,98.43,98.534,98.638,98.45,3.112,3.089,3.066
7,2016-05-26,98.376,98.482,98.588,98.468,98.574,98.68,98.482,3.105,3.082,3.058
8,2016-05-27,98.549,98.654,98.759,98.648,98.753,98.858,98.654,3.067,3.044,3.021
9,2016-05-30,98.415,98.502,98.589,98.514,98.601,98.688,98.502,3.097,3.078,3.058
10,2016-05-31,98.288,98.38,98.472,98.395,98.487,98.579,98.38,3.125,3.105,3.084
11,2016-06-01,98.488,98.585,98.682,98.618,98.715,98.812,98.585,3.081,3.06,3.038
12,2016-06-02,98.371,98.461,98.551,98.509,98.599,98.689,98.461,3.107,3.087,3.068
13,2016-06-03,98.485,98.573,98.661,98.63,98.718,98.806,98.573,3.082,3.063,3.043
14,2016-06-06,98.926,99.032,99.137,99.079,99.185,99.29,99.032,2.985,2.9619999999999997,2.939
15,2016-06-15,98.88,99.032,99.183,99.117,99.269,99.42,99.032,2.996,2.963,2.9290000000000003
16,2016-06-16,99.129,99.259,99.389,99.373,99.503,99.633,99.259,2.941,2.9130000000000003,2.884
17,2016-06-17,98.992,99.163,99.334,99.244,99.415,99.586,99.163,2.972,2.934,2.896
18,2016-06-20,98.896,99.037,99.177,99.156,99.297,99.437,99.037,2.993,2.9619999999999997,2.931
19,2016-06-21,98.832,98.976,99.12,99.099,99.243,99.387,98.976,3.008,2.976,2.944
20,2016-06-22,99.084,99.194,99.304,99.374,99.484,99.594,99.194,2.952,2.928,2.903
21,2016-06-23,98.973,99.155,99.338,99.271,99.453,99.636,99.155,2.977,2.936,2.896
22,2016-06-24,99.747,99.915,100.082,100.053,100.221,100.388,99.915,2.805,2.768,2.732
