,date,dirty_mid,dirty_bid,dirty_ask,clean_mid,clean_bid,clean_ask,last_traded
0,2018-07-02,97.233,97.152,97.313,96.882,96.801,96.962,96.882
1,2018-07-03,97.116,97.029,97.202,96.757,96.67,96.843,96.757
2,2018-07-05,97.153,97.065,97.24,96.771,96.683,96.858,96.771
3,2018-07-06,97.181,97.092,97.27,96.791,96.702,96.88,96.791
4,2018-07-09,97.141,97.054,97.228,96.744,96.657,96.831,96.744
5,2018-07-10,97.128,97.044,97.211,96.723,96.639,96.806,96.723
6,2018-07-11,97.135,97.051,97.22,96.723,96.638,96.807,96.723
7,2018-07-12,97.101,97.027,97.175,96.666,96.592,96.74,96.666
8,2018-07-13,97.152,97.072,97.231,96.709,96.629,96.788,96.709
9,2018-07-16,97.15,97.066,97.233,96.699,96.615,96.782,96.699
10,2018-07-17,97.145,97.061,97.228,96.687,96.603,96.77,96.687
11,2018-07-18,97.129,97.049,97.209,96.663,96.583,96.743,96.663
12,2018-07-19,97.126,97.046,97.205,96.637,96.557,96.716,96.637
13,2018-07-20,97.199,97.116,97.282,96.702,96.619,96.785,96.702
14,2018-07-23,97.231,97.147,97.315,96.727,96.643,96.811,96.727
15,2018-07-24,97.158,97.075,97.24,96.646,96.563,96.728,96.646
16,2018-07-25,97.144,97.062,97.225,96.625,96.543,96.706,96.625
17,2018-07-26,97.131,97.049,97.212,96.589,96.507,96.67,96.589
18,2018-07-27,97.064,96.968,97.16,96.522,96.426,96.618,96.522
19,2018-07-30,97.076,96.981,97.17,96.526,96.431,96.62,96.526
20,2018-07-31,97.117,97.023,97.211,96.559,96.465,96.653,96.559
21,2018-08-01,97.101,97.007,97.196,96.536,96.442,96.631,96.536
22,2018-08-02,97.139,97.048,97.23,96.551,96.46,96.642,96.551
23,2018-08-03,97.171,97.077,97.264,96.575,96.481,96.668,96.575
24,2018-08-06,97.213,97.116,97.309,96.61,96.513,96.706,96.61
25,2018-08-07,97.226,97.129,97.323,96.615,96.518,96.712,96.615
26,2018-08-08,97.201,97.102,97.3,96.582,96.483,96.681,96.582
27,2018-08-09,97.238,97.142,97.335,96.596,96.5,96.693,96.596
28,2018-08-10,97.33,97.233,97.426,96.681,96.584,96.777,96.681
29,2018-08-13,97.452,97.358,97.546,96.795,96.701,96.889,96.795
30,2018-08-14,97.359,97.265,97.453,96.694,96.6,96.788,96.694
31,2018-08-15,97.41,97.316,97.503,96.738,96.644,96.831,96.738
32,2018-08-16,97.432,97.338,97.525,96.737,96.643,96.83,96.737
33,2018-08-17,97.484,97.391,97.577,96.781,96.688,96.874,96.781
34,2018-08-20,97.484,97.391,97.577,96.774,96.681,96.867,96.774
35,2018-08-21,97.519,97.426,97.612,96.801,96.708,96.894,96.801
36,2018-08-22,97.53,97.436,97.623,96.804,96.71,96.897,96.804
37,2018-08-23,97.562,97.469,97.654,96.813,96.72,96.905,96.813
38,2018-08-24,97.515,97.423,97.606,96.759,96.667,96.85,96.759
39,2018-08-27,97.52,97.424,97.615,96.756,96.66,96.851,96.756
40,2018-08-28,97.49,97.394,97.585,96.718,96.622,96.813,96.718
41,2018-08-29,97.438,97.343,97.533,96.666,96.571,96.761,96.666
42,2018-08-30,97.471,97.376,97.565,96.669,96.574,96.763,96.669
43,2018-08-31,97.559,97.466,97.651,96.749,96.656,96.841,96.749
44,2018-09-04,97.597,97.5,97.693,96.78,96.683,96.876,96.78
45,2018-09-05,97.561,97.463,97.658,96.736,96.638,96.833,96.736
46,2018-09-06,97.588,97.491,97.685,96.74,96.643,96.837,96.74
47,2018-09-07,97.621,97.526,97.715,96.765,96.67,96.859,96.765
48,2018-09-10,97.481,97.383,97.578,96.618,96.52,96.715,96.618
49,2018-09-11,97.43,97.333,97.527,96.559,96.462,96.656,96.559
50,2018-09-12,97.408,97.314,97.501,96.53,96.436,96.623,96.53
51,2018-09-13,97.396,97.303,97.489,96.495,96.402,96.588,96.495
52,2018-09-14,97.368,97.272,97.465,96.459,96.363,96.556,96.459
53,2018-09-17,97.37,97.276,97.464,96.453,96.359,96.547,96.453
54,2018-09-18,97.404,97.31,97.497,96.48,96.386,96.573,96.48
55,2018-09-19,97.349,97.256,97.443,96.417,96.324,96.511,96.417
56,2018-09-20,97.369,97.277,97.46,96.414,96.322,96.505,96.414
57,2018-09-21,97.377,97.283,97.47,96.414,96.32,96.507,96.414
58,2018-09-24,97.393,97.3,97.487,96.423,96.33,96.517,96.423
59,2018-09-25,97.358,97.264,97.452,96.38,96.286,96.474,96.38
60,2018-09-26,97.417,97.322,97.512,96.432,96.337,96.527,96.432
61,2018-09-27,97.494,97.4,97.588,96.486,96.392,96.58,96.486
62,2018-09-28,97.504,97.408,97.599,96.488,96.392,96.583,96.488
63,2018-10-01,97.489,97.391,97.588,96.465,96.367,96.564,96.465
64,2018-10-02,97.553,97.457,97.648,96.522,96.426,96.617,96.522
65,2018-10-03,97.532,97.438,97.626,96.493,96.399,96.587,96.493
66,2018-10-04,97.431,97.335,97.527,96.362,96.266,96.458,96.362
67,2018-10-05,97.457,97.361,97.552,96.38,96.284,96.475,96.38
68,2018-10-09,97.474,97.382,97.566,96.389,96.297,96.481,96.389
69,2018-10-10,97.446,97.354,97.538,96.354,96.262,96.446,96.354
70,2018-10-11,97.582,97.49,97.673,96.467,96.375,96.558,96.467
71,2018-10-12,97.561,97.469,97.653,96.438,96.346,96.53,96.438
72,2018-10-15,97.626,97.535,97.717,96.495,96.404,96.586,96.495
73,2018-10-16,97.595,97.504,97.685,96.457,96.366,96.547,96.457
74,2018-10-17,97.596,97.506,97.686,96.45,96.36,96.54,96.45
75,2018-10-18,97.558,97.468,97.648,96.389,96.299,96.479,96.389
76,2018-10-19,97.601,97.511,97.691,96.425,96.335,96.515,96.425
77,2018-10-22,97.563,97.473,97.653,96.379,96.289,96.469,96.379
78,2018-10-23,97.632,97.541,97.722,96.44,96.349,96.53,96.44
79,2018-10-24,97.702,97.61,97.793,96.503,96.411,96.594,96.503
80,2018-10-25,97.765,97.672,97.858,96.543,96.45,96.636,96.543
81,2018-10-26,97.882,97.789,97.975,96.652,96.559,96.745,96.652
82,2018-10-29,97.829,97.735,97.922,96.599,96.505,96.692,96.599
83,2018-10-30,97.816,97.723,97.908,96.578,96.485,96.67,96.578
84,2018-10-31,97.763,97.667,97.86,96.518,96.422,96.615,96.518
85,2018-11-01,97.797,97.702,97.891,96.529,96.434,96.623,96.529
86,2018-11-02,97.805,97.707,97.903,96.529,96.431,96.627,96.529
87,2018-11-05,97.744,97.644,97.843,96.461,96.361,96.56,96.461
88,2018-11-06,97.756,97.659,97.852,96.465,96.368,96.561,96.465
89,2018-11-07,97.695,97.599,97.79,96.396,96.3,96.491,96.396
90,2018-11-08,97.71,97.613,97.807,96.381,96.284,96.478,96.381
91,2018-11-09,97.742,97.647,97.836,96.405,96.31,96.499,96.405
92,2018-11-13,97.854,97.759,97.948,96.51,96.415,96.604,96.51
93,2018-11-14,97.892,97.798,97.985,96.54,96.446,96.633,96.54
94,2018-11-15,96.66,96.566,96.753,96.66,96.566,96.753,96.66
95,2018-11-16,96.639,96.541,96.736,96.631,96.533,96.728,96.631
96,2018-11-19,96.747,96.653,96.84,96.732,96.638,96.825,96.732
97,2018-11-20,96.838,96.743,96.932,96.807,96.712,96.901,96.807
98,2018-11-21,96.796,96.701,96.89,96.743,96.648,96.837,96.743
99,2018-11-23,96.811,96.716,96.905,96.75,96.655,96.844,96.75
100,2018-11-26,96.778,96.665,96.892,96.709,96.596,96.823,96.709
101,2018-11-27,96.78,96.662,96.898,96.704,96.586,96.822,96.704
102,2018-11-28,96.771,96.653,96.889,96.687,96.569,96.805,96.687
103,2018-11-29,96.904,96.785,97.023,96.797,96.678,96.916,96.797
104,2018-11-30,96.907,96.785,97.029,96.792,96.67,96.914,96.792
105,2018-12-03,96.841,96.72,96.962,96.719,96.598,96.84,96.719
106,2018-12-04,96.898,96.78,97.015,96.768,96.65,96.885,96.768
107,2018-12-06,97.051,96.934,97.167,96.891,96.774,97.007,96.891
108,2018-12-07,97.067,96.951,97.183,96.899,96.783,97.015,96.899
109,2018-12-10,97.191,97.072,97.309,97.015,96.896,97.133,97.015
110,2018-12-11,97.109,96.994,97.223,96.926,96.811,97.04,96.926
111,2018-12-12,97.093,96.979,97.206,96.902,96.788,97.015,96.902
112,2018-12-13,97.121,97.007,97.234,96.907,96.793,97.02,96.907
113,2018-12-14,97.223,97.123,97.323,97.001,96.901,97.101,97.001
114,2018-12-17,97.229,97.127,97.331,97.0,96.898,97.102,97.0
115,2018-12-18,97.368,97.266,97.47,97.131,97.029,97.233,97.131
116,2018-12-19,97.406,97.304,97.508,97.162,97.06,97.264,97.162
117,2018-12-20,97.409,97.303,97.514,97.142,97.036,97.247,97.142
118,2018-12-21,97.425,97.332,97.518,97.142,97.049,97.235,97.142
119,2018-12-24,97.525,97.418,97.632,97.235,97.128,97.342,97.235
120,2018-12-26,97.624,97.517,97.73,97.326,97.219,97.432,97.326
121,2018-12-27,97.614,97.511,97.716,97.301,97.198,97.403,97.301
122,2018-12-28,97.686,97.592,97.78,97.358,97.264,97.452,97.358
123,2018-12-31,97.788,97.684,97.891,97.452,97.348,97.555,97.452
124,2019-01-02,97.881,97.78,97.981,97.537,97.436,97.637,97.537
125,2019-01-03,97.919,97.82,98.018,97.552,97.453,97.651,97.552
126,2019-01-04,98.07,97.97,98.17,97.696,97.596,97.796,97.696
127,2019-01-07,97.949,97.85,98.047,97.567,97.468,97.665,97.567
128,2019-01-08,97.813,97.716,97.91,97.423,97.326,97.52,97.423
129,2019-01-09,97.74,97.64,97.839,97.343,97.243,97.442,97.343
130,2019-01-10,97.888,97.789,97.987,97.468,97.369,97.567,97.468
131,2019-01-11,97.881,97.782,97.98,97.453,97.354,97.552,97.453
