,px_adjustment_factor,vol_adjustment_factor
2020-01-02,0.9633661740558292,1.0
2020-01-03,0.9633609271523179,1.0
2020-01-06,0.9633666666666667,1.0
2020-01-07,0.9633722871452421,1.0
2020-01-08,0.9633726812816189,1.0
2020-01-09,0.9633583959899749,1.0
2020-01-10,0.9633583959899749,1.0
2020-01-13,0.9633694745621351,1.0
2020-01-14,0.9633640167364017,1.0
2020-01-15,0.963361204013378,1.0
2020-01-16,0.9633722871452421,1.0
2020-01-17,0.9633582709891937,1.0
2020-01-20,0.9633694745621351,1.0
2020-01-21,0.9633643279797126,1.0
2020-01-22,0.9633726812816189,1.0
2020-01-23,0.9633587786259541,1.0
2020-01-24,0.9633702127659575,1.0
2020-01-29,0.9633709817549957,1.0
2020-01-30,0.9633686067019399,1.0
2020-01-31,0.9633597185576077,1.0
2020-02-03,0.9633628318584071,1.0
2020-02-04,0.963374558303887,1.0
2020-02-05,0.9633626760563381,1.0
2020-02-06,0.9633678756476685,1.0
2020-02-07,0.9633737024221454,1.0
2020-02-10,0.9633734939759037,1.0
2020-02-11,0.9633589087809037,1.0
2020-02-12,0.9633698399326032,1.0
2020-02-13,0.9633641715727501,1.0
2020-02-14,0.9633696563285835,1.0
2020-02-17,0.9633670033670033,1.0
2020-02-18,0.9633593073593074,1.0
2020-02-19,0.9633684210526315,1.0
2020-02-20,0.9633626760563381,1.0
2020-02-21,0.9633715798764343,1.0
2020-02-24,0.9633628318584071,1.0
2020-02-25,0.9633719892952721,1.0
2020-02-26,0.963363309352518,1.0
2020-02-27,0.9633639705882353,1.0
2020-02-28,0.963367826904986,1.0
2020-03-02,0.9633712121212121,1.0
2020-03-03,0.9633682207421503,1.0
2020-03-04,0.9633690360272639,1.0
2020-03-05,0.9633590733590734,1.0
2020-03-06,0.9633563672260612,1.0
2020-03-09,0.9633641025641025,1.0
2020-03-10,0.9633742331288344,1.0
2020-03-11,0.9633710174717369,1.0
2020-03-12,0.9633654876741694,1.0
2020-03-13,0.9633698030634573,1.0
2020-03-16,0.9633561643835618,1.0
2020-03-17,0.9633592880978864,1.0
2020-03-18,0.9633670033670034,1.0
2020-03-19,0.9633632286995516,1.0
2020-03-20,0.9633617021276596,1.0
2020-03-23,0.9633710407239819,1.0
2020-03-24,0.963370288248337,1.0
2020-03-25,0.9633693304535638,1.0
2020-03-26,0.9633698030634573,1.0
2020-03-27,0.9633700440528635,1.0
2020-03-30,0.9633707865168539,1.0
2020-03-31,0.9633748584371461,1.0
2020-04-01,0.963354192740926,1.0
2020-04-02,0.9633676092544988,1.0
2020-04-03,0.963377308707124,1.0
2020-04-06,0.9633632862644416,1.0
2020-04-07,0.963362391033624,1.0
2020-04-08,0.9633583959899751,1.0
2020-04-09,0.9633658536585366,1.0
2020-04-14,0.9633775633293125,1.0
2020-04-15,0.9633743842364532,1.0
2020-04-16,0.963375314861461,1.0
2020-04-17,0.9633670886075949,1.0
2020-04-20,0.9633707865168539,1.0
2020-04-21,0.9633716475095786,1.0
2020-04-22,0.9633719433719433,1.0
2020-04-23,0.9633591731266148,1.0
2020-04-24,0.9633548387096774,1.0
2020-04-27,0.9633670886075949,1.0
2020-04-28,0.963354192740926,1.0
2020-04-29,0.9633540372670807,1.0
2020-05-04,0.9633678756476683,1.0
2020-05-05,0.9633589743589743,1.0
2020-05-06,0.9633589743589743,1.0
2020-05-07,0.9633719433719433,1.0
2020-05-08,0.9633628318584071,1.0
2020-05-11,0.9633707865168539,1.0
2020-05-12,0.9633587786259542,1.0
2020-05-13,0.9633676092544988,1.0
2020-05-14,0.9633769633507853,1.0
2020-05-15,0.9633595800524934,1.0
2020-05-18,0.9633769633507853,1.0
2020-05-19,0.9633713561470215,1.0
2020-05-20,0.9633550065019504,1.0
2020-05-21,0.9633766233766234,1.0
2020-05-22,0.9633751743375174,1.0
2020-05-25,0.9633613445378151,1.0
2020-05-26,0.9633604336043361,1.0
2020-05-27,0.9633734939759035,1.0
2020-05-28,0.9633783783783785,1.0
2020-05-29,0.9633751743375174,1.0
2020-06-01,0.9633606557377049,1.0
2020-06-02,0.9633602150537635,1.0
2020-06-03,0.9633551769331586,1.0
2020-06-04,0.9633719433719433,1.0
2020-06-05,0.963358024691358,1.0
2020-06-08,0.9633658536585366,1.0
2020-06-09,0.9633705080545228,1.0
2020-06-10,0.9633710691823899,1.0
2020-06-11,0.9633553500660502,1.0
2020-06-12,0.9633780160857909,1.0
2020-06-15,0.9633698630136985,1.0
2020-06-16,0.9633689839572194,1.0
2020-06-17,0.963368700265252,1.0
2020-06-18,0.9633692722371967,1.0
2020-06-19,0.9633734939759035,1.0
2020-06-22,0.9633787465940055,1.0
2020-06-23,0.9633644859813084,1.0
2020-06-24,0.9633783783783785,1.0
2020-06-26,0.9633787465940055,1.0
2020-06-29,0.963356449375867,1.0
2020-06-30,0.9633701657458563,1.0
2020-07-02,0.9633780160857909,1.0
2020-07-03,0.9633644859813084,1.0
2020-07-06,0.9633587786259542,1.0
2020-07-07,0.9633635187580855,1.0
2020-07-08,0.9633783783783785,1.0
2020-07-09,0.9633692722371967,1.0
2020-07-10,0.9633791208791209,1.0
2020-07-13,0.9633557046979865,1.0
2020-07-14,0.9633649932157394,1.0
2020-07-15,0.9633602150537635,1.0
2020-07-16,0.9633602150537635,1.0
2020-07-17,0.9633558863328822,1.0
2020-07-20,0.9633606557377049,1.0
2020-07-21,0.9633599999999999,1.0
2020-07-22,0.9633606557377049,1.0
2020-07-23,0.9633652530779754,1.0
2020-07-24,0.963361111111111,1.0
2020-07-27,0.9633663366336633,1.0
2020-07-28,0.9633620689655172,1.0
2020-07-29,0.9633566433566433,1.0
2020-07-30,0.9633660589060309,1.0
2020-07-31,0.9633762517882689,1.0
2020-08-03,0.9633532934131738,1.0
2020-08-04,0.9633580980683507,1.0
2020-08-05,0.9633578792341679,1.0
2020-08-06,0.9633731343283584,1.0
2020-08-07,0.9633536585365854,1.0
2020-08-10,0.9633534743202417,1.0
2020-08-11,0.9633724340175952,1.0
2020-08-12,0.9633566433566433,1.0
2020-08-13,0.963361581920904,1.0
2020-08-14,0.963371757925072,1.0
2020-08-17,0.9633526011560694,1.0
2020-08-18,0.9633576642335766,1.0
2020-08-19,0.963367496339678,1.0
2020-08-20,0.9633580980683507,1.0
2020-08-21,0.9633580980683507,1.0
2020-08-24,0.9633628318584072,1.0
2020-08-25,0.963377001455604,1.0
2020-08-26,0.9633578792341679,1.0
2020-08-27,0.9633633633633634,1.0
2020-08-28,0.9633529411764705,1.0
2020-08-31,0.9633727810650887,1.0
2020-09-01,0.9633731343283584,1.0
2020-09-02,0.9633785822021117,1.0
2020-09-03,0.9633781763826607,1.0
2020-09-04,0.9633534743202417,1.0
2020-09-07,0.9633789954337899,1.0
2020-09-08,0.9633636363636364,1.0
2020-09-09,0.9633639143730885,1.0
2020-09-10,0.9633641975308642,1.0
2020-09-11,0.9633798449612403,1.0
2020-09-14,0.9633540372670807,1.0
2020-09-15,0.9633697347893917,1.0
2020-09-16,0.9633700787401575,1.0
2020-09-17,0.9633656957928803,1.0
2020-09-18,0.9633602584814216,1.0
2020-09-21,0.9633788395904437,1.0
2020-09-22,0.9633797909407666,1.0
2020-09-23,0.9633739130434782,1.0
2020-09-24,0.9633566433566433,1.0
2020-09-25,0.9633687943262412,1.0
2020-09-28,0.9633766233766233,1.0
2020-09-29,0.9633666666666667,1.0
2020-09-30,0.9633557046979865,1.0
2020-10-05,0.9633548387096774,1.0
2020-10-06,0.9633816425120773,1.0
2020-10-07,0.9633597464342313,1.0
2020-10-08,0.963375796178344,1.0
2020-10-09,0.9633704292527822,1.0
2020-10-12,0.9633704292527822,1.0
2020-10-14,0.9633770491803278,1.0
2020-10-15,0.9633779264214047,1.0
2020-10-16,0.9633499170812605,1.0
2020-10-19,0.9633656957928803,1.0
2020-10-20,0.9633766233766233,1.0
2020-10-21,0.9633816425120773,1.0
2020-10-22,0.96336,1.0
2020-10-23,0.9633798449612403,1.0
2020-10-27,0.9633727810650887,1.0
2020-10-28,0.9633690658499235,1.0
2020-10-29,0.9633746130030961,1.0
2020-10-30,0.9633644859813083,1.0
2020-11-02,0.9633536585365854,1.0
2020-11-03,0.9633727810650887,1.0
2020-11-04,0.9633727810650887,1.0
2020-11-05,0.963367496339678,1.0
2020-11-06,0.963371757925072,1.0
2020-11-09,0.9633572453371593,1.0
2020-11-10,0.963368700265252,1.0
2020-11-11,0.9633630573248407,1.0
2020-11-12,0.9633637548891786,1.0
2020-11-13,0.9633557046979865,1.0
2020-11-16,0.9633762886597939,1.0
2020-11-17,0.9633630573248407,1.0
2020-11-18,0.9633673469387755,1.0
2020-11-19,0.9633759590792839,1.0
2020-11-20,0.9633676092544988,1.0
2020-11-23,0.9633545108005083,1.0
2020-11-24,0.9633710691823899,1.0
2020-11-25,0.9633766233766233,1.0
2020-11-26,0.9633571428571428,1.0
2020-11-27,0.9633571428571428,1.0
2020-11-30,0.9633734939759035,1.0
2020-12-01,0.9633658536585366,1.0
2020-12-02,0.9633647058823529,1.0
2020-12-03,0.9633640552995393,1.0
2020-12-04,0.96336,1.0
2020-12-07,0.9633566433566435,1.0
2020-12-08,0.9633615477629988,1.0
2020-12-09,0.963377245508982,1.0
2020-12-10,0.963365155131265,1.0
2020-12-11,0.9633613445378152,1.0
2020-12-14,0.9633615477629988,1.0
2020-12-15,0.9633658536585366,1.0
2020-12-16,0.9633656174334141,1.0
2020-12-17,0.9633573141486809,1.0
2020-12-18,0.9633778857837182,1.0
2020-12-21,0.9633670886075949,1.0
2020-12-22,0.9633713561470215,1.0
2020-12-23,0.9633628318584071,1.0
2020-12-24,0.9633665835411471,1.0
