,AUA4 Comdty,AUA4 Comdty,AUA4 Comdty,AUA4 Comdty,AUA4 Comdty,AUA4 Comdty,AUA4 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,440.02,440.34,436.66,439.02,763.0,AUAM1,5576.0
2020-08-04,437.5,440.52,437.5,439.32,803.0,AUAM1,5651.0
2020-08-05,439.22,452.22,439.22,447.36,1382.0,AUAM1,5959.0
2020-08-06,451.14,455.46,449.78,453.04,2141.0,AUAM1,6601.0
2020-08-07,454.8,461.14,454.8,458.1,1836.0,AUAM1,6879.0
2020-08-10,458.26,458.54,450.24,454.36,1259.0,AUAM1,7122.0
2020-08-11,454.2,456.7,442.14,449.72,2224.0,AUAM1,7383.0
2020-08-12,436.58,436.58,422.82,427.26,2419.0,AUAM1,7993.0
2020-08-13,425.72,427.08,422.6,425.22,2916.0,AUAM1,7904.0
2020-08-14,424.54,436.58,424.22,429.84,3115.0,AUAM1,8689.0
2020-08-17,428.0,433.0,426.58,430.04,1607.0,AUAM1,9020.0
2020-08-18,433.5,442.08,433.38,437.92,2114.0,AUAM1,9263.0
2020-08-19,443.94,444.26,433.38,438.9,1628.0,AUAM1,9428.0
2020-08-20,437.84,438.54,423.7,430.06,1808.0,AUAM1,9300.0
2020-08-21,424.66,428.3,422.5,424.78,1342.0,AUAM1,9409.0
2020-08-24,424.6,425.0,419.76,422.42,2046.0,AUAM1,9658.0
2020-08-25,425.58,427.7,422.58,424.48,826.0,AUAM1,9599.0
2020-08-26,422.88,424.5,419.58,422.84,1286.0,AUAM1,9531.0
2020-08-27,421.52,428.62,421.28,426.28,1415.0,AUAM1,9656.0
2020-08-28,427.18,433.12,421.84,427.34,1535.0,AUAM1,9678.0
2020-08-31,429.8,431.84,428.04,429.92,987.0,AUAM1,9698.0
2020-09-01,429.94,434.76,429.74,432.42,677.0,AUAM1,9762.0
2020-09-02,434.66,435.08,429.28,431.08,1765.0,AUAM1,9483.0
2020-09-03,430.12,430.24,421.84,425.94,1109.0,AUAM1,9547.0
2020-09-04,423.58,426.2,421.26,424.28,1409.0,AUAM1,9585.0
2020-09-07,422.7,425.78,420.94,423.02,1249.0,AUAM1,9566.0
2020-09-08,423.18,424.92,421.98,423.36,815.0,AUAM1,9602.0
2020-09-09,421.58,426.68,418.44,422.82,1564.0,AUAM1,9711.0
2020-09-10,424.8,427.8,424.78,426.78,1171.0,AUAM1,9780.0
2020-09-11,428.26,429.88,423.46,427.18,1000.0,AUAM1,9826.0
2020-09-14,425.44,427.34,424.58,426.12,623.0,AUAM1,9838.0
2020-09-15,426.88,428.02,426.06,427.26,786.0,AUAM1,9785.0
2020-09-16,427.1,427.66,423.9,425.22,552.0,AUAM1,9782.0
2020-09-17,426.18,427.28,421.6,424.14,867.0,AUAM1,9787.0
2020-09-18,422.68,424.46,420.26,422.98,1707.0,AUAM1,10002.0
2020-09-21,424.2,426.78,422.84,424.8,955.0,AUAM1,9924.0
2020-09-22,421.86,421.86,401.3,414.7,3696.0,AUAM1,10395.0
2020-09-23,416.0,417.06,406.96,411.84,2705.0,AUAM1,9960.0
2020-09-24,409.04,411.18,402.58,405.8,2154.0,AUAM1,9886.0
2020-09-25,404.06,408.24,401.82,404.74,4162.0,AUAM1,9085.0
2020-09-28,405.66,408.48,404.98,406.8,2660.0,AUAM1,8577.0
2020-09-29,408.66,413.0,408.44,411.08,2288.0,AUAM1,8768.0
2020-09-30,413.38,414.58,412.18,413.38,1409.0,AUAM1,8895.0
2020-10-09,413.58,414.06,411.16,412.62,1798.0,AUAM1,9346.0
2020-10-12,414.58,418.78,414.14,417.46,2479.0,AUAM1,10243.0
2020-10-13,418.34,418.44,415.32,416.64,1177.0,AUAM1,10516.0
2020-10-14,414.72,414.72,407.98,409.68,6902.0,AUAM1,13367.0
2020-10-15,413.18,413.2,408.8,410.48,3111.0,AUAM1,13583.0
2020-10-16,409.94,413.3,409.58,411.78,1440.0,AUAM1,13861.0
2020-10-19,410.92,413.08,409.44,411.12,2040.0,AUAM1,14473.0
2020-10-20,414.18,414.18,409.3,410.72,2597.0,AUAM1,15206.0
2020-10-21,406.16,413.58,406.16,412.12,2949.0,AUAM1,15685.0
2020-10-22,413.94,414.62,410.94,412.34,2542.0,AUAM1,16106.0
2020-10-23,410.88,411.58,408.7,410.44,3395.0,AUAM1,17046.0
2020-10-26,411.18,411.58,407.86,409.08,3624.0,AUAM1,18177.0
2020-10-27,410.78,413.02,410.56,412.44,6325.0,AUAM1,20945.0
2020-10-28,412.76,414.08,412.0,413.18,4038.0,AUAM1,22493.0
2020-10-29,408.5,408.8,406.22,407.46,8320.0,AUAM1,25003.0
2020-10-30,404.58,407.42,387.08,404.98,8172.0,AUAM1,27581.0
2020-11-02,407.38,409.0,405.68,407.6,5289.0,AUAM1,28837.0
2020-11-03,409.4,410.82,408.56,409.8,3924.0,AUAM1,29374.0
2020-11-04,411.08,413.58,410.76,412.1,4655.0,AUAM1,29505.0
2020-11-05,412.44,412.44,407.36,410.96,5782.0,AUAM1,31081.0
2020-11-06,413.46,418.54,413.42,415.48,13491.0,AUAM1,35166.0
2020-11-09,417.1,418.72,414.78,417.12,14410.0,AUAM1,38561.0
2020-11-10,408.56,408.56,399.76,403.18,28158.0,AUAM1,42923.0
2020-11-11,403.08,404.16,402.1,403.08,9037.0,AUAM1,44330.0
2020-11-12,402.16,403.42,399.86,401.86,11771.0,AUAM1,45705.0
2020-11-13,402.5,404.56,402.18,403.78,11680.0,AUAM1,46449.0
2020-11-16,405.58,407.14,403.82,405.44,11003.0,AUAM1,47645.0
2020-11-17,402.04,405.82,401.28,403.38,14825.0,AUAM1,49254.0
2020-11-18,403.5,404.8,400.08,402.04,22903.0,AUAM1,55173.0
2020-11-19,399.58,402.38,397.64,399.84,26959.0,AUAM1,60137.0
2020-11-20,399.0,399.58,397.12,398.78,28848.0,AUAM1,65815.0
2020-11-23,397.88,400.94,397.86,399.42,25760.0,AUAM1,70853.0
2020-11-24,399.12,399.14,388.62,392.68,51467.0,AUAM1,83122.0
2020-11-25,387.56,387.56,384.64,386.1,41600.0,AUAM1,92003.0
2020-11-26,,,,,,AUAU1,
2020-11-27,,,,,,AUAU1,
2020-11-30,,,,,,AUAU1,
2020-12-01,,,,,,AUAU1,
2020-12-02,,,,,,AUAU1,
2020-12-03,,,,,,AUAU1,
2020-12-04,,,,,,AUAU1,
2020-12-07,,,,,,AUAU1,
2020-12-08,,,,,,AUAU1,
2020-12-09,,,,,,AUAU1,
2020-12-10,,,,,,AUAU1,
2020-12-11,,,,,,AUAU1,
2020-12-14,,,,,,AUAU1,
2020-12-15,,,,,,AUAU1,
2020-12-16,,,,,,AUAU1,
2020-12-17,,,,,,AUAU1,
2020-12-18,,,,,,AUAU1,
2020-12-21,,,,,,AUAU1,
2020-12-22,,,,,,AUAU1,
2020-12-23,,,,,,AUAU1,
2020-12-24,,,,,,AUAU1,
2020-12-25,,,,,,AUAU1,
2020-12-28,,,,,,AUAU1,
2020-12-29,,,,,,AUAU1,
2020-12-30,,,,,,AUAU1,
2020-12-31,,,,,,AUAU1,
2021-01-04,,,,,,AUAU1,
2021-01-05,,,,,,AUAU1,
2021-01-06,,,,,,AUAU1,
2021-01-07,,,,,,AUAU1,
2021-01-08,,,,,,AUAU1,
2021-01-11,,,,,,AUAU1,
2021-01-12,,,,,,AUAU1,
2021-01-13,,,,,,AUAU1,
2021-01-14,394.54,395.8,391.08,392.82,55.0,AUAZ1,306.0
2021-01-15,391.7,396.02,391.12,393.68,88.0,AUAZ1,303.0
2021-01-18,392.82,393.82,388.1,390.94,77.0,AUAZ1,331.0
2021-01-19,392.34,393.82,392.02,392.72,89.0,AUAZ1,329.0
2021-01-20,391.74,394.48,390.66,392.28,114.0,AUAZ1,370.0
2021-01-21,392.06,398.24,390.36,395.7,105.0,AUAZ1,390.0
2021-01-22,396.8,396.8,395.44,395.72,67.0,AUAZ1,414.0
2021-01-25,392.5,396.36,392.26,394.28,50.0,AUAZ1,418.0
2021-01-26,396.7,397.66,394.7,396.12,107.0,AUAZ1,470.0
2021-01-27,394.1,394.62,391.84,393.14,97.0,AUAZ1,494.0
2021-01-28,391.58,394.2,391.44,392.18,49.0,AUAZ1,507.0
2021-01-29,391.8,395.84,390.46,393.44,102.0,AUAZ1,524.0
2021-02-01,396.22,399.24,392.6,396.24,348.0,AUAZ1,590.0
2021-02-02,398.26,399.4,394.3,398.22,218.0,AUAZ1,718.0
2021-02-03,393.58,393.58,389.02,390.46,122.0,AUAZ1,755.0
2021-02-04,390.02,390.76,385.58,388.02,130.0,AUAZ1,771.0
2021-02-05,386.58,386.78,380.8,382.64,386.0,AUAZ1,969.0
2021-02-08,382.66,386.68,382.58,384.96,117.0,AUAZ1,1015.0
2021-02-09,386.64,390.9,386.64,389.64,210.0,AUAZ1,1094.0
2021-02-10,390.72,391.58,388.72,390.46,150.0,AUAZ1,1121.0
2021-02-17,,,,,,,1263.0
2021-02-18,385.52,385.52,378.48,379.34,308.0,AUAZ1,1182.0
2021-02-19,380.38,382.08,376.58,378.86,405.0,AUAZ1,1260.0
2021-02-22,378.54,383.4,378.16,380.94,358.0,AUAZ1,1286.0
2021-02-23,383.58,387.46,383.52,385.78,321.0,AUAZ1,1382.0
2021-02-24,386.02,386.5,383.02,385.1,387.0,AUAZ1,1402.0
2021-02-25,384.76,384.76,379.74,382.08,630.0,AUAZ1,1505.0
2021-02-26,380.34,380.98,374.44,377.48,663.0,AUAZ1,1570.0
2021-03-01,374.62,376.72,366.06,371.5,581.0,AUAZ1,1619.0
2021-03-02,370.88,371.96,363.58,367.3,736.0,AUAZ1,1770.0
2021-03-03,368.74,370.94,367.9,369.5,406.0,AUAZ1,1822.0
2021-03-04,367.24,367.62,363.28,365.64,858.0,AUAZ1,2070.0
2021-03-05,366.58,367.74,360.64,362.7,707.0,AUAZ1,2230.0
2021-03-08,363.56,367.68,361.78,366.14,938.0,AUAZ1,2658.0
2021-03-09,363.72,365.0,361.14,363.24,1610.0,AUAZ1,3416.0
2021-03-10,366.5,370.26,366.5,368.1,833.0,AUAZ1,3857.0
2021-03-11,368.06,371.88,367.88,370.7,1166.0,AUAZ1,4415.0
2021-03-12,371.08,371.08,365.62,367.5,1613.0,AUAZ1,5203.0
2021-03-15,365.16,371.26,363.88,368.24,375.0,AUAZ1,5248.0
2021-03-16,370.38,371.38,368.32,370.56,1274.0,AUAZ1,5685.0
2021-03-17,370.62,372.4,369.88,370.86,1748.0,AUAZ1,6565.0
2021-03-18,368.6,374.46,368.42,373.06,2363.0,AUAZ1,7917.0
2021-03-19,369.9,373.16,367.56,370.56,2004.0,AUAZ1,8884.0
2021-03-22,371.7,372.72,369.58,371.08,1793.0,AUAZ1,9485.0
2021-03-23,370.14,372.02,369.42,371.06,1321.0,AUAZ1,10158.0
