,CL1 Comdty,CL1 Comdty,CL1 Comdty,CL1 Comdty,CL1 Comdty,CL1 Comdty,CL1 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,40.85,41.7,40.04,41.47,338326.0,CLU20,393192.0
2020-08-04,41.24,42.54,40.6,42.16,451575.0,CLU20,393668.0
2020-08-05,42.02,43.98,41.93,42.65,491268.0,CLU20,393357.0
2020-08-06,42.65,43.11,42.07,42.41,359610.0,CLU20,380136.0
2020-08-07,42.43,42.68,41.52,41.68,398997.0,CLU20,339035.0
2020-08-10,41.96,42.79,41.63,42.4,367796.0,CLU20,298735.0
2020-08-11,42.44,43.4,41.94,42.07,432843.0,CLU20,256764.0
2020-08-12,42.08,43.36,41.99,43.13,397831.0,CLU20,195634.0
2020-08-13,43.03,43.3,42.55,42.7,329507.0,CLU20,154923.0
2020-08-14,42.79,43.03,42.08,42.47,310866.0,CLU20,120294.0
2020-08-17,42.7,43.43,42.26,43.35,208429.0,CLU20,75639.0
2020-08-18,43.25,43.45,42.57,43.35,111628.0,CLU20,57929.0
2020-08-19,43.06,43.49,42.82,43.39,81299.0,CLU20,20559.0
2020-08-20,43.2,43.25,41.96,43.04,27428.0,CLU20,1671.0
2020-08-21,42.97,43.18,41.68,42.56,345368.0,CLV20,376131.0
2020-08-24,42.7,43.11,42.45,42.84,294731.0,CLV20,370481.0
2020-08-25,42.58,43.79,42.53,43.57,330800.0,CLV20,378145.0
2020-08-26,43.61,44.0,43.22,43.61,262243.0,CLV20,379823.0
2020-08-27,43.67,43.72,42.58,43.26,320968.0,CLV20,372309.0
2020-08-28,43.2,43.64,42.91,43.19,272800.0,CLV20,362305.0
2020-08-31,43.13,43.79,42.78,42.83,236877.0,CLV20,354093.0
2020-09-01,43.05,43.65,42.94,42.98,285146.0,CLV20,337933.0
2020-09-02,43.24,43.43,41.45,41.73,421771.0,CLV20,333973.0
2020-09-03,41.85,42.01,40.44,41.59,417634.0,CLV20,326799.0
2020-09-04,41.47,42.09,39.57,39.99,444184.0,CLV20,309287.0
2020-09-08,39.7,39.81,36.35,36.98,720975.0,CLV20,269778.0
2020-09-09,37.01,38.67,36.38,38.27,455356.0,CLV20,247194.0
2020-09-10,38.02,38.4,37.15,37.52,367555.0,CLV20,226703.0
2020-09-11,37.23,38.04,36.89,37.55,363787.0,CLV20,204256.0
2020-09-14,37.54,37.9,37.04,37.48,347563.0,CLV20,174182.0
2020-09-15,37.5,38.79,37.28,38.5,348861.0,CLV20,135057.0
2020-09-16,38.57,40.56,38.57,40.38,367612.0,CLV20,99916.0
2020-09-17,40.41,41.44,39.64,41.19,280669.0,CLV20,65762.0
2020-09-18,41.19,41.71,40.52,41.33,85906.0,CLV20,53422.0
2020-09-21,41.2,41.49,38.88,39.53,66195.0,CLV20,18578.0
2020-09-22,39.85,40.24,39.22,39.82,23217.0,CLV20,3407.0
2020-09-23,39.78,40.77,39.28,39.95,318754.0,CLX20,363030.0
2020-09-24,39.62,40.39,39.14,40.33,269992.0,CLX20,360410.0
2020-09-25,40.17,40.66,39.73,40.27,229025.0,CLX20,355229.0
2020-09-28,40.09,40.82,39.8,40.62,226425.0,CLX20,355663.0
2020-09-29,40.6,40.72,38.43,39.31,379599.0,CLX20,355971.0
2020-09-30,39.18,40.39,38.7,40.24,340294.0,CLX20,350342.0
2020-10-01,39.92,40.49,37.63,38.74,443442.0,CLX20,345967.0
2020-10-02,38.62,38.67,36.65,37.07,391428.0,CLX20,335875.0
2020-10-05,37.02,39.74,37.02,39.24,378579.0,CLX20,324206.0
2020-10-06,39.37,40.88,39.12,40.69,400531.0,CLX20,306975.0
2020-10-07,39.85,40.37,39.3,39.97,433065.0,CLX20,268430.0
2020-10-08,40.01,41.35,39.78,41.21,409787.0,CLX20,233004.0
2020-10-09,41.33,41.49,40.4,40.62,331703.0,CLX20,198765.0
2020-10-12,40.42,40.47,39.06,39.45,322035.0,CLX20,173494.0
2020-10-13,39.55,40.55,39.37,40.22,375470.0,CLX20,132930.0
2020-10-14,40.21,41.18,39.84,41.06,328295.0,CLX20,101748.0
2020-10-15,41.15,41.31,39.24,40.98,248251.0,CLX20,73824.0
2020-10-16,40.9,41.07,40.1,40.9,96488.0,CLX20,55666.0
2020-10-19,40.71,41.24,40.56,40.85,75335.0,CLX20,15166.0
2020-10-20,40.67,41.72,40.27,41.48,24518.0,CLX20,400.0
2020-10-21,41.0,41.37,39.56,39.81,366899.0,CLZ20,420753.0
2020-10-22,39.82,40.8,39.49,40.42,307494.0,CLZ20,410635.0
2020-10-23,40.39,40.7,39.35,39.63,268931.0,CLZ20,406342.0
2020-10-26,39.47,39.52,38.06,38.34,360184.0,CLZ20,407185.0
2020-10-27,38.37,39.61,38.29,39.35,339535.0,CLZ20,395374.0
2020-10-28,38.75,38.79,36.75,37.17,489954.0,CLZ20,387243.0
2020-10-29,37.17,37.54,34.7,35.95,568816.0,CLZ20,380526.0
2020-10-30,35.85,36.38,34.99,35.57,388971.0,CLZ20,378990.0
