,XUC1 Curncy,XUC1 Curncy,XUC1 Curncy,XUC1 Curncy,XUC1 Curncy,XUC1 Curncy,XUC1 Curncy
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,7.1896,7.2054,7.1876,7.1996,21227.0,XUCU20,41166.0
2020-08-04,7.2012,7.2025,7.1918,7.1979,13465.0,XUCU20,41022.0
2020-08-05,7.1981,7.2019,7.1505,7.1535,25293.0,XUCU20,42771.0
2020-08-06,7.1522,7.1625,7.1437,7.1561,29008.0,XUCU20,42306.0
2020-08-07,7.1571,7.1869,7.1551,7.1703,26136.0,XUCU20,41476.0
2020-08-10,7.1691,7.1883,7.1657,7.1814,25569.0,XUCU20,41754.0
2020-08-11,7.1813,7.1842,7.1522,7.1536,27584.0,XUCU20,40789.0
2020-08-12,7.1515,7.166,7.1493,7.1533,31301.0,XUCU20,43605.0
2020-08-13,7.1546,7.1574,7.1371,7.1493,20701.0,XUCU20,42479.0
2020-08-14,7.1492,7.162,7.1468,7.1597,21500.0,XUCU20,41633.0
2020-08-17,7.1572,7.1575,7.1374,7.1415,20379.0,XUCU20,41588.0
2020-08-18,7.1461,7.1469,7.1221,7.1249,17192.0,XUCU20,41194.0
2020-08-19,7.1237,7.1266,7.1029,7.1096,25748.0,XUCU20,41639.0
2020-08-20,7.1064,7.1299,7.1059,7.1204,25474.0,XUCU20,41950.0
2020-08-21,7.1209,7.1263,7.096,7.1113,21125.0,XUCU20,43735.0
2020-08-24,7.1139,7.1289,7.1008,7.1072,20460.0,XUCU20,45336.0
2020-08-25,7.1096,7.1176,7.1027,7.1096,17342.0,XUCU20,43067.0
2020-08-26,7.1116,7.1152,7.0811,7.0853,21308.0,XUCU20,43469.0
2020-08-27,7.0859,7.095,7.07,7.0815,22687.0,XUCU20,42783.0
2020-08-28,7.0814,7.0943,7.0582,7.0611,33270.0,XUCU20,39539.0
2020-08-31,7.0629,7.0711,7.0459,7.0511,9817.0,XUCZ0,38412.0
2020-09-01,7.0507,7.0547,7.0159,7.0261,15805.0,XUCZ0,39975.0
2020-09-02,7.0244,7.0403,7.0202,7.0263,10951.0,XUCZ0,39853.0
2020-09-03,7.0225,7.045,7.0218,7.0359,10987.0,XUCZ0,40752.0
2020-09-04,7.0343,7.0477,7.0332,7.038,12664.0,XUCZ0,45329.0
2020-09-07,7.0388,7.0466,7.0253,7.0291,13644.0,XUCZ0,49945.0
2020-09-08,7.0315,7.0361,7.0236,7.0344,9919.0,XUCZ0,53367.0
2020-09-09,7.0383,7.0556,7.0371,7.0431,15244.0,XUCZ0,55530.0
2020-09-10,7.0439,7.0449,7.0252,7.0352,8798.0,XUCZ0,56507.0
2020-09-11,7.0333,7.0391,7.0188,7.0278,14608.0,XUCZ0,60671.0
2020-09-14,7.0288,7.0334,7.0152,7.0189,11028.0,XUCZ0,59001.0
2020-09-15,7.0155,7.0163,6.9625,6.9658999999999995,15663.0,XUCZ0,61050.0
2020-09-16,6.9676,6.9779,6.9455,6.9472000000000005,12179.0,XUCZ0,64113.0
2020-09-17,6.9481,6.9742,6.9338999999999995,6.9599,17408.0,XUCZ0,63889.0
2020-09-18,6.9642,6.9655000000000005,6.9358,6.9452,15449.0,XUCZ0,65936.0
2020-09-21,6.9444,6.9732,6.944,6.9715,14438.0,XUCZ0,67376.0
2020-09-22,6.9744,6.9997,6.9726,6.978,27130.0,XUCZ0,68704.0
2020-09-23,6.9756,6.9904,6.9636,6.9786,15932.0,XUCZ0,68861.0
2020-09-24,6.9822,7.0296,6.9803,7.0296,20344.0,XUCZ0,67100.0
2020-09-25,7.0252,7.0367,6.9888,7.029,19390.0,XUCZ0,66253.0
2020-09-28,7.0298,7.0392,7.0141,7.0167,12463.0,XUCZ0,65740.0
2020-09-29,7.0107,7.0174,7.0036,7.0082,11843.0,XUCZ0,65270.0
2020-09-30,7.0109,7.0126,6.9936,7.0013,16170.0,XUCZ0,64512.0
2020-10-01,6.9983,6.9999,6.918,6.9295,13587.0,XUCZ0,62859.0
2020-10-02,6.9312000000000005,6.9634,6.9164,6.9487,10002.0,XUCZ0,62686.0
2020-10-05,6.9496,6.9496,6.9165,6.9178,7420.0,XUCZ0,62602.0
